Time,U,AI1,AI2,AD,BI2,BI2,BD,VA,VB
0.00,7395.00,1.00,0.00,0.00,0.00,0.00,0.00,75.00,75.00
0.01,7393.00,2.00,0.00,0.00,1.00,0.00,0.00,68.52,68.47
0.01,7392.00,2.00,0.00,0.00,2.00,0.00,0.00,62.60,62.51
0.02,7391.00,2.00,0.00,0.00,3.00,0.00,0.00,57.19,57.06
0.03,7389.00,2.00,0.00,0.00,5.00,0.00,0.00,52.25,52.10
0.03,7386.00,2.00,0.00,0.00,8.00,0.00,0.00,47.73,47.56
0.04,7384.00,2.00,0.00,0.00,10.00,0.00,0.00,43.61,43.42
0.05,7383.00,3.00,0.00,0.00,9.00,1.00,0.00,39.84,54.66
0.06,7382.00,3.00,0.00,0.00,10.00,1.00,0.00,36.40,64.92
0.06,7382.00,3.00,0.00,0.00,10.00,1.00,0.00,33.25,74.29
0.07,7380.00,3.00,1.00,0.00,10.00,2.00,0.00,30.53,97.87
0.08,7378.00,3.00,1.00,0.00,11.00,3.00,0.00,28.04,134.42
0.08,7376.00,3.00,1.00,0.00,12.00,4.00,0.00,25.77,182.81
0.09,7370.00,2.00,2.00,0.00,18.00,4.00,0.00,23.84,226.98
0.10,7369.00,2.00,2.00,0.00,17.00,5.00,1.00,22.08,282.33
0.10,7366.00,2.00,2.00,0.00,18.00,7.00,1.00,20.48,362.91
0.11,7362.00,2.00,2.00,0.00,20.00,9.00,1.00,19.01,466.52
0.12,7361.00,2.00,2.00,0.00,21.00,9.00,1.00,17.67,561.10
0.12,7357.00,2.00,2.00,0.00,23.00,11.00,1.00,16.44,677.50
0.13,7353.00,2.00,2.00,0.00,26.00,11.00,2.00,15.32,783.76
0.14,7347.00,2.00,2.00,0.00,31.00,12.00,2.00,14.30,895.79
0.15,7341.00,2.00,1.00,1.00,34.00,13.00,4.00,13.21,1013.09
0.15,7334.00,2.00,1.00,1.00,41.00,13.00,4.00,12.22,1120.17
0.16,7329.00,2.00,1.00,1.00,43.00,16.00,4.00,11.31,1263.00
0.17,7321.00,2.00,1.00,1.00,51.00,16.00,4.00,10.49,1393.40
0.17,7313.00,2.00,1.00,1.00,56.00,19.00,4.00,9.73,1557.50
0.18,7302.00,2.00,1.00,1.00,64.00,22.00,4.00,9.04,1752.39
0.19,7293.00,2.00,1.00,1.00,73.00,22.00,4.00,8.41,1930.31
0.19,7282.00,2.00,1.00,1.00,83.00,23.00,4.00,7.83,2107.76
0.20,7273.00,2.00,1.00,1.00,91.00,24.00,4.00,7.31,2284.78
0.21,7265.00,2.00,1.00,1.00,95.00,27.00,5.00,6.83,2491.45
0.22,7253.00,3.00,1.00,1.00,102.00,30.00,6.00,6.39,2725.20
0.22,7246.00,3.00,1.00,1.00,106.00,31.00,8.00,5.98,2953.62
0.23,7235.00,3.00,1.00,1.00,113.00,35.00,8.00,5.62,3222.24
0.24,7220.00,3.00,1.00,1.00,125.00,37.00,9.00,5.28,3497.51
0.24,7207.00,2.00,2.00,1.00,134.00,40.00,10.00,5.13,3793.89
0.25,7193.00,2.00,2.00,1.00,141.00,44.00,13.00,4.98,4124.55
0.26,7178.00,2.00,2.00,1.00,153.00,46.00,14.00,4.85,4456.47
0.26,7164.00,2.00,2.00,1.00,163.00,49.00,15.00,4.73,4804.55
