Time,U,I1,I2,D,Ve
0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.875061e+00
1.666667e-01,9.999000e-01,1.000000e-04,0.000000e+00,0.000000e+00,1.835496e+00
3.333333e-01,9.998000e-01,2.000000e-04,0.000000e+00,0.000000e+00,1.795930e+00
5.000000e-01,9.996000e-01,4.000000e-04,0.000000e+00,0.000000e+00,1.756365e+00
6.666667e-01,9.994000e-01,6.000000e-04,0.000000e+00,0.000000e+00,1.716800e+00
8.333333e-01,9.994000e-01,6.000000e-04,0.000000e+00,0.000000e+00,1.677234e+00
1.000000e+00,9.991000e-01,9.000000e-04,0.000000e+00,0.000000e+00,1.637669e+00
1.166667e+00,9.991000e-01,8.000000e-04,1.000000e-04,0.000000e+00,1.598103e+00
1.333333e+00,9.990000e-01,9.000000e-04,1.000000e-04,0.000000e+00,1.558538e+00
1.500000e+00,9.989000e-01,1.000000e-03,1.000000e-04,0.000000e+00,1.519019e+00
1.666667e+00,9.986000e-01,1.300000e-03,1.000000e-04,0.000000e+00,1.479517e+00
1.833333e+00,9.985000e-01,1.400000e-03,1.000000e-04,0.000000e+00,1.440039e+00
2.000000e+00,9.985000e-01,1.300000e-03,2.000000e-04,0.000000e+00,1.400593e+00
2.166667e+00,9.985000e-01,1.300000e-03,2.000000e-04,0.000000e+00,1.361191e+00
2.333333e+00,9.984000e-01,1.400000e-03,2.000000e-04,0.000000e+00,1.321993e+00
2.500000e+00,9.984000e-01,1.300000e-03,3.000000e-04,0.000000e+00,1.282929e+00
2.666667e+00,9.984000e-01,1.300000e-03,3.000000e-04,0.000000e+00,1.244051e+00
2.833333e+00,9.984000e-01,1.300000e-03,3.000000e-04,0.000000e+00,1.205995e+00
3.000000e+00,9.983000e-01,1.400000e-03,3.000000e-04,0.000000e+00,1.168489e+00
3.166667e+00,9.983000e-01,1.400000e-03,3.000000e-04,0.000000e+00,1.131729e+00
3.333333e+00,9.983000e-01,1.300000e-03,4.000000e-04,0.000000e+00,1.095975e+00
3.500000e+00,9.983000e-01,1.300000e-03,4.000000e-04,0.000000e+00,1.061577e+00
3.666667e+00,9.983000e-01,1.300000e-03,4.000000e-04,0.000000e+00,1.029428e+00
3.833333e+00,9.983000e-01,1.200000e-03,5.000000e-04,0.000000e+00,9.998181e-01
4.000000e+00,9.983000e-01,1.200000e-03,5.000000e-04,0.000000e+00,9.735271e-01
4.166667e+00,9.983000e-01,1.200000e-03,5.000000e-04,0.000000e+00,9.540065e-01
4.333333e+00,9.983000e-01,1.200000e-03,5.000000e-04,0.000000e+00,9.404724e-01
4.500000e+00,9.983000e-01,1.200000e-03,5.000000e-04,0.000000e+00,9.342001e-01
4.666667e+00,9.983000e-01,1.200000e-03,5.000000e-04,0.000000e+00,9.364467e-01
4.833333e+00,9.983000e-01,1.100000e-03,6.000000e-04,0.000000e+00,9.483043e-01
5.000000e+00,9.983000e-01,1.100000e-03,6.000000e-04,0.000000e+00,9.705395e-01
5.166667e+00,9.982000e-01,1.200000e-03,6.000000e-04,0.000000e+00,1.062644e+00
5.333333e+00,9.982000e-01,1.200000e-03,6.000000e-04,0.000000e+00,1.156032e+00
5.500000e+00,9.982000e-01,1.000000e-03,8.000000e-04,0.000000e+00,1.250373e+00
5.666667e+00,9.982000e-01,9.000000e-04,9.000000e-04,0.000000e+00,1.345420e+00
5.833333e+00,9.981000e-01,1.000000e-03,9.000000e-04,0.000000e+00,1.501674e+00
6.000000e+00,9.981000e-01,1.000000e-03,9.000000e-04,0.000000e+00,1.644815e+00
6.166667e+00,9.981000e-01,1.000000e-03,9.000000e-04,0.000000e+00,1.772654e+00
6.333333e+00,9.980000e-01,1.100000e-03,9.000000e-04,0.000000e+00,1.890862e+00
