Time,CC3DV,CC3DH,CC3DP,CC3DIFNe_Scalar,CC3DIFNe_Field,CC3DSTATP,CC3DIRF7,CC3DIRF7P,CC3DIFN
0.000000e+00,1.725426e-11,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.343249e-27
1.666667e-01,4.745490e-11,1.000000e+00,1.000000e+00,4.055773e-27,0.000000e+00,5.009263e-27,1.841291e-28,1.958396e-29,9.514998e-27
3.333333e-01,5.933369e-11,1.000000e+00,1.000000e+00,1.817162e-26,2.189037e-27,2.776479e-26,1.086376e-27,1.241338e-28,2.147330e-26
5.000000e-01,9.143872e-11,1.000000e+00,1.000000e+00,4.479575e-26,1.007030e-26,8.465303e-26,3.517224e-27,4.233255e-28,4.653678e-26
6.666667e-01,1.229521e-10,1.000000e+00,1.000000e+00,9.935416e-26,2.549540e-26,2.113643e-25,9.160328e-27,1.146509e-27,9.540170e-26
8.333333e-01,1.537251e-10,1.000000e+00,1.000000e+00,2.068366e-25,5.723487e-26,4.756832e-25,2.123465e-26,2.738155e-27,1.902404e-25
1.000000e+00,1.921988e-10,1.000000e+00,1.000000e+00,4.161113e-25,1.200148e-25,1.008014e-24,4.590845e-26,6.055735e-27,3.761751e-25
1.166667e+00,2.403018e-10,1.000000e+00,1.000000e+00,8.257938e-25,2.424965e-25,2.065065e-24,9.518299e-26,1.277065e-26,7.414721e-25
1.333333e+00,3.004411e-10,1.000000e+00,1.000000e+00,1.630060e-24,4.823022e-25,4.152819e-24,1.924732e-25,2.614337e-26,1.459121e-24
1.500000e+00,3.928844e-10,1.000000e+00,1.000000e+00,3.209849e-24,9.529897e-25,8.267147e-24,3.834619e-25,5.252664e-26,2.870978e-24
1.666667e+00,4.998351e-10,1.000000e+00,1.000000e+00,6.316786e-24,1.877455e-24,1.637172e-23,7.574298e-25,1.043076e-25,5.641955e-24
1.833333e+00,6.249222e-10,1.000000e+00,1.000000e+00,1.241728e-23,3.695362e-24,3.232181e-23,1.488384e-24,2.055595e-25,1.107714e-23
2.000000e+00,7.813106e-10,1.000000e+00,1.000000e+00,2.438587e-23,7.265163e-24,6.368534e-23,2.915321e-24,4.030182e-25,2.173646e-23
2.166667e+00,9.768341e-10,1.000000e+00,1.000000e+00,4.786020e-23,1.426939e-23,1.253213e-22,5.698691e-24,7.873667e-25,4.263617e-23
2.333333e+00,1.229913e-09,1.000000e+00,1.000000e+00,9.388940e-23,2.800764e-23,2.463987e-22,1.112506e-23,1.534442e-24,8.360593e-23
2.500000e+00,1.546325e-09,1.000000e+00,1.000000e+00,1.841258e-22,5.494690e-23,4.841682e-22,2.170047e-23,2.984998e-24,1.639002e-22
2.666667e+00,1.933290e-09,1.000000e+00,1.000000e+00,3.609862e-22,1.077604e-22,9.509689e-22,4.230561e-23,5.798994e-24,3.212329e-22
2.833333e+00,2.417091e-09,1.000000e+00,1.000000e+00,7.075546e-22,2.112757e-22,1.867196e-21,8.244491e-23,1.125394e-23,6.294687e-22
3.000000e+00,3.030587e-09,1.000000e+00,1.000000e+00,1.386561e-21,4.141249e-22,3.665173e-21,1.606257e-22,2.182164e-23,1.233257e-21
3.166667e+00,3.788980e-09,1.000000e+00,1.000000e+00,2.716686e-21,8.115599e-22,7.192825e-21,3.128841e-22,4.228266e-23,2.415825e-21
3.333333e+00,4.737155e-09,1.000000e+00,1.000000e+00,5.321945e-21,1.590121e-21,1.411298e-20,6.093822e-22,8.187901e-23,4.731698e-21
3.500000e+00,5.922604e-09,1.000000e+00,1.000000e+00,1.042411e-20,3.115078e-21,2.768614e-20,1.186721e-21,1.584712e-22,9.266464e-21
3.666667e+00,7.404702e-09,1.000000e+00,1.000000e+00,2.041509e-20,6.101613e-21,5.430482e-20,2.310844e-21,3.065627e-22,1.814519e-20
3.833333e+00,9.257680e-09,1.000000e+00,1.000000e+00,3.997723e-20,1.194987e-20,1.065008e-19,4.499489e-21,5.927864e-22,3.552742e-20
4.000000e+00,1.157435e-08,1.000000e+00,1.000000e+00,7.827581e-20,2.340078e-20,2.088391e-19,8.760564e-21,1.145781e-21,6.955434e-20
4.166667e+00,1.447937e-08,1.000000e+00,1.000000e+00,1.532498e-19,4.581951e-20,4.094671e-19,1.705618e-20,2.213813e-21,1.361590e-19
4.333333e+00,1.810270e-08,1.000000e+00,1.000000e+00,3.000080e-19,8.970723e-20,8.027469e-19,3.320595e-20,4.275882e-21,2.665222e-19
4.500000e+00,2.263274e-08,1.000000e+00,1.000000e+00,5.872588e-19,1.756163e-19,1.573599e-18,6.464535e-20,8.255886e-21,5.216595e-19
4.666667e+00,2.829634e-08,1.000000e+00,1.000000e+00,1.149457e-18,3.437681e-19,3.084382e-18,1.258486e-19,1.593533e-20,1.020963e-18
4.833333e+00,3.539443e-08,1.000000e+00,1.000000e+00,2.249697e-18,6.728718e-19,6.045097e-18,2.449914e-19,3.074841e-20,1.998039e-18
5.000000e+00,4.426006e-08,1.000000e+00,1.000000e+00,4.402771e-18,1.316944e-18,1.184701e-17,4.769013e-19,5.929946e-20,3.909951e-18
5.166667e+00,5.535274e-08,1.000000e+00,1.000000e+00,8.615904e-18,2.577345e-18,2.327618e-17,9.214549e-19,1.100933e-19,7.655750e-18
5.333333e+00,6.920382e-08,1.000000e+00,1.000000e+00,1.686807e-17,5.043713e-18,4.585401e-17,1.765666e-18,1.960717e-19,1.500196e-17
5.500000e+00,8.652933e-08,1.000000e+00,1.000000e+00,3.304766e-17,9.874179e-18,9.039372e-17,3.374204e-18,3.453336e-19,2.941920e-17
5.666667e+00,1.081813e-07,9.999999e-01,1.000000e+00,6.479424e-17,1.934409e-17,1.782238e-16,6.445821e-18,6.078989e-19,5.774594e-17
5.833333e+00,1.352593e-07,9.999999e-01,1.000000e+00,1.271514e-16,3.792374e-17,3.513379e-16,1.233702e-17,1.080562e-18,1.134521e-16
6.000000e+00,1.691207e-07,9.999999e-01,1.000000e+00,2.497491e-16,7.441435e-17,6.938327e-16,2.339524e-17,1.890533e-18,2.250139e-16
6.166667e+00,2.114364e-07,9.999999e-01,1.000000e+00,4.943145e-16,1.461496e-16,1.377226e-15,4.384724e-17,3.265391e-18,4.604477e-16
6.333333e+00,2.643382e-07,9.999999e-01,1.000000e+00,1.004488e-15,2.890873e-16,2.773022e-15,8.278500e-17,5.693758e-18,9.391923e-16
6.500000e+00,3.304734e-07,9.999998e-01,1.000000e+00,2.047303e-15,5.861753e-16,5.627926e-15,1.592448e-16,1.012883e-17,1.881499e-15
6.666667e+00,4.131592e-07,9.999998e-01,1.000000e+00,4.116087e-15,1.193762e-15,1.138334e-14,3.106245e-16,1.856243e-17,3.757053e-15
6.833333e+00,5.165331e-07,9.999998e-01,1.000000e+00,8.230904e-15,2.401989e-15,2.290577e-14,6.125037e-16,3.502310e-17,7.520381e-15
7.000000e+00,6.457479e-07,9.999997e-01,1.000000e+00,1.647213e-14,4.806232e-15,4.597810e-14,1.215522e-15,6.707045e-17,1.480833e-14
7.166667e+00,8.073026e-07,9.999996e-01,1.000000e+00,3.254630e-14,9.619541e-15,9.161339e-14,2.411698e-15,1.289335e-16,2.867896e-14
7.333333e+00,1.009247e-06,9.999995e-01,1.000000e+00,6.330252e-14,1.902577e-14,1.804410e-13,4.763770e-15,2.494044e-16,5.571269e-14
7.500000e+00,1.261655e-06,9.999994e-01,1.000000e+00,1.230059e-13,3.706042e-14,3.530697e-13,9.352034e-15,4.834431e-16,1.085619e-13
