Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-01,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.189037e-23
5.000000e-01,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,6.697286e-23
6.666667e-01,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.524645e-22
8.333333e-01,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,3.167041e-22
1.000000e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,6.370087e-22
1.166667e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.265699e-21
1.333333e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.501725e-21
1.500000e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,4.931859e-21
1.666667e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,9.707227e-21
1.833333e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.908588e-20
2.000000e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,3.749616e-20
2.166667e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,7.362057e-20
2.333333e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.444787e-19
2.500000e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.834259e-19
2.666667e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,5.558206e-19
2.833333e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.089711e-18
3.000000e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.135924e-18
3.166667e+00,9.999901e-01,9.876543e-06,0.000000e+00,0.000000e+00,0.000000e+00,4.185732e-18
3.333333e+00,9.999901e-01,4.938272e-06,4.938272e-06,0.000000e+00,0.000000e+00,8.201223e-18
3.500000e+00,9.999901e-01,4.938272e-06,4.938272e-06,0.000000e+00,0.000000e+00,1.606631e-17
3.666667e+00,9.999901e-01,4.938272e-06,4.938272e-06,0.000000e+00,2.465108e-01,3.146958e-17
3.833333e+00,9.999901e-01,4.938272e-06,4.938272e-06,0.000000e+00,5.332442e-01,6.163237e-17
4.000000e+00,9.999901e-01,4.938272e-06,4.938272e-06,0.000000e+00,8.721345e-01,1.206911e-16
4.166667e+00,9.999852e-01,9.876543e-06,4.938272e-06,0.000000e+00,1.277940e+00,2.363169e-16
4.333333e+00,9.999852e-01,9.876543e-06,4.938272e-06,0.000000e+00,1.768962e+00,4.626699e-16
4.500000e+00,9.999852e-01,9.876543e-06,4.938272e-06,0.000000e+00,2.367948e+00,9.057494e-16
4.666667e+00,9.999852e-01,9.876543e-06,4.938272e-06,0.000000e+00,3.103213e+00,1.772998e-15
4.833333e+00,9.999802e-01,9.876543e-06,9.876543e-06,0.000000e+00,4.010043e+00,3.470359e-15
5.000000e+00,9.999753e-01,1.481481e-05,9.876543e-06,0.000000e+00,5.132451e+00,6.792170e-15
5.166667e+00,9.999753e-01,1.481481e-05,9.876543e-06,0.000000e+00,6.532286e+00,1.329269e-14
5.333333e+00,9.999605e-01,2.962963e-05,9.876543e-06,0.000000e+00,8.272348e+00,2.601298e-14
5.500000e+00,9.999358e-01,5.432099e-05,9.876543e-06,0.000000e+00,1.043864e+01,5.094760e-14
5.666667e+00,9.999358e-01,5.432099e-05,9.876543e-06,0.000000e+00,1.313863e+01,9.985765e-14
5.833333e+00,9.999259e-01,5.925926e-05,1.481481e-05,0.000000e+00,1.650655e+01,1.958925e-13
6.000000e+00,9.999210e-01,5.925926e-05,1.975309e-05,0.000000e+00,2.071020e+01,3.846609e-13
6.166667e+00,9.999160e-01,5.925926e-05,2.469136e-05,0.000000e+00,2.596480e+01,7.560412e-13
6.333333e+00,9.999160e-01,5.432099e-05,2.962963e-05,0.000000e+00,3.253334e+01,1.505270e-12
6.500000e+00,9.998963e-01,7.407407e-05,2.962963e-05,0.000000e+00,4.074595e+01,3.111055e-12
6.666667e+00,9.998963e-01,7.407407e-05,2.962963e-05,0.000000e+00,5.101552e+01,6.303988e-12
6.833333e+00,9.998815e-01,8.395062e-05,3.456790e-05,0.000000e+00,6.384765e+01,1.264604e-11
7.000000e+00,9.998716e-01,9.382716e-05,3.456790e-05,0.000000e+00,7.988368e+01,2.516378e-11
7.166667e+00,9.998568e-01,1.086420e-04,3.456790e-05,0.000000e+00,9.996643e+01,5.046243e-11
7.333333e+00,9.998519e-01,1.135802e-04,3.456790e-05,0.000000e+00,1.250630e+02,9.851579e-11
7.500000e+00,9.998420e-01,1.135802e-04,4.444444e-05,0.000000e+00,1.564270e+02,1.908525e-10
7.666667e+00,9.998272e-01,1.234568e-04,4.938272e-05,0.000000e+00,1.956246e+02,3.702016e-10
7.833333e+00,9.998123e-01,1.382716e-04,4.938272e-05,0.000000e+00,2.446404e+02,7.220847e-10
8.000000e+00,9.997926e-01,1.530864e-04,5.432099e-05,0.000000e+00,3.059275e+02,1.404560e-09
8.166667e+00,9.997877e-01,1.580247e-04,5.432099e-05,0.000000e+00,3.825107e+02,2.744206e-09
8.333333e+00,9.997778e-01,1.679012e-04,5.432099e-05,0.000000e+00,4.782053e+02,5.345376e-09
8.500000e+00,9.997630e-01,1.827160e-04,5.432099e-05,0.000000e+00,5.977645e+02,1.041196e-08
8.666667e+00,9.997481e-01,1.827160e-04,6.913580e-05,0.000000e+00,7.471198e+02,2.030100e-08
8.833333e+00,9.997333e-01,1.827160e-04,8.395062e-05,0.000000e+00,9.336639e+02,3.957155e-08
9.000000e+00,9.996691e-01,2.320988e-04,9.876543e-05,0.000000e+00,1.478088e+03,7.710801e-08
9.166667e+00,9.996346e-01,2.666667e-04,9.876543e-05,0.000000e+00,2.130738e+03,1.501190e-07
9.333333e+00,9.995802e-01,3.111111e-04,1.086420e-04,0.000000e+00,2.920628e+03,2.920156e-07
9.500000e+00,9.995259e-01,3.604938e-04,1.135802e-04,0.000000e+00,3.883393e+03,5.674487e-07
9.666667e+00,9.994864e-01,3.802469e-04,1.333333e-04,0.000000e+00,5.063156e+03,1.101067e-06
9.833333e+00,9.994420e-01,4.148148e-04,1.432099e-04,0.000000e+00,6.514149e+03,2.132833e-06
1.000000e+01,9.993728e-01,4.790123e-04,1.481481e-04,0.000000e+00,8.303211e+03,4.122343e-06
1.016667e+01,9.993383e-01,5.037037e-04,1.580247e-04,0.000000e+00,1.051378e+04,7.946220e-06
1.033333e+01,9.992938e-01,5.333333e-04,1.728395e-04,0.000000e+00,1.324401e+04,1.526556e-05
1.050000e+01,9.992593e-01,5.382716e-04,2.024691e-04,0.000000e+00,1.661496e+04,2.920473e-05
1.066667e+01,9.992000e-01,5.827160e-04,2.172840e-04,0.000000e+00,2.077244e+04,5.558461e-05
1.083333e+01,9.991556e-01,6.222222e-04,2.222222e-04,0.000000e+00,2.589056e+04,1.051225e-04
1.100000e+01,9.991210e-01,6.567901e-04,2.222222e-04,0.000000e+00,3.217654e+04,1.972628e-04
1.116667e+01,9.990667e-01,6.913580e-04,2.419753e-04,0.000000e+00,3.986782e+04,3.666437e-04
1.133333e+01,9.989975e-01,7.456790e-04,2.567901e-04,0.000000e+00,4.923740e+04,6.735779e-04
1.150000e+01,9.989630e-01,7.555556e-04,2.814815e-04,0.000000e+00,6.059093e+04,1.220140e-03
1.166667e+01,9.988988e-01,8.049383e-04,2.962963e-04,0.000000e+00,7.425740e+04,2.173047e-03
1.183333e+01,9.988346e-01,8.296296e-04,3.358025e-04,0.000000e+00,9.058033e+04,3.792658e-03
1.200000e+01,9.987654e-01,8.790123e-04,3.555556e-04,0.000000e+00,1.099087e+05,6.463103e-03
1.216667e+01,9.987309e-01,8.938272e-04,3.753086e-04,0.000000e+00,1.325418e+05,1.071046e-02
1.233333e+01,9.986963e-01,9.185185e-04,3.851852e-04,0.000000e+00,1.587273e+05,1.718648e-02
1.250000e+01,9.986321e-01,9.580247e-04,4.098765e-04,0.000000e+00,1.886403e+05,2.658835e-02
1.266667e+01,9.985630e-01,1.017284e-03,4.197531e-04,0.000000e+00,2.222893e+05,3.949246e-02
1.283333e+01,9.984840e-01,1.056790e-03,4.592593e-04,0.000000e+00,2.595493e+05,5.611273e-02
1.300000e+01,9.983951e-01,1.130864e-03,4.740741e-04,0.000000e+00,3.001319e+05,7.605000e-02
1.316667e+01,9.983358e-01,1.170370e-03,4.888889e-04,4.938272e-06,3.435925e+05,9.815121e-02
1.333333e+01,9.982815e-01,1.195062e-03,5.185185e-04,4.938272e-06,3.893483e+05,1.027280e-01
1.350000e+01,9.982321e-01,1.209877e-03,5.530864e-04,4.938272e-06,3.969357e+05,9.705541e-02
1.366667e+01,9.981728e-01,1.239506e-03,5.777778e-04,9.876543e-06,4.065868e+05,9.466722e-02
1.383333e+01,9.981086e-01,1.283951e-03,5.975309e-04,9.876543e-06,4.178594e+05,7.063296e-02
1.400000e+01,9.980444e-01,1.318519e-03,6.271605e-04,9.876543e-06,3.848015e+05,4.470571e-02
1.416667e+01,9.979802e-01,1.362963e-03,6.469136e-04,9.876543e-06,3.554480e+05,2.860063e-02
1.433333e+01,9.979111e-01,1.387654e-03,6.913580e-04,9.876543e-06,3.296812e+05,2.033057e-02
1.450000e+01,9.978321e-01,1.427160e-03,7.308642e-04,9.876543e-06,3.074386e+05,1.706000e-02
1.466667e+01,9.977284e-01,1.496296e-03,7.654321e-04,9.876543e-06,2.887345e+05,1.686040e-02
1.483333e+01,9.976543e-01,1.535802e-03,8.000000e-04,9.876543e-06,2.737696e+05,1.856414e-02
1.500000e+01,9.975901e-01,1.560494e-03,8.395062e-04,9.876543e-06,2.625942e+05,2.148539e-02
1.516667e+01,9.975309e-01,1.565432e-03,8.938272e-04,9.876543e-06,2.555483e+05,2.522718e-02
1.533333e+01,9.974667e-01,1.580247e-03,9.432099e-04,9.876543e-06,2.529309e+05,2.956734e-02
1.550000e+01,9.973827e-01,1.629630e-03,9.777778e-04,9.876543e-06,2.552519e+05,3.439706e-02
1.566667e+01,9.973333e-01,1.624691e-03,1.032099e-03,9.876543e-06,2.631332e+05,3.969258e-02
1.583333e+01,9.972642e-01,1.659259e-03,1.066667e-03,9.876543e-06,2.773683e+05,4.550845e-02
1.600000e+01,9.972049e-01,1.698765e-03,1.086420e-03,9.876543e-06,2.989351e+05,5.198650e-02
1.616667e+01,9.971111e-01,1.733333e-03,1.145679e-03,9.876543e-06,3.289779e+05,5.937623e-02
1.633333e+01,9.970420e-01,1.738272e-03,1.209877e-03,9.876543e-06,3.688520e+05,6.806189e-02
1.650000e+01,9.969778e-01,1.772840e-03,1.239506e-03,9.876543e-06,4.202017e+05,7.858918e-02
1.666667e+01,9.969136e-01,1.782716e-03,1.293827e-03,9.876543e-06,4.911312e+05,9.168162e-02
1.683333e+01,9.968444e-01,1.792593e-03,1.353086e-03,9.876543e-06,5.781042e+05,1.082408e-01
1.700000e+01,9.967457e-01,1.841975e-03,1.397531e-03,1.481481e-05,6.834475e+05,1.293317e-01
1.716667e+01,9.966370e-01,1.896296e-03,1.451852e-03,1.481481e-05,8.124354e+05,1.403740e-01
1.733333e+01,9.965580e-01,1.920988e-03,1.506173e-03,1.481481e-05,9.311066e+05,1.530175e-01
1.750000e+01,9.964691e-01,1.935802e-03,1.580247e-03,1.481481e-05,1.076545e+06,1.773109e-01
1.766667e+01,9.964148e-01,1.940741e-03,1.624691e-03,1.975309e-05,1.270487e+06,2.156529e-01
1.783333e+01,9.963704e-01,1.950617e-03,1.659259e-03,1.975309e-05,1.498732e+06,2.562188e-01
1.800000e+01,9.963012e-01,1.970370e-03,1.708642e-03,1.975309e-05,1.729340e+06,3.105489e-01
1.816667e+01,9.962272e-01,1.975309e-03,1.767901e-03,2.962963e-05,1.998930e+06,3.858387e-01
1.833333e+01,9.961630e-01,1.985185e-03,1.822222e-03,2.962963e-05,2.309527e+06,4.362273e-01
1.850000e+01,9.960642e-01,2.024691e-03,1.881481e-03,2.962963e-05,2.602514e+06,5.108129e-01
1.866667e+01,9.960049e-01,2.039506e-03,1.920988e-03,3.456790e-05,2.939544e+06,6.050484e-01
1.883333e+01,9.959210e-01,2.069136e-03,1.975309e-03,3.456790e-05,3.322806e+06,6.813448e-01
1.900000e+01,9.958370e-01,2.098765e-03,2.024691e-03,3.950617e-05,3.706583e+06,7.796963e-01
1.916667e+01,9.958074e-01,2.074074e-03,2.074074e-03,4.444444e-05,4.140077e+06,8.474250e-01
1.933333e+01,9.957432e-01,2.074074e-03,2.133333e-03,4.938272e-05,4.584355e+06,9.232300e-01
1.950000e+01,9.956444e-01,2.133333e-03,2.162963e-03,5.925926e-05,5.051806e+06,1.000591e+00
1.966667e+01,9.955259e-01,2.212346e-03,2.192593e-03,6.913580e-05,5.540770e+06,1.039531e+00
1.983333e+01,9.954370e-01,2.212346e-03,2.276543e-03,7.407407e-05,5.991501e+06,1.015776e+00
2.000000e+01,9.953630e-01,2.227160e-03,2.335802e-03,7.407407e-05,6.419090e+06,1.048067e+00
2.016667e+01,9.952543e-01,2.286420e-03,2.385185e-03,7.407407e-05,6.877889e+06,1.150083e+00
2.033333e+01,9.951654e-01,2.325926e-03,2.434568e-03,7.407407e-05,7.428439e+06,1.283452e+00
2.050000e+01,9.950914e-01,2.320988e-03,2.498765e-03,8.888889e-05,8.069751e+06,1.440814e+00
2.066667e+01,9.950173e-01,2.350617e-03,2.533333e-03,9.876543e-05,8.807838e+06,1.517432e+00
2.083333e+01,9.948938e-01,2.400000e-03,2.597531e-03,1.086420e-04,9.519659e+06,1.636460e+00
2.100000e+01,9.948198e-01,2.409877e-03,2.651852e-03,1.185185e-04,1.029215e+07,1.694141e+00
2.116667e+01,9.947309e-01,2.464198e-03,2.676543e-03,1.283951e-04,1.114107e+07,1.807167e+00
2.133333e+01,9.946222e-01,2.508642e-03,2.716049e-03,1.530864e-04,1.206144e+07,1.934418e+00
2.150000e+01,9.944938e-01,2.567901e-03,2.775309e-03,1.629630e-04,1.306579e+07,1.998843e+00
2.166667e+01,9.943704e-01,2.622222e-03,2.824691e-03,1.827160e-04,1.402936e+07,2.140411e+00
2.183333e+01,9.942667e-01,2.646914e-03,2.879012e-03,2.074074e-04,1.510856e+07,2.304397e+00
2.200000e+01,9.941580e-01,2.696296e-03,2.913580e-03,2.320988e-04,1.624538e+07,2.492281e+00
2.216667e+01,9.940691e-01,2.720988e-03,2.953086e-03,2.567901e-04,1.742126e+07,2.659348e+00
2.233333e+01,9.939704e-01,2.676543e-03,3.086420e-03,2.666667e-04,1.860267e+07,2.796424e+00
2.250000e+01,9.938864e-01,2.706173e-03,3.116049e-03,2.913580e-04,1.982083e+07,3.067913e+00
2.266667e+01,9.937630e-01,2.780247e-03,3.130864e-03,3.259259e-04,2.121689e+07,3.334674e+00
2.283333e+01,9.936494e-01,2.800000e-03,3.195062e-03,3.555556e-04,2.271358e+07,3.411377e+00
2.300000e+01,9.935506e-01,2.819753e-03,3.254321e-03,3.753086e-04,2.409661e+07,3.602054e+00
2.316667e+01,9.934519e-01,2.834568e-03,3.303704e-03,4.098765e-04,2.549614e+07,3.849456e+00
2.333333e+01,9.932840e-01,2.908642e-03,3.348148e-03,4.592593e-04,2.699288e+07,3.997126e+00
2.350000e+01,9.931654e-01,2.898765e-03,3.456790e-03,4.790123e-04,2.840846e+07,4.010287e+00
2.366667e+01,9.930519e-01,2.962963e-03,3.466667e-03,5.185185e-04,2.964594e+07,4.180975e+00
2.383333e+01,9.929630e-01,2.977778e-03,3.496296e-03,5.629630e-04,3.107149e+07,4.327487e+00
2.400000e+01,9.928049e-01,3.056790e-03,3.560494e-03,5.777778e-04,3.249626e+07,4.291964e+00
2.416667e+01,9.926519e-01,3.150617e-03,3.585185e-03,6.123457e-04,3.375873e+07,4.539083e+00
2.433333e+01,9.925481e-01,3.150617e-03,3.649383e-03,6.518519e-04,3.515485e+07,4.718450e+00
