Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.242752e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.426375e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.968718e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.976961e-22
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.188135e-21
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.348943e-21
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.631204e-21
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.116056e-21
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.792427e-20
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.521499e-20
2.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,6.914289e-20
2.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.356930e-19
2.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.129271e-02,2.661930e-19
2.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.932318e-02,5.220286e-19
2.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.460906e-01,1.023464e-18
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.140671e-01,2.006080e-18
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.963188e-01,3.931284e-18
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.966559e-01,7.702683e-18
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.198220e-01,1.508967e-17
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.717281e-01,2.955657e-17
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.597475e-01,5.788576e-17
3.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.093083e+00,1.133542e-16
4.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.383224e+00,2.219507e-16
4.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.744526e+00,4.345425e-16
4.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.194920e+00,8.506838e-16
4.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.756815e+00,1.665204e-15
4.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,3.458219e+00,3.259362e-15
4.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,4.334137e+00,6.379193e-15
5.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,5.428324e+00,1.248444e-14
5.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,6.795479e+00,2.443123e-14
5.333333e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,8.503976e+00,4.785378e-14
5.500000e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.063929e+01,9.380618e-14
5.666667e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.330828e+01,1.840451e-13
5.833333e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.664454e+01,3.614339e-13
6.000000e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,2.081504e+01,7.104379e-13
6.166667e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,2.602857e+01,1.414727e-12
6.333333e+00,9.997490e-01,2.151386e-04,3.585643e-05,0.000000e+00,3.254608e+01,2.923018e-12
6.500000e+00,9.997131e-01,2.151386e-04,7.171286e-05,0.000000e+00,4.069380e+01,5.924197e-12
6.666667e+00,9.997131e-01,2.151386e-04,7.171286e-05,0.000000e+00,5.087954e+01,1.188399e-11
6.833333e+00,9.996773e-01,2.509950e-04,7.171286e-05,0.000000e+00,6.361655e+01,2.364690e-11
7.000000e+00,9.995339e-01,3.585643e-04,1.075693e-04,0.000000e+00,7.953898e+01,4.746173e-11
7.166667e+00,9.994622e-01,3.944207e-04,1.434257e-04,0.000000e+00,9.944326e+01,9.262708e-11
7.333333e+00,9.994622e-01,3.585643e-04,1.792822e-04,0.000000e+00,1.243316e+02,1.794052e-10
7.500000e+00,9.994622e-01,3.585643e-04,1.792822e-04,0.000000e+00,1.554456e+02,3.479475e-10
7.666667e+00,9.993904e-01,4.302772e-04,1.792822e-04,0.000000e+00,1.943400e+02,6.785692e-10
7.833333e+00,9.993546e-01,4.661336e-04,1.792822e-04,0.000000e+00,2.429537e+02,1.319830e-09
8.000000e+00,9.992829e-01,5.378465e-04,1.792822e-04,0.000000e+00,3.037121e+02,2.578402e-09
8.166667e+00,9.991394e-01,6.812722e-04,1.792822e-04,0.000000e+00,3.796435e+02,5.022400e-09
8.333333e+00,9.989960e-01,8.246979e-04,1.792822e-04,0.000000e+00,4.745282e+02,9.783057e-09
8.500000e+00,9.989243e-01,8.964108e-04,1.792822e-04,0.000000e+00,5.930829e+02,1.907464e-08
8.666667e+00,9.989243e-01,7.888415e-04,2.868514e-04,0.000000e+00,7.411896e+02,3.718022e-08
8.833333e+00,9.987450e-01,9.681236e-04,2.868514e-04,0.000000e+00,9.261794e+02,7.244396e-08
9.000000e+00,9.986733e-01,1.039836e-03,2.868514e-04,0.000000e+00,1.157269e+03,1.410286e-07
9.166667e+00,9.986016e-01,1.111549e-03,2.868514e-04,0.000000e+00,1.445744e+03,2.743140e-07
9.333333e+00,9.985657e-01,1.147406e-03,2.868514e-04,0.000000e+00,1.805722e+03,5.330218e-07
9.500000e+00,9.985657e-01,1.111549e-03,3.227079e-04,0.000000e+00,2.254721e+03,1.034232e-06
9.666667e+00,9.984940e-01,1.147406e-03,3.585643e-04,0.000000e+00,2.814430e+03,2.003345e-06
9.833333e+00,9.983865e-01,1.219119e-03,3.944207e-04,0.000000e+00,3.511653e+03,3.872107e-06
1.000000e+01,9.982789e-01,1.326688e-03,3.944207e-04,0.000000e+00,4.379401e+03,7.464081e-06
1.016667e+01,9.982430e-01,1.362544e-03,3.944207e-04,0.000000e+00,5.458258e+03,1.434002e-05
1.033333e+01,9.980996e-01,1.398401e-03,5.019900e-04,0.000000e+00,6.797592e+03,2.743596e-05
1.050000e+01,9.979203e-01,1.470114e-03,6.095593e-04,0.000000e+00,8.457454e+03,5.222298e-05
1.066667e+01,9.978845e-01,1.505970e-03,6.095593e-04,0.000000e+00,1.051025e+04,9.877667e-05
1.083333e+01,9.978128e-01,1.505970e-03,6.812722e-04,0.000000e+00,1.304253e+04,1.853829e-04
1.100000e+01,9.977769e-01,1.505970e-03,7.171286e-04,0.000000e+00,1.615615e+04,3.446286e-04
1.116667e+01,9.976335e-01,1.577683e-03,7.888415e-04,0.000000e+00,1.997471e+04,6.332836e-04
1.133333e+01,9.975259e-01,1.685252e-03,7.888415e-04,0.000000e+00,2.462950e+04,1.147490e-03
1.150000e+01,9.973825e-01,1.756965e-03,8.605543e-04,0.000000e+00,3.027179e+04,2.044411e-03
1.166667e+01,9.973108e-01,1.792822e-03,8.964108e-04,0.000000e+00,3.706517e+04,3.569775e-03
1.183333e+01,9.971315e-01,1.936247e-03,9.322672e-04,0.000000e+00,4.517989e+04,6.086718e-03
1.200000e+01,9.969163e-01,2.079673e-03,1.003980e-03,0.000000e+00,5.478284e+04,1.009374e-02
1.216667e+01,9.967012e-01,2.223099e-03,1.075693e-03,0.000000e+00,6.602592e+04,1.621075e-02
1.233333e+01,9.964861e-01,2.366524e-03,1.147406e-03,0.000000e+00,7.902948e+04,2.510520e-02
1.250000e+01,9.963426e-01,2.438237e-03,1.219119e-03,0.000000e+00,9.386609e+04,3.733742e-02
1.266667e+01,9.962709e-01,2.474094e-03,1.254975e-03,0.000000e+00,1.105446e+05,5.313374e-02
1.283333e+01,9.959482e-01,2.760945e-03,1.290832e-03,0.000000e+00,1.289949e+05,7.214908e-02
1.300000e+01,9.957331e-01,2.904371e-03,1.362544e-03,0.000000e+00,1.490644e+05,9.332957e-02
1.316667e+01,9.955538e-01,2.904371e-03,1.541827e-03,0.000000e+00,1.705207e+05,1.149860e-01
1.333333e+01,9.953387e-01,3.083653e-03,1.577683e-03,0.000000e+00,1.930588e+05,1.350973e-01
1.350000e+01,9.952670e-01,3.047797e-03,1.685252e-03,0.000000e+00,2.163284e+05,1.517669e-01
1.366667e+01,9.950518e-01,3.262935e-03,1.685252e-03,0.000000e+00,2.399449e+05,1.636478e-01
1.383333e+01,9.949801e-01,3.262935e-03,1.756965e-03,0.000000e+00,2.635306e+05,1.701961e-01
1.400000e+01,9.947650e-01,3.406361e-03,1.792822e-03,3.585643e-05,2.867217e+05,1.716846e-01
1.416667e+01,9.946574e-01,3.298792e-03,2.007960e-03,3.585643e-05,3.092010e+05,1.030592e-01
1.433333e+01,9.943347e-01,3.585643e-03,2.043817e-03,3.585643e-05,2.830768e+05,6.724193e-02
1.450000e+01,9.941554e-01,3.657356e-03,2.151386e-03,3.585643e-05,2.594322e+05,5.034023e-02
1.466667e+01,9.940478e-01,3.585643e-03,2.330668e-03,3.585643e-05,2.380970e+05,4.461187e-02
1.483333e+01,9.937968e-01,3.764925e-03,2.402381e-03,3.585643e-05,2.189320e+05,4.571600e-02
1.500000e+01,9.936534e-01,3.764925e-03,2.545807e-03,3.585643e-05,2.018276e+05,5.120912e-02
1.516667e+01,9.934741e-01,3.764925e-03,2.725089e-03,3.585643e-05,1.867001e+05,5.973407e-02
1.533333e+01,9.931156e-01,4.087633e-03,2.760945e-03,3.585643e-05,1.735234e+05,7.059088e-02
1.550000e+01,9.929363e-01,4.123490e-03,2.904371e-03,3.585643e-05,1.632509e+05,8.351754e-02
1.566667e+01,9.927929e-01,4.159346e-03,3.011940e-03,3.585643e-05,1.550669e+05,9.858270e-02
1.583333e+01,9.925419e-01,4.338628e-03,3.083653e-03,3.585643e-05,1.490819e+05,1.161284e-01
1.600000e+01,9.923626e-01,4.410341e-03,3.191222e-03,3.585643e-05,1.454603e+05,1.367143e-01
1.616667e+01,9.920757e-01,4.661336e-03,3.227079e-03,3.585643e-05,1.444360e+05,1.610223e-01
1.633333e+01,9.918606e-01,4.768905e-03,3.334648e-03,3.585643e-05,1.463228e+05,1.896922e-01
1.650000e+01,9.916813e-01,4.804762e-03,3.478074e-03,3.585643e-05,1.515233e+05,2.230967e-01
1.666667e+01,9.915737e-01,4.733049e-03,3.657356e-03,3.585643e-05,1.605462e+05,2.611152e-01
1.683333e+01,9.911793e-01,4.948187e-03,3.836638e-03,3.585643e-05,1.740191e+05,3.030212e-01
1.700000e+01,9.909642e-01,5.127470e-03,3.872495e-03,3.585643e-05,1.927039e+05,3.475882e-01
1.716667e+01,9.907132e-01,5.306752e-03,3.944207e-03,3.585643e-05,2.175083e+05,3.934481e-01
1.733333e+01,9.906415e-01,5.270895e-03,4.051777e-03,3.585643e-05,2.494973e+05,4.395960e-01
1.750000e+01,9.904980e-01,5.235039e-03,4.231059e-03,3.585643e-05,2.902902e+05,4.858647e-01
1.766667e+01,9.903188e-01,5.270895e-03,4.374485e-03,3.585643e-05,3.409596e+05,5.331950e-01
1.783333e+01,9.900319e-01,5.378465e-03,4.553767e-03,3.585643e-05,4.030852e+05,5.836283e-01
1.800000e+01,9.897451e-01,5.486034e-03,4.733049e-03,3.585643e-05,4.784133e+05,6.400660e-01
1.816667e+01,9.896016e-01,5.593603e-03,4.768905e-03,3.585643e-05,5.691088e+05,7.059363e-01
1.833333e+01,9.893865e-01,5.629460e-03,4.912331e-03,7.171286e-05,6.768436e+05,7.849101e-01
1.850000e+01,9.892431e-01,5.629460e-03,5.055757e-03,7.171286e-05,8.036408e+05,8.670253e-01
1.866667e+01,9.890638e-01,5.665316e-03,5.199182e-03,7.171286e-05,9.328392e+05,9.703814e-01
1.883333e+01,9.889204e-01,5.557747e-03,5.450177e-03,7.171286e-05,1.083799e+06,1.096655e+00
1.900000e+01,9.887052e-01,5.593603e-03,5.629460e-03,7.171286e-05,1.258516e+06,1.248032e+00
1.916667e+01,9.884184e-01,5.772885e-03,5.737029e-03,7.171286e-05,1.458762e+06,1.426606e+00
1.933333e+01,9.882032e-01,5.808742e-03,5.916311e-03,7.171286e-05,1.686040e+06,1.633791e+00
1.950000e+01,9.881315e-01,5.701173e-03,6.095593e-03,7.171286e-05,1.963466e+06,1.869820e+00
1.966667e+01,9.877730e-01,5.880455e-03,6.274875e-03,7.171286e-05,2.271898e+06,2.133450e+00
1.983333e+01,9.875937e-01,5.952168e-03,6.346588e-03,1.075693e-04,2.612431e+06,2.421930e+00
2.000000e+01,9.875578e-01,5.880455e-03,6.418301e-03,1.434257e-04,2.985910e+06,2.653690e+00
2.016667e+01,9.873427e-01,5.988024e-03,6.490014e-03,1.792822e-04,3.349399e+06,2.859649e+00
2.033333e+01,9.872351e-01,5.880455e-03,6.705153e-03,1.792822e-04,3.704396e+06,3.102890e+00
2.050000e+01,9.870917e-01,5.916311e-03,6.741009e-03,2.509950e-04,4.070336e+06,3.401512e+00
2.066667e+01,9.868048e-01,6.059737e-03,6.848578e-03,2.868514e-04,4.473142e+06,3.616289e+00
2.083333e+01,9.864821e-01,6.203163e-03,6.992004e-03,3.227079e-04,4.820018e+06,3.880858e+00
2.100000e+01,9.861953e-01,6.382445e-03,6.992004e-03,4.302772e-04,5.178171e+06,4.154091e+00
2.116667e+01,9.859801e-01,6.274875e-03,7.278855e-03,4.661336e-04,5.530394e+06,4.340249e+00
2.133333e+01,9.857291e-01,6.346588e-03,7.458138e-03,4.661336e-04,5.817997e+06,4.644505e+00
2.150000e+01,9.854423e-01,6.418301e-03,7.637420e-03,5.019900e-04,6.106303e+06,5.040409e+00
2.166667e+01,9.852272e-01,6.454158e-03,7.637420e-03,6.812722e-04,6.441690e+06,5.448923e+00
2.183333e+01,9.850479e-01,6.382445e-03,7.852558e-03,7.171286e-04,6.774849e+06,5.567688e+00
2.200000e+01,9.846893e-01,6.525870e-03,8.067697e-03,7.171286e-04,6.934512e+06,5.814370e+00
2.216667e+01,9.841873e-01,6.848578e-03,8.211123e-03,7.529850e-04,7.128999e+06,6.217068e+00
2.233333e+01,9.837570e-01,7.171286e-03,8.318692e-03,7.529850e-04,7.389901e+06,6.634027e+00
2.250000e+01,9.835060e-01,7.314712e-03,8.354548e-03,8.246979e-04,7.674911e+06,7.141962e+00
2.266667e+01,9.830758e-01,7.565707e-03,8.426261e-03,9.322672e-04,8.028017e+06,7.615513e+00
2.283333e+01,9.828965e-01,7.493994e-03,8.533831e-03,1.075693e-03,8.364848e+06,7.957716e+00
2.300000e+01,9.826813e-01,7.493994e-03,8.677256e-03,1.147406e-03,8.644038e+06,8.258141e+00
2.316667e+01,9.823586e-01,7.529850e-03,8.784826e-03,1.326688e-03,8.888645e+06,8.701934e+00
2.333333e+01,9.820718e-01,7.601563e-03,8.928251e-03,1.398401e-03,9.201319e+06,9.079187e+00
2.350000e+01,9.817491e-01,7.709133e-03,9.035821e-03,1.505970e-03,9.559943e+06,9.563376e+00
2.366667e+01,9.814264e-01,7.780845e-03,9.250959e-03,1.541827e-03,9.927471e+06,1.010191e+01
2.383333e+01,9.811037e-01,7.816702e-03,9.501954e-03,1.577683e-03,1.029406e+07,1.079539e+01
2.400000e+01,9.809961e-01,7.744989e-03,9.573667e-03,1.685252e-03,1.075499e+07,1.158733e+01
2.416667e+01,9.805300e-01,8.067697e-03,9.717093e-03,1.685252e-03,1.128558e+07,1.228102e+01
2.433333e+01,9.800638e-01,8.175266e-03,9.932231e-03,1.828678e-03,1.187642e+07,1.314324e+01
2.450000e+01,9.798128e-01,8.246979e-03,1.007566e-02,1.864534e-03,1.256344e+07,1.393060e+01
2.466667e+01,9.792033e-01,8.677256e-03,1.025494e-02,1.864534e-03,1.318296e+07,1.491444e+01
2.483333e+01,9.788806e-01,8.820682e-03,1.018323e-02,2.115529e-03,1.389647e+07,1.607377e+01
2.500000e+01,9.785220e-01,8.641400e-03,1.064936e-02,2.187242e-03,1.471000e+07,1.697074e+01
2.516667e+01,9.782351e-01,8.605543e-03,1.079279e-02,2.366524e-03,1.535422e+07,1.803746e+01
2.533333e+01,9.777332e-01,8.892395e-03,1.082864e-02,2.545807e-03,1.605658e+07,1.914703e+01
2.550000e+01,9.773029e-01,8.999964e-03,1.107964e-02,2.617519e-03,1.666043e+07,2.023574e+01
2.566667e+01,9.769085e-01,9.107533e-03,1.129478e-02,2.689232e-03,1.727402e+07,2.150310e+01
2.583333e+01,9.765499e-01,9.071677e-03,1.140235e-02,2.976084e-03,1.792973e+07,2.285914e+01
2.600000e+01,9.761196e-01,9.215103e-03,1.165334e-02,3.011940e-03,1.864506e+07,2.389118e+01
2.616667e+01,9.756176e-01,9.537811e-03,1.168920e-02,3.155366e-03,1.916482e+07,2.519802e+01
2.633333e+01,9.751873e-01,9.752949e-03,1.172505e-02,3.334648e-03,1.981378e+07,2.657972e+01
2.650000e+01,9.748288e-01,9.968088e-03,1.172505e-02,3.478074e-03,2.041894e+07,2.802042e+01
2.666667e+01,9.740399e-01,1.050593e-02,1.176091e-02,3.693212e-03,2.096863e+07,2.959792e+01
2.683333e+01,9.736814e-01,1.039836e-02,1.208362e-02,3.836638e-03,2.157681e+07,3.109159e+01
2.700000e+01,9.732870e-01,1.061350e-02,1.211947e-02,3.980064e-03,2.214862e+07,3.266965e+01
2.716667e+01,9.728567e-01,1.057765e-02,1.240633e-02,4.159346e-03,2.273262e+07,3.439274e+01
2.733333e+01,9.724981e-01,1.057765e-02,1.269318e-02,4.231059e-03,2.328156e+07,3.622794e+01
