Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.205691e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.445300e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.062718e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.257845e-22
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.258110e-21
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.507831e-21
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.972934e-21
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.826476e-21
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.936871e-20
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.810825e-20
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.487869e-20
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.469816e-19
2.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.882940e-19
2.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.651313e-19
2.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.107282e-18
2.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.168706e-18
3.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.246256e-18
3.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.311839e-18
3.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.626636e-17
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,3.182726e-17
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,6.226363e-17
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.081986e-01,1.217881e-16
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.666849e-01,2.381868e-16
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.090380e+00,4.657780e-16
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.597734e+00,9.107395e-16
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.211630e+00,1.780604e-15
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.960507e+00,3.480988e-15
4.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.879763e+00,6.804600e-15
5.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.013516e+00,1.330057e-14
5.166667e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,6.416790e+00,2.598739e-14
5.333333e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,8.158262e+00,5.062042e-14
5.500000e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,1.032368e+01,9.849461e-14
5.666667e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,1.302016e+01,1.914811e-13
5.833333e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,1.638150e+01,3.731234e-13
6.000000e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,2.057491e+01,7.286852e-13
6.166667e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,2.580934e+01,1.477927e-12
6.333333e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,3.234594e+01,2.990566e-12
6.500000e+00,9.997849e-01,1.792822e-04,3.585643e-05,0.000000e+00,4.051110e+01,5.999934e-12
6.666667e+00,9.997849e-01,1.434257e-04,7.171286e-05,0.000000e+00,5.071274e+01,1.198079e-11
6.833333e+00,9.997490e-01,1.792822e-04,7.171286e-05,0.000000e+00,6.346073e+01,2.374203e-11
7.000000e+00,9.996414e-01,2.868514e-04,7.171286e-05,0.000000e+00,7.940582e+01,4.692494e-11
7.166667e+00,9.996056e-01,3.227079e-04,7.171286e-05,0.000000e+00,9.933307e+01,9.176869e-11
7.333333e+00,9.995339e-01,3.944207e-04,7.171286e-05,0.000000e+00,1.242383e+02,1.789027e-10
7.500000e+00,9.995339e-01,3.944207e-04,7.171286e-05,0.000000e+00,1.553660e+02,3.482460e-10
7.666667e+00,9.994622e-01,4.661336e-04,7.171286e-05,0.000000e+00,1.942708e+02,6.794989e-10
7.833333e+00,9.993187e-01,6.095593e-04,7.171286e-05,0.000000e+00,2.428948e+02,1.323329e-09
8.000000e+00,9.992829e-01,6.095593e-04,1.075693e-04,0.000000e+00,3.036637e+02,2.581131e-09
8.166667e+00,9.992470e-01,6.454158e-04,1.075693e-04,0.000000e+00,3.796061e+02,5.031347e-09
8.333333e+00,9.992470e-01,6.454158e-04,1.075693e-04,0.000000e+00,4.745132e+02,9.795471e-09
8.500000e+00,9.991753e-01,7.171286e-04,1.075693e-04,0.000000e+00,5.930932e+02,1.909293e-08
8.666667e+00,9.991753e-01,7.171286e-04,1.075693e-04,0.000000e+00,7.412290e+02,3.723437e-08
8.833333e+00,9.990677e-01,8.246979e-04,1.075693e-04,0.000000e+00,9.262530e+02,7.251838e-08
9.000000e+00,9.990319e-01,8.605543e-04,1.075693e-04,0.000000e+00,1.157296e+03,1.411582e-07
9.166667e+00,9.989960e-01,8.964108e-04,1.075693e-04,0.000000e+00,1.445719e+03,2.745717e-07
9.333333e+00,9.987809e-01,1.075693e-03,1.434257e-04,0.000000e+00,1.805638e+03,5.335365e-07
9.500000e+00,9.986375e-01,1.147406e-03,2.151386e-04,0.000000e+00,2.254566e+03,1.035246e-06
9.666667e+00,9.984940e-01,1.290832e-03,2.151386e-04,0.000000e+00,2.814197e+03,2.005327e-06
9.833333e+00,9.983506e-01,1.398401e-03,2.509950e-04,0.000000e+00,3.511509e+03,3.875934e-06
1.000000e+01,9.983147e-01,1.434257e-03,2.509950e-04,0.000000e+00,4.379340e+03,7.471363e-06
1.016667e+01,9.982072e-01,1.505970e-03,2.868514e-04,0.000000e+00,5.458192e+03,1.435368e-05
1.033333e+01,9.979920e-01,1.721109e-03,2.868514e-04,0.000000e+00,6.797519e+03,2.746119e-05
1.050000e+01,9.979920e-01,1.649396e-03,3.585643e-04,0.000000e+00,8.457436e+03,5.226869e-05
1.066667e+01,9.979562e-01,1.649396e-03,3.944207e-04,0.000000e+00,1.051025e+04,9.885760e-05
1.083333e+01,9.978845e-01,1.685252e-03,4.302772e-04,0.000000e+00,1.304294e+04,1.855219e-04
1.100000e+01,9.978128e-01,1.649396e-03,5.378465e-04,0.000000e+00,1.615703e+04,3.448577e-04
1.116667e+01,9.977052e-01,1.721109e-03,5.737029e-04,0.000000e+00,1.997118e+04,6.336406e-04
1.133333e+01,9.976335e-01,1.792822e-03,5.737029e-04,0.000000e+00,2.462791e+04,1.148001e-03
1.150000e+01,9.974900e-01,1.864534e-03,6.454158e-04,0.000000e+00,3.027238e+04,2.045047e-03
1.166667e+01,9.972749e-01,2.007960e-03,7.171286e-04,0.000000e+00,3.706825e+04,3.570366e-03
1.183333e+01,9.970956e-01,2.079673e-03,8.246979e-04,0.000000e+00,4.518567e+04,6.086816e-03
1.200000e+01,9.968805e-01,2.151386e-03,9.681236e-04,0.000000e+00,5.479204e+04,1.009254e-02
1.216667e+01,9.967371e-01,2.258955e-03,1.003980e-03,0.000000e+00,6.603899e+04,1.620738e-02
1.233333e+01,9.966654e-01,2.258955e-03,1.075693e-03,0.000000e+00,7.905022e+04,2.510025e-02
1.250000e+01,9.964502e-01,2.366524e-03,1.183262e-03,0.000000e+00,9.389605e+04,3.733761e-02
1.266667e+01,9.961275e-01,2.617519e-03,1.254975e-03,0.000000e+00,1.105850e+05,5.316251e-02
1.283333e+01,9.959841e-01,2.617519e-03,1.398401e-03,0.000000e+00,1.290496e+05,7.226789e-02
1.300000e+01,9.956614e-01,2.940227e-03,1.398401e-03,0.000000e+00,1.491366e+05,9.367353e-02
1.316667e+01,9.955538e-01,2.940227e-03,1.505970e-03,0.000000e+00,1.706126e+05,1.158168e-01
1.333333e+01,9.954462e-01,2.940227e-03,1.613539e-03,0.000000e+00,1.931744e+05,1.368717e-01
1.350000e+01,9.951952e-01,3.155366e-03,1.649396e-03,0.000000e+00,2.164747e+05,1.552125e-01
1.366667e+01,9.951594e-01,3.119509e-03,1.721109e-03,0.000000e+00,2.401338e+05,1.698411e-01
1.383333e+01,9.949084e-01,3.262935e-03,1.828678e-03,0.000000e+00,2.637681e+05,1.806296e-01
1.400000e+01,9.947291e-01,3.406361e-03,1.828678e-03,3.585643e-05,2.870203e+05,1.883213e-01
1.416667e+01,9.945498e-01,3.549787e-03,1.864534e-03,3.585643e-05,3.095745e+05,1.274284e-01
1.433333e+01,9.944781e-01,3.478074e-03,2.007960e-03,3.585643e-05,2.835527e+05,1.041245e-01
1.450000e+01,9.942271e-01,3.621500e-03,2.115529e-03,3.585643e-05,2.600310e+05,1.036003e-01
1.466667e+01,9.939044e-01,3.872495e-03,2.187242e-03,3.585643e-05,2.388495e+05,1.181265e-01
1.483333e+01,9.937610e-01,3.729069e-03,2.474094e-03,3.585643e-05,2.198753e+05,1.437146e-01
1.500000e+01,9.936176e-01,3.836638e-03,2.509950e-03,3.585643e-05,2.030054e+05,1.784085e-01
1.516667e+01,9.934741e-01,3.836638e-03,2.653376e-03,3.585643e-05,1.881674e+05,2.214455e-01
1.533333e+01,9.932590e-01,3.908351e-03,2.796802e-03,3.585643e-05,1.753214e+05,2.728577e-01
1.550000e+01,9.931156e-01,3.908351e-03,2.940227e-03,3.585643e-05,1.645157e+05,3.332868e-01
1.566667e+01,9.930797e-01,3.908351e-03,2.976084e-03,3.585643e-05,1.557420e+05,4.039010e-01
1.583333e+01,9.927570e-01,4.159346e-03,3.047797e-03,3.585643e-05,1.490829e+05,4.863586e-01
1.600000e+01,9.923984e-01,4.374485e-03,3.191222e-03,3.585643e-05,1.446714e+05,5.827937e-01
1.616667e+01,9.921833e-01,4.589623e-03,3.191222e-03,3.585643e-05,1.426972e+05,6.958147e-01
1.633333e+01,9.920399e-01,4.553767e-03,3.370504e-03,3.585643e-05,1.434355e+05,8.285113e-01
1.650000e+01,9.917172e-01,4.661336e-03,3.585643e-03,3.585643e-05,1.471928e+05,9.844706e-01
1.666667e+01,9.914303e-01,4.804762e-03,3.729069e-03,3.585643e-05,1.543723e+05,1.167802e+00
1.683333e+01,9.913227e-01,4.733049e-03,3.908351e-03,3.585643e-05,1.654649e+05,1.383169e+00
1.700000e+01,9.912510e-01,4.625480e-03,4.087633e-03,3.585643e-05,1.810385e+05,1.635820e+00
1.716667e+01,9.910000e-01,4.697192e-03,4.266915e-03,3.585643e-05,2.022329e+05,1.931594e+00
1.733333e+01,9.908566e-01,4.768905e-03,4.338628e-03,3.585643e-05,2.294263e+05,2.276861e+00
1.750000e+01,9.906773e-01,4.840618e-03,4.446197e-03,3.585643e-05,2.634020e+05,2.678341e+00
1.766667e+01,9.904263e-01,4.948187e-03,4.589623e-03,3.585643e-05,3.051545e+05,3.142745e+00
1.783333e+01,9.902471e-01,5.091613e-03,4.625480e-03,3.585643e-05,3.577902e+05,3.676241e+00
1.800000e+01,9.900678e-01,5.127470e-03,4.768905e-03,3.585643e-05,4.204880e+05,4.283810e+00
1.816667e+01,9.899602e-01,5.127470e-03,4.876475e-03,3.585643e-05,4.942873e+05,4.968710e+00
1.833333e+01,9.897809e-01,5.163326e-03,5.019900e-03,3.585643e-05,5.803619e+05,5.732252e+00
1.850000e+01,9.894582e-01,5.378465e-03,5.127470e-03,3.585643e-05,6.800596e+05,6.573962e+00
1.866667e+01,9.892072e-01,5.450177e-03,5.270895e-03,7.171286e-05,7.946417e+05,7.492037e+00
1.883333e+01,9.890996e-01,5.450177e-03,5.378465e-03,7.171286e-05,9.257277e+05,8.475096e+00
1.900000e+01,9.888128e-01,5.629460e-03,5.486034e-03,7.171286e-05,1.061494e+06,9.529181e+00
1.916667e+01,9.887052e-01,5.593603e-03,5.629460e-03,7.171286e-05,1.261269e+06,1.064841e+01
1.933333e+01,9.885259e-01,5.737029e-03,5.665316e-03,7.171286e-05,1.478344e+06,1.182592e+01
1.950000e+01,9.883825e-01,5.737029e-03,5.808742e-03,7.171286e-05,1.714389e+06,1.305316e+01
1.966667e+01,9.882032e-01,5.772885e-03,5.952168e-03,7.171286e-05,1.971175e+06,1.431965e+01
1.983333e+01,9.878805e-01,5.808742e-03,6.239019e-03,7.171286e-05,2.250524e+06,1.561322e+01
2.000000e+01,9.877012e-01,5.844598e-03,6.382445e-03,7.171286e-05,2.554223e+06,1.692095e+01
2.016667e+01,9.873427e-01,5.988024e-03,6.561727e-03,1.075693e-04,2.888380e+06,1.823055e+01
2.033333e+01,9.870558e-01,6.023880e-03,6.812722e-03,1.075693e-04,3.250843e+06,1.950171e+01
2.050000e+01,9.869124e-01,5.880455e-03,7.099573e-03,1.075693e-04,3.635931e+06,2.077708e+01
2.066667e+01,9.867331e-01,5.952168e-03,7.207143e-03,1.075693e-04,4.056844e+06,2.204490e+01
2.083333e+01,9.866256e-01,5.737029e-03,7.350568e-03,2.868514e-04,4.515702e+06,2.330210e+01
2.100000e+01,9.863387e-01,5.988024e-03,7.386425e-03,2.868514e-04,5.012396e+06,2.307420e+01
2.116667e+01,9.861236e-01,6.059737e-03,7.493994e-03,3.227079e-04,5.320613e+06,2.367001e+01
2.133333e+01,9.859443e-01,6.203163e-03,7.529850e-03,3.227079e-04,5.681658e+06,2.459935e+01
2.150000e+01,9.855857e-01,6.418301e-03,7.637420e-03,3.585643e-04,6.049223e+06,2.586187e+01
2.166667e+01,9.851913e-01,6.741009e-03,7.637420e-03,4.302772e-04,6.476111e+06,2.708879e+01
2.183333e+01,9.849762e-01,6.848578e-03,7.709133e-03,4.661336e-04,6.914984e+06,2.816252e+01
2.200000e+01,9.846534e-01,6.920291e-03,7.888415e-03,5.378465e-04,7.361464e+06,2.926590e+01
2.216667e+01,9.842232e-01,7.171286e-03,7.960128e-03,6.454158e-04,7.825955e+06,3.012207e+01
2.233333e+01,9.839005e-01,7.386425e-03,7.960128e-03,7.529850e-04,8.291749e+06,3.078219e+01
2.250000e+01,9.837212e-01,7.314712e-03,8.175266e-03,7.888415e-04,8.693404e+06,3.073637e+01
2.266667e+01,9.834343e-01,7.422281e-03,8.246979e-03,8.964108e-04,9.088420e+06,3.141346e+01
2.283333e+01,9.832192e-01,7.529850e-03,8.318692e-03,9.322672e-04,9.515897e+06,3.182858e+01
2.300000e+01,9.827172e-01,7.816702e-03,8.462118e-03,1.003980e-03,9.910324e+06,3.264844e+01
2.316667e+01,9.825379e-01,7.565707e-03,8.784826e-03,1.111549e-03,1.034294e+07,3.297518e+01
2.333333e+01,9.823586e-01,7.637420e-03,8.677256e-03,1.326688e-03,1.077016e+07,3.293950e+01
2.350000e+01,9.819284e-01,7.852558e-03,8.856538e-03,1.362544e-03,1.115835e+07,3.266192e+01
2.366667e+01,9.815698e-01,8.031841e-03,8.999964e-03,1.398401e-03,1.142245e+07,3.298573e+01
2.383333e+01,9.812829e-01,8.103553e-03,9.035821e-03,1.577683e-03,1.175542e+07,3.408677e+01
2.400000e+01,9.808168e-01,8.282836e-03,9.215103e-03,1.685252e-03,1.215217e+07,3.447030e+01
2.416667e+01,9.805658e-01,8.390405e-03,9.322672e-03,1.721109e-03,1.251047e+07,3.502462e+01
2.433333e+01,9.802790e-01,8.426261e-03,9.537811e-03,1.756965e-03,1.288066e+07,3.618274e+01
2.450000e+01,9.798487e-01,8.641400e-03,9.609523e-03,1.900391e-03,1.332464e+07,3.774468e+01
2.466667e+01,9.795977e-01,8.569687e-03,9.824662e-03,2.007960e-03,1.386949e+07,3.919945e+01
2.483333e+01,9.790957e-01,8.713113e-03,1.011151e-02,2.079673e-03,1.437834e+07,4.059742e+01
2.500000e+01,9.789164e-01,8.641400e-03,1.029080e-02,2.151386e-03,1.492494e+07,4.108607e+01
2.516667e+01,9.787371e-01,8.641400e-03,1.025494e-02,2.366524e-03,1.552685e+07,4.190395e+01
2.533333e+01,9.781634e-01,8.892395e-03,1.047008e-02,2.474094e-03,1.619116e+07,4.121751e+01
2.550000e+01,9.777332e-01,9.107533e-03,1.064936e-02,2.509950e-03,1.675486e+07,4.081933e+01
2.566667e+01,9.773029e-01,9.466098e-03,1.061350e-02,2.617519e-03,1.735051e+07,4.068638e+01
2.583333e+01,9.769802e-01,9.430241e-03,1.072107e-02,2.868514e-03,1.808665e+07,4.056008e+01
2.600000e+01,9.766933e-01,9.573667e-03,1.057765e-02,3.155366e-03,1.883899e+07,3.996976e+01
2.616667e+01,9.764782e-01,9.466098e-03,1.082864e-02,3.227079e-03,1.941003e+07,3.823626e+01
2.633333e+01,9.760120e-01,9.681236e-03,1.082864e-02,3.478074e-03,1.976654e+07,3.759824e+01
2.650000e+01,9.752949e-01,1.003980e-02,1.107964e-02,3.585643e-03,2.023598e+07,3.676880e+01
2.666667e+01,9.747571e-01,1.029080e-02,1.122306e-02,3.729069e-03,2.054620e+07,3.707063e+01
2.683333e+01,9.744702e-01,1.032665e-02,1.143820e-02,3.764925e-03,2.086419e+07,3.739613e+01
2.700000e+01,9.740758e-01,1.050593e-02,1.165334e-02,3.764925e-03,2.123290e+07,3.852047e+01
2.716667e+01,9.736814e-01,1.061350e-02,1.161748e-02,4.087633e-03,2.170588e+07,4.022327e+01
2.733333e+01,9.732511e-01,1.064936e-02,1.179677e-02,4.302772e-03,2.232141e+07,4.127833e+01
