Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.094519e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.890665e-23
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.632335e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.135379e-21
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.856507e-21
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.070991e-20
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.816005e-20
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.748221e-19
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.592050e-18
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.757001e-18
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.865973e-17
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.214943e-16
2.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.148025e-16
2.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.180486e-15
2.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.241951e-15
2.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.991964e-14
3.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.748414e-13
3.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.516496e-13
3.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.903053e-12
3.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.771699e-11
3.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.217376e-11
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,3.008356e-10
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.259050e-09
4.166667e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,2.249729e+02,5.292044e-09
4.333333e+00,9.996414e-01,2.868514e-04,7.171286e-05,0.000000e+00,5.684155e+02,2.224675e-08
4.500000e+00,9.996056e-01,3.227079e-04,7.171286e-05,0.000000e+00,1.104378e+03,9.340886e-08
4.666667e+00,9.995697e-01,3.227079e-04,1.075693e-04,0.000000e+00,1.951452e+03,3.913509e-07
4.833333e+00,9.993187e-01,5.378465e-04,1.434257e-04,0.000000e+00,3.298787e+03,1.633754e-06
5.000000e+00,9.991753e-01,6.454158e-04,1.792822e-04,0.000000e+00,5.446021e+03,6.781069e-06
5.166667e+00,9.991036e-01,6.812722e-04,2.151386e-04,0.000000e+00,8.862283e+03,2.788656e-05
5.333333e+00,9.989243e-01,8.246979e-04,2.509950e-04,0.000000e+00,1.426841e+04,1.129977e-04
5.500000e+00,9.986375e-01,1.003980e-03,3.585643e-04,0.000000e+00,2.273900e+04,4.472452e-04
5.666667e+00,9.983865e-01,1.254975e-03,3.585643e-04,0.000000e+00,3.580010e+04,1.705685e-03
5.833333e+00,9.982430e-01,1.398401e-03,3.585643e-04,0.000000e+00,5.545581e+04,6.135487e-03
6.000000e+00,9.980638e-01,1.541827e-03,3.944207e-04,0.000000e+00,8.402188e+04,2.012839e-02
6.166667e+00,9.978128e-01,1.792822e-03,3.944207e-04,0.000000e+00,1.236321e+05,5.722459e-02
6.333333e+00,9.975618e-01,2.043817e-03,3.944207e-04,0.000000e+00,1.754381e+05,1.320911e-01
6.500000e+00,9.973108e-01,2.187242e-03,4.661336e-04,3.585643e-05,2.388539e+05,2.359527e-01
6.666667e+00,9.970598e-01,2.366524e-03,5.378465e-04,3.585643e-05,3.113948e+05,2.261174e-01
6.833333e+00,9.969163e-01,2.474094e-03,5.737029e-04,3.585643e-05,2.842948e+05,1.409222e-01
7.000000e+00,9.967012e-01,2.581663e-03,6.812722e-04,3.585643e-05,2.595644e+05,8.151822e-02
7.166667e+00,9.965578e-01,2.653376e-03,7.529850e-04,3.585643e-05,2.370033e+05,4.670193e-02
7.333333e+00,9.962351e-01,2.796802e-03,9.322672e-04,3.585643e-05,2.164319e+05,2.789516e-02
7.500000e+00,9.959124e-01,3.047797e-03,1.003980e-03,3.585643e-05,1.976926e+05,1.880268e-02
7.666667e+00,9.957689e-01,3.083653e-03,1.111549e-03,3.585643e-05,1.806919e+05,1.555714e-02
7.833333e+00,9.954821e-01,3.370504e-03,1.111549e-03,3.585643e-05,1.653121e+05,1.588240e-02
8.000000e+00,9.952311e-01,3.513930e-03,1.219119e-03,3.585643e-05,1.514941e+05,1.844828e-02
8.166667e+00,9.949442e-01,3.621500e-03,1.398401e-03,3.585643e-05,1.392339e+05,2.247009e-02
8.333333e+00,9.947291e-01,3.729069e-03,1.505970e-03,3.585643e-05,1.286228e+05,2.747770e-02
8.500000e+00,9.946574e-01,3.693212e-03,1.613539e-03,3.585643e-05,1.198733e+05,3.318548e-02
8.666667e+00,9.943705e-01,3.908351e-03,1.685252e-03,3.585643e-05,1.133912e+05,3.941889e-02
8.833333e+00,9.937968e-01,4.446197e-03,1.721109e-03,3.585643e-05,1.100361e+05,4.607216e-02
9.000000e+00,9.936893e-01,4.446197e-03,1.828678e-03,3.585643e-05,1.109883e+05,5.308285e-02
