Time,U,I1,I2,D,Ve
0.000000e+00,9.997772e-01,2.227668e-04,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,0.000000e+00
3.333333e-01,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,0.000000e+00
5.000000e-01,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,3.538528e-03
6.666667e-01,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,7.654349e-03
8.333333e-01,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.251851e-02
1.000000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.834258e-02
1.166667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,2.538866e-02
1.333333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,3.398252e-02
1.500000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,4.452908e-02
1.666667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,5.753242e-02
1.833333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,7.362049e-02
2.000000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,9.357566e-02
2.166667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.183727e-01
2.333333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.492261e-01
2.500000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.876478e-01
2.666667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,2.355193e-01
2.833333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,2.951795e-01
3.000000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,3.695324e-01
3.166667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,4.621777e-01
3.333333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,5.775687e-01
3.500000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,7.212003e-01
3.666667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,8.998314e-01
3.833333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.121743e+00
4.000000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.397030e+00
4.166667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.737927e+00
4.333333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,2.159148e+00
4.500000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,2.678232e+00
4.666667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,3.315853e+00
4.833333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,4.096048e+00
5.000000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,5.046323e+00
5.166667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,6.197533e+00
5.333333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,7.583501e+00
5.500000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,9.240286e+00
5.666667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.120509e+01
5.833333e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.351484e+01
6.000000e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.620446e+01
6.166667e+00,9.997772e-01,0.000000e+00,2.227668e-04,0.000000e+00,1.930515e+01
6.333333e+00,9.995545e-01,2.227668e-04,2.227668e-04,0.000000e+00,2.284268e+01
6.500000e+00,9.993317e-01,4.455335e-04,2.227668e-04,0.000000e+00,2.683598e+01
6.666667e+00,9.993317e-01,4.455335e-04,2.227668e-04,0.000000e+00,3.129625e+01
6.833333e+00,9.993317e-01,4.455335e-04,2.227668e-04,0.000000e+00,3.622650e+01
7.000000e+00,9.993317e-01,4.455335e-04,2.227668e-04,0.000000e+00,4.162169e+01
7.166667e+00,9.991089e-01,6.683003e-04,2.227668e-04,0.000000e+00,4.746921e+01
7.333333e+00,9.991089e-01,6.683003e-04,2.227668e-04,0.000000e+00,5.374984e+01
7.500000e+00,9.991089e-01,6.683003e-04,2.227668e-04,0.000000e+00,6.043876e+01
7.666667e+00,9.988862e-01,8.910671e-04,2.227668e-04,0.000000e+00,6.750668e+01
7.833333e+00,9.988862e-01,8.910671e-04,2.227668e-04,0.000000e+00,7.492102e+01
8.000000e+00,9.988862e-01,8.910671e-04,2.227668e-04,0.000000e+00,8.264687e+01
8.166667e+00,9.988862e-01,8.910671e-04,2.227668e-04,0.000000e+00,9.064796e+01
8.333333e+00,9.988862e-01,6.683003e-04,4.455335e-04,0.000000e+00,9.888743e+01
8.500000e+00,9.986634e-01,8.910671e-04,4.455335e-04,0.000000e+00,1.073285e+02
8.666667e+00,9.984406e-01,1.113834e-03,4.455335e-04,0.000000e+00,1.159632e+02
8.833333e+00,9.982179e-01,1.336601e-03,4.455335e-04,0.000000e+00,1.247308e+02
9.000000e+00,9.982179e-01,1.336601e-03,4.455335e-04,0.000000e+00,1.335982e+02
9.166667e+00,9.979951e-01,1.559367e-03,4.455335e-04,0.000000e+00,1.425334e+02
9.333333e+00,9.979951e-01,1.559367e-03,4.455335e-04,0.000000e+00,1.515067e+02
9.500000e+00,9.979951e-01,1.113834e-03,8.910671e-04,0.000000e+00,1.604898e+02
9.666667e+00,9.979951e-01,1.113834e-03,8.910671e-04,0.000000e+00,1.694566e+02
9.833333e+00,9.977723e-01,1.336601e-03,8.910671e-04,0.000000e+00,1.784208e+02
1.000000e+01,9.977723e-01,1.336601e-03,8.910671e-04,0.000000e+00,1.873249e+02
1.016667e+01,9.977723e-01,1.113834e-03,1.113834e-03,0.000000e+00,1.961492e+02
1.033333e+01,9.977723e-01,1.113834e-03,1.113834e-03,0.000000e+00,2.048755e+02
