Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,5.107463e-04
5.000000e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.538668e-03,1.004784e-03
6.666667e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.654941e-03,1.470584e-03
8.333333e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.252011e-02,1.959425e-03
1.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.834613e-02,2.520804e-03
1.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.539571e-02,3.199798e-03
1.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.399561e-02,4.042004e-03
1.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.455231e-02,5.098171e-03
1.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.757242e-02,6.428061e-03
1.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.368782e-02,8.104309e-03
2.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.368717e-02,1.021633e-02
2.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.185552e-01,1.287535e-02
2.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.495220e-01,1.621981e-02
2.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.881240e-01,2.042245e-02
2.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.362815e-01,2.569913e-02
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.963939e-01,3.231995e-02
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.714599e-01,4.062244e-02
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.652274e-01,5.102865e-02
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.823804e-01,6.406613e-02
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.287729e-01,8.039483e-02
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.117208e-01,1.008396e-01
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.140366e+00,1.264314e-01
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.426133e+00,1.584595e-01
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.783295e+00,1.985348e-01
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.229679e+00,2.486699e-01
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.787555e+00,3.113790e-01
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.484727e+00,3.898022e-01
4.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.355901e+00,4.878592e-01
5.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.444380e+00,6.104418e-01
5.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.804172e+00,7.636510e-01
5.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.502585e+00,9.550917e-01
5.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.062344e+01,1.194236e+00
5.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.327104e+01,1.492868e+00
5.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.657497e+01,1.865634e+00
6.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.069604e+01,2.331220e+00
6.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.583339e+01,2.911606e+00
6.333333e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,3.223308e+01,3.634593e+00
6.500000e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,4.019825e+01,4.534498e+00
6.666667e+00,9.997490e-01,2.151386e-04,3.585643e-05,0.000000e+00,5.010102e+01,5.653942e+00
6.833333e+00,9.997131e-01,2.509950e-04,3.585643e-05,0.000000e+00,6.239614e+01,7.044864e+00
7.000000e+00,9.996414e-01,3.227079e-04,3.585643e-05,0.000000e+00,7.763634e+01,8.769726e+00
7.166667e+00,9.995339e-01,4.302772e-04,3.585643e-05,0.000000e+00,9.648886e+01,1.090344e+01
7.333333e+00,9.994980e-01,4.661336e-04,3.585643e-05,0.000000e+00,1.197525e+02,1.353687e+01
7.500000e+00,9.994622e-01,5.019900e-04,3.585643e-05,0.000000e+00,1.483741e+02,1.677759e+01
7.666667e+00,9.994263e-01,5.378465e-04,3.585643e-05,0.000000e+00,1.834619e+02,2.074969e+01
7.833333e+00,9.992829e-01,6.812722e-04,3.585643e-05,0.000000e+00,2.262940e+02,2.559710e+01
8.000000e+00,9.992112e-01,7.529850e-04,3.585643e-05,0.000000e+00,2.783182e+02,3.148228e+01
8.166667e+00,9.991753e-01,7.529850e-04,7.171286e-05,0.000000e+00,3.411397e+02,3.858578e+01
8.333333e+00,9.991394e-01,7.529850e-04,1.075693e-04,0.000000e+00,4.164933e+02,4.709816e+01
8.500000e+00,9.991394e-01,7.529850e-04,1.075693e-04,0.000000e+00,5.062022e+02,5.721664e+01
8.666667e+00,9.990319e-01,8.605543e-04,1.075693e-04,0.000000e+00,6.121155e+02,6.913636e+01
8.833333e+00,9.989243e-01,9.322672e-04,1.434257e-04,0.000000e+00,7.360040e+02,8.303984e+01
9.000000e+00,9.988526e-01,9.681236e-04,1.792822e-04,0.000000e+00,8.795055e+02,9.908734e+01
9.166667e+00,9.987809e-01,1.003980e-03,2.151386e-04,0.000000e+00,1.044043e+03,1.174028e+02
9.333333e+00,9.987450e-01,1.039836e-03,2.151386e-04,0.000000e+00,1.230753e+03,1.380674e+02
9.500000e+00,9.986375e-01,1.111549e-03,2.509950e-04,0.000000e+00,1.440422e+03,1.611150e+02
9.666667e+00,9.985657e-01,1.075693e-03,3.585643e-04,0.000000e+00,1.673304e+03,1.865322e+02
9.833333e+00,9.984582e-01,1.075693e-03,4.661336e-04,0.000000e+00,1.929813e+03,2.142692e+02
1.000000e+01,9.983865e-01,1.147406e-03,4.661336e-04,0.000000e+00,2.209284e+03,2.442403e+02
1.016667e+01,9.982430e-01,1.290832e-03,4.661336e-04,0.000000e+00,2.510834e+03,2.763415e+02
1.033333e+01,9.980638e-01,1.470114e-03,4.661336e-04,0.000000e+00,2.833355e+03,3.104599e+02
1.050000e+01,9.980279e-01,1.434257e-03,5.378465e-04,0.000000e+00,3.175553e+03,3.464888e+02
1.066667e+01,9.979562e-01,1.398401e-03,6.454158e-04,0.000000e+00,3.535959e+03,3.843334e+02
1.083333e+01,9.977410e-01,1.613539e-03,6.454158e-04,0.000000e+00,3.913294e+03,4.239170e+02
1.100000e+01,9.976335e-01,1.541827e-03,8.246979e-04,0.000000e+00,4.305767e+03,4.651908e+02
1.116667e+01,9.974900e-01,1.685252e-03,8.246979e-04,0.000000e+00,4.711628e+03,5.081373e+02
1.133333e+01,9.973825e-01,1.756965e-03,8.605543e-04,0.000000e+00,5.129353e+03,5.527638e+02
1.150000e+01,9.972032e-01,1.900391e-03,8.964108e-04,0.000000e+00,5.557323e+03,5.991143e+02
1.166667e+01,9.970598e-01,2.007960e-03,9.322672e-04,0.000000e+00,5.994117e+03,6.472618e+02
