Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,6.204251e-23
5.000000e-01,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.412405e-22
6.666667e-01,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.933893e-22
8.333333e-01,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,5.901139e-22
1.000000e+00,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.172522e-21
1.166667e+00,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,2.317555e-21
1.333333e+00,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,4.568790e-21
1.500000e+00,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,8.992609e-21
1.666667e+00,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.768083e-20
1.833333e+00,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,3.473580e-20
2.000000e+00,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,6.820083e-20
2.166667e+00,9.999910e-01,8.964108e-06,0.000000e+00,0.000000e+00,0.000000e+00,1.338426e-19
2.333333e+00,9.999910e-01,0.000000e+00,8.964108e-06,0.000000e+00,0.000000e+00,2.625609e-19
2.500000e+00,9.999910e-01,0.000000e+00,8.964108e-06,0.000000e+00,0.000000e+00,5.149027e-19
2.666667e+00,9.999910e-01,0.000000e+00,8.964108e-06,0.000000e+00,6.454532e-02,1.009490e-18
2.833333e+00,9.999910e-01,0.000000e+00,8.964108e-06,0.000000e+00,1.396225e-01,1.978684e-18
3.000000e+00,9.999821e-01,8.964108e-06,8.964108e-06,0.000000e+00,2.283564e-01,3.877591e-18
3.166667e+00,9.999821e-01,8.964108e-06,8.964108e-06,0.000000e+00,3.346115e-01,7.597497e-18
3.333333e+00,9.999821e-01,8.964108e-06,8.964108e-06,0.000000e+00,4.631801e-01,1.488363e-17
3.500000e+00,9.999821e-01,0.000000e+00,1.792822e-05,0.000000e+00,6.200184e-01,2.915304e-17
3.666667e+00,9.999731e-01,8.964108e-06,1.792822e-05,0.000000e+00,8.125405e-01,5.709549e-17
3.833333e+00,9.999731e-01,8.964108e-06,1.792822e-05,0.000000e+00,1.055518e+00,1.118068e-16
4.000000e+00,9.999731e-01,8.964108e-06,1.792822e-05,0.000000e+00,1.355847e+00,2.189213e-16
4.166667e+00,9.999731e-01,8.964108e-06,1.792822e-05,0.000000e+00,1.728179e+00,4.286121e-16
4.333333e+00,9.999641e-01,1.792822e-05,1.792822e-05,0.000000e+00,2.190808e+00,8.390759e-16
4.500000e+00,9.999641e-01,1.792822e-05,1.792822e-05,0.000000e+00,2.766579e+00,1.642485e-15
4.666667e+00,9.999641e-01,8.964108e-06,2.689232e-05,0.000000e+00,3.484033e+00,3.214900e-15
4.833333e+00,9.999552e-01,1.792822e-05,2.689232e-05,0.000000e+00,4.378832e+00,6.292189e-15
5.000000e+00,9.999552e-01,8.964108e-06,3.585643e-05,0.000000e+00,5.506356e+00,1.231420e-14
5.166667e+00,9.999373e-01,2.689232e-05,3.585643e-05,0.000000e+00,6.913260e+00,2.409813e-14
5.333333e+00,9.999373e-01,2.689232e-05,3.585643e-05,0.000000e+00,8.673232e+00,4.719728e-14
5.500000e+00,9.999104e-01,5.378465e-05,3.585643e-05,0.000000e+00,1.087099e+01,9.250700e-14
5.666667e+00,9.999104e-01,4.482054e-05,4.482054e-05,0.000000e+00,1.361630e+01,1.814726e-13
5.833333e+00,9.998924e-01,6.274875e-05,4.482054e-05,0.000000e+00,1.704637e+01,3.563454e-13
6.000000e+00,9.998924e-01,6.274875e-05,4.482054e-05,0.000000e+00,2.133626e+01,7.003879e-13
6.166667e+00,9.998835e-01,7.171286e-05,4.482054e-05,0.000000e+00,2.669740e+01,1.394465e-12
6.333333e+00,9.998566e-01,9.860518e-05,4.482054e-05,0.000000e+00,3.339797e+01,2.882045e-12
6.500000e+00,9.998386e-01,1.165334e-04,4.482054e-05,0.000000e+00,4.177320e+01,5.839940e-12
6.666667e+00,9.998207e-01,1.254975e-04,5.378465e-05,0.000000e+00,5.224212e+01,1.171514e-11
6.833333e+00,9.998118e-01,1.344616e-04,5.378465e-05,0.000000e+00,6.532851e+01,2.331143e-11
7.000000e+00,9.998028e-01,1.434257e-04,5.378465e-05,0.000000e+00,8.175156e+01,4.674778e-11
7.166667e+00,9.997938e-01,1.523898e-04,5.378465e-05,0.000000e+00,1.022755e+02,9.126381e-11
7.333333e+00,9.997669e-01,1.613539e-04,7.171286e-05,0.000000e+00,1.279259e+02,1.768034e-10
7.500000e+00,9.997580e-01,1.703180e-04,7.171286e-05,0.000000e+00,1.599843e+02,3.429502e-10
7.666667e+00,9.997400e-01,1.792822e-04,8.067697e-05,0.000000e+00,2.000868e+02,6.689304e-10
7.833333e+00,9.997042e-01,1.882463e-04,1.075693e-04,0.000000e+00,2.502046e+02,1.301167e-09
8.000000e+00,9.996952e-01,1.972104e-04,1.075693e-04,0.000000e+00,3.128420e+02,2.542200e-09
8.166667e+00,9.996504e-01,2.330668e-04,1.165334e-04,0.000000e+00,3.912008e+02,4.951893e-09
8.333333e+00,9.996145e-01,2.599591e-04,1.254975e-04,0.000000e+00,4.891078e+02,9.645521e-09
8.500000e+00,9.995966e-01,2.689232e-04,1.344616e-04,0.000000e+00,6.115874e+02,1.880662e-08
8.666667e+00,9.995518e-01,3.137438e-04,1.344616e-04,0.000000e+00,7.646035e+02,3.665863e-08
8.833333e+00,9.995428e-01,3.137438e-04,1.434257e-04,0.000000e+00,9.557114e+02,7.143199e-08
9.000000e+00,9.995070e-01,3.227079e-04,1.703180e-04,0.000000e+00,1.194341e+03,1.390686e-07
9.166667e+00,9.994890e-01,3.137438e-04,1.972104e-04,0.000000e+00,1.492242e+03,2.705199e-07
9.333333e+00,9.994711e-01,3.137438e-04,2.151386e-04,0.000000e+00,1.864055e+03,5.256781e-07
9.500000e+00,9.994353e-01,3.496002e-04,2.151386e-04,0.000000e+00,2.327858e+03,1.020016e-06
9.666667e+00,9.994173e-01,3.585643e-04,2.241027e-04,0.000000e+00,2.906066e+03,1.975832e-06
9.833333e+00,9.993815e-01,3.764925e-04,2.420309e-04,0.000000e+00,3.626392e+03,3.818893e-06
1.000000e+01,9.993546e-01,4.033848e-04,2.420309e-04,0.000000e+00,4.523005e+03,7.361290e-06
