Time,avgI1rd,avgI2rd,avgDrd,Beta,Beff
0.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.666667e-01,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.333333e-01,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
5.000000e-01,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
6.666667e-01,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
8.333333e-01,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.333333e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.500000e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.666667e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.833333e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.333333e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.500000e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.666667e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.833333e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.333333e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.500000e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.666667e+00,2.393654e+00,1.692569e+00,0.000000e+00,1.000000e-05,5.894791e-05
3.833333e+00,2.393654e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
4.000000e+00,2.931615e+00,1.692569e+00,0.000000e+00,1.000000e-05,3.768834e-05
4.166667e+00,2.931615e+00,1.692569e+00,0.000000e+00,1.000000e-05,0.000000e+00
4.333333e+00,2.931615e+00,2.393654e+00,0.000000e+00,1.000000e-05,0.000000e+00
4.500000e+00,2.931615e+00,2.393654e+00,0.000000e+00,1.000000e-05,0.000000e+00
4.666667e+00,3.385138e+00,2.931615e+00,0.000000e+00,1.000000e-05,1.538680e-05
4.833333e+00,4.478116e+00,2.931615e+00,0.000000e+00,1.000000e-05,3.686688e-05
5.000000e+00,4.478116e+00,2.931615e+00,0.000000e+00,1.000000e-05,0.000000e+00
5.166667e+00,4.787307e+00,2.931615e+00,0.000000e+00,1.000000e-05,7.830047e-06
5.333333e+00,5.352372e+00,2.931615e+00,0.000000e+00,1.000000e-05,1.251025e-05
5.500000e+00,5.613615e+00,2.931615e+00,0.000000e+00,1.000000e-05,4.998635e-06
5.666667e+00,5.613615e+00,2.931615e+00,0.000000e+00,1.000000e-05,0.000000e+00
5.833333e+00,5.863230e+00,2.931615e+00,0.000000e+00,1.000000e-05,3.194280e-06
6.000000e+00,6.102643e+00,2.931615e+00,0.000000e+00,1.000000e-05,2.554072e-06
6.166667e+00,6.333012e+00,2.931615e+00,0.000000e+00,1.000000e-05,2.042379e-06
6.333333e+00,6.555291e+00,2.931615e+00,0.000000e+00,1.000000e-05,1.633321e-06
6.500000e+00,6.978640e+00,2.931615e+00,0.000000e+00,1.000000e-05,2.612551e-06
6.666667e+00,7.377736e+00,3.385138e+00,0.000000e+00,1.000000e-05,2.089521e-06
6.833333e+00,7.569398e+00,3.385138e+00,0.000000e+00,1.000000e-05,8.356219e-07
7.000000e+00,7.938851e+00,3.784699e+00,0.000000e+00,1.000000e-05,1.336199e-06
7.166667e+00,8.117275e+00,4.145930e+00,0.000000e+00,1.000000e-05,5.342297e-07
7.333333e+00,8.291860e+00,4.145930e+00,0.000000e+00,1.000000e-05,4.270539e-07
7.500000e+00,8.794845e+00,4.145930e+00,0.000000e+00,1.000000e-05,1.024089e-06
7.666667e+00,9.114762e+00,4.145930e+00,0.000000e+00,1.000000e-05,5.458490e-07
7.833333e+00,9.574615e+00,4.145930e+00,0.000000e+00,1.000000e-05,6.547409e-07
8.000000e+00,9.723067e+00,4.478116e+00,0.000000e+00,1.000000e-05,1.745450e-07
8.166667e+00,1.029549e+01,5.077706e+00,0.000000e+00,1.000000e-05,5.584587e-07
8.333333e+00,1.057009e+01,5.352372e+00,0.000000e+00,1.000000e-05,2.233603e-07
8.500000e+00,1.096910e+01,5.613615e+00,0.000000e+00,1.000000e-05,2.678736e-07
8.666667e+00,1.135410e+01,5.863230e+00,0.000000e+00,1.000000e-05,2.141465e-07
8.833333e+00,1.208736e+01,6.555291e+00,0.000000e+00,1.000000e-05,3.425018e-07
9.000000e+00,1.220529e+01,6.555291e+00,0.000000e+00,1.000000e-05,4.566236e-08
9.166667e+00,1.289022e+01,6.978640e+00,0.000000e+00,1.000000e-05,2.191988e-07
9.333333e+00,1.332730e+01,7.569398e+00,0.000000e+00,1.000000e-05,1.169568e-07
9.500000e+00,1.375049e+01,7.756324e+00,0.000000e+00,1.000000e-05,9.364042e-08
9.666667e+00,1.405953e+01,7.938851e+00,0.000000e+00,1.000000e-05,5.624880e-08
9.833333e+00,1.416105e+01,8.117275e+00,0.000000e+00,1.000000e-05,1.502348e-08
1.000000e+01,1.436192e+01,8.630441e+00,0.000000e+00,1.000000e-05,2.408407e-08
1.016667e+01,1.494836e+01,8.794845e+00,0.000000e+00,1.000000e-05,5.795659e-08
1.033333e+01,1.513880e+01,9.114762e+00,0.000000e+00,1.000000e-05,1.550779e-08
1.050000e+01,1.542004e+01,9.114762e+00,0.000000e+00,1.000000e-05,1.869162e-08
1.066667e+01,1.578723e+01,9.423824e+00,0.000000e+00,1.000000e-05,2.004968e-08
1.083333e+01,1.596766e+01,9.723067e+00,0.000000e+00,1.000000e-05,8.076532e-09
1.100000e+01,1.641006e+01,1.029549e+01,0.000000e+00,1.000000e-05,1.629491e-08
1.116667e+01,1.649712e+01,1.029549e+01,0.000000e+00,1.000000e-05,2.635085e-09
1.133333e+01,1.675558e+01,1.043369e+01,0.000000e+00,1.000000e-05,6.408577e-09
1.150000e+01,1.701011e+01,1.096910e+01,0.000000e+00,1.000000e-05,5.211711e-09
1.166667e+01,1.758969e+01,1.122723e+01,0.000000e+00,1.000000e-05,9.926727e-09
1.183333e+01,1.791246e+01,1.122723e+01,0.000000e+00,1.000000e-05,4.650642e-09
1.200000e+01,1.822952e+01,1.135410e+01,0.000000e+00,1.000000e-05,3.832475e-09
1.216667e+01,1.892349e+01,1.135410e+01,0.000000e+00,1.000000e-05,7.148361e-09
1.233333e+01,1.937233e+01,1.147956e+01,0.000000e+00,1.000000e-05,3.976959e-09
1.250000e+01,1.966587e+01,1.184798e+01,1.692569e+00,1.000000e-05,2.229097e-09
1.266667e+01,1.995509e+01,1.196827e+01,1.692569e+00,1.000000e-05,1.889520e-09
1.283333e+01,2.031083e+01,1.243779e+01,1.692569e+00,1.000000e-05,2.556055e-09
1.300000e+01,2.079863e+01,1.300087e+01,1.692569e+00,1.000000e-05,3.856325e-09
1.316667e+01,2.114018e+01,1.332730e+01,1.692569e+00,1.000000e-05,2.951729e-09
1.333333e+01,2.180722e+01,1.354055e+01,1.692569e+00,1.000000e-05,6.279998e-09
1.350000e+01,2.206840e+01,1.375049e+01,1.692569e+00,1.000000e-05,2.646960e-09
1.366667e+01,2.283400e+01,1.405953e+01,1.692569e+00,1.000000e-05,8.268064e-09
1.383333e+01,2.326897e+01,1.446131e+01,1.692569e+00,1.000000e-05,4.948251e-09
