Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.204342e-23
5.000000e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.414461e-22
6.666667e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,2.941861e-22
8.333333e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.531749e-03,5.922940e-22
1.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.196633e-02,1.177690e-21
1.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.957152e-02,2.328916e-21
1.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.867871e-02,4.592682e-21
1.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.969861e-02,9.041497e-21
1.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.314174e-02,1.777912e-20
1.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.964358e-02,3.493116e-20
2.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.999612e-02,6.858614e-20
2.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.151872e-01,1.345985e-19
2.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.464499e-01,2.640385e-19
2.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.853237e-01,5.177834e-19
2.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.337317e-01,1.015094e-18
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.940768e-01,1.989572e-18
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.693615e-01,3.898717e-18
3.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,4.633384e-01,7.638425e-18
3.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,5.806980e-01,1.496289e-17
3.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,7.273032e-01,2.930645e-17
3.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,9.104833e-01,5.739222e-17
3.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.139401e+00,1.123804e-16
4.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.425509e+00,2.200293e-16
4.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.783129e+00,4.307518e-16
4.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.230161e+00,8.432059e-16
4.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.788988e+00,1.650453e-15
4.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,3.487590e+00,3.230268e-15
4.833333e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,4.360950e+00,6.321815e-15
5.000000e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,5.452803e+00,1.237129e-14
5.166667e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,6.817826e+00,2.420807e-14
5.333333e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,8.524377e+00,4.739700e-14
5.500000e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.065792e+01,9.285632e-14
5.666667e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,1.332529e+01,1.820750e-13
5.833333e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,1.666006e+01,3.573882e-13
6.000000e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,2.082921e+01,7.022189e-13
6.166667e+00,9.997849e-01,1.792822e-04,3.585643e-05,0.000000e+00,2.604150e+01,1.397579e-12
6.333333e+00,9.997849e-01,1.792822e-04,3.585643e-05,0.000000e+00,3.255789e+01,2.887339e-12
6.500000e+00,9.997849e-01,1.792822e-04,3.585643e-05,0.000000e+00,4.070459e+01,5.848976e-12
6.666667e+00,9.997849e-01,1.792822e-04,3.585643e-05,0.000000e+00,5.088939e+01,1.173102e-11
6.833333e+00,9.997131e-01,2.509950e-04,3.585643e-05,0.000000e+00,6.362200e+01,2.334021e-11
7.000000e+00,9.997131e-01,2.509950e-04,3.585643e-05,0.000000e+00,7.953953e+01,4.678917e-11
7.166667e+00,9.997131e-01,2.509950e-04,3.585643e-05,0.000000e+00,9.943824e+01,9.135440e-11
7.333333e+00,9.996773e-01,2.868514e-04,3.585643e-05,0.000000e+00,1.243132e+02,1.769902e-10
7.500000e+00,9.996414e-01,3.227079e-04,3.585643e-05,0.000000e+00,1.554080e+02,3.433182e-10
7.666667e+00,9.995339e-01,4.302772e-04,3.585643e-05,0.000000e+00,1.942761e+02,6.696441e-10
7.833333e+00,9.993546e-01,6.095593e-04,3.585643e-05,0.000000e+00,2.428584e+02,1.302548e-09
8.000000e+00,9.993187e-01,6.454158e-04,3.585643e-05,0.000000e+00,3.035788e+02,2.544847e-09
8.166667e+00,9.992829e-01,6.095593e-04,1.075693e-04,0.000000e+00,3.794640e+02,4.956973e-09
8.333333e+00,9.991753e-01,7.171286e-04,1.075693e-04,0.000000e+00,4.742920e+02,9.655220e-09
8.500000e+00,9.990677e-01,7.888415e-04,1.434257e-04,0.000000e+00,5.927868e+02,1.882513e-08
8.666667e+00,9.989243e-01,9.322672e-04,1.434257e-04,0.000000e+00,7.408187e+02,3.669402e-08
8.833333e+00,9.988885e-01,9.681236e-04,1.434257e-04,0.000000e+00,9.257238e+02,7.149987e-08
9.000000e+00,9.987092e-01,1.147406e-03,1.434257e-04,0.000000e+00,1.156620e+03,1.391992e-07
9.166667e+00,9.986733e-01,1.147406e-03,1.792822e-04,0.000000e+00,1.444860e+03,2.707720e-07
9.333333e+00,9.986016e-01,1.111549e-03,2.868514e-04,0.000000e+00,1.804551e+03,5.261649e-07
9.500000e+00,9.986016e-01,1.039836e-03,3.585643e-04,0.000000e+00,2.253210e+03,1.020957e-06
9.666667e+00,9.985657e-01,1.039836e-03,3.944207e-04,0.000000e+00,2.812607e+03,1.977652e-06
9.833333e+00,9.984940e-01,1.039836e-03,4.661336e-04,0.000000e+00,3.523161e+03,3.822407e-06
1.000000e+01,9.983506e-01,1.183262e-03,4.661336e-04,0.000000e+00,4.406363e+03,7.368064e-06
1.016667e+01,9.982072e-01,1.326688e-03,4.661336e-04,0.000000e+00,5.503391e+03,1.415488e-05
1.033333e+01,9.980996e-01,1.398401e-03,5.019900e-04,0.000000e+00,6.864447e+03,2.707991e-05
1.050000e+01,9.979562e-01,1.505970e-03,5.378465e-04,0.000000e+00,8.550554e+03,5.154064e-05
1.066667e+01,9.977769e-01,1.685252e-03,5.378465e-04,0.000000e+00,1.063604e+04,9.747485e-05
1.083333e+01,9.977410e-01,1.685252e-03,5.737029e-04,0.000000e+00,1.320823e+04,1.829129e-04
1.100000e+01,9.977052e-01,1.685252e-03,6.095593e-04,0.000000e+00,1.637098e+04,3.399743e-04
1.116667e+01,9.975976e-01,1.649396e-03,7.529850e-04,0.000000e+00,2.024547e+04,6.245877e-04
1.133333e+01,9.974183e-01,1.828678e-03,7.529850e-04,0.000000e+00,2.497002e+04,1.131410e-03
1.150000e+01,9.973108e-01,1.900391e-03,7.888415e-04,0.000000e+00,3.070304e+04,2.015050e-03
1.166667e+01,9.971673e-01,1.972104e-03,8.246979e-04,3.585643e-05,3.760928e+04,3.516971e-03
1.183333e+01,9.970239e-01,2.079673e-03,8.605543e-04,3.585643e-05,4.586433e+04,1.904353e-03
1.200000e+01,9.967371e-01,2.366524e-03,8.605543e-04,3.585643e-05,4.213803e+04,1.039195e-03
1.216667e+01,9.966295e-01,2.438237e-03,8.964108e-04,3.585643e-05,3.880282e+04,5.815096e-04
1.233333e+01,9.964502e-01,2.581663e-03,9.322672e-04,3.585643e-05,3.584111e+04,3.491305e-04
1.250000e+01,9.963068e-01,2.653376e-03,1.003980e-03,3.585643e-05,3.324088e+04,2.441255e-04
1.266667e+01,9.961992e-01,2.725089e-03,1.039836e-03,3.585643e-05,3.099664e+04,2.133857e-04
1.283333e+01,9.961275e-01,2.689232e-03,1.147406e-03,3.585643e-05,2.910893e+04,2.277594e-04
1.300000e+01,9.960199e-01,2.760945e-03,1.183262e-03,3.585643e-05,2.768799e+04,2.711077e-04
1.316667e+01,9.958765e-01,2.832658e-03,1.254975e-03,3.585643e-05,2.666566e+04,3.346664e-04
1.333333e+01,9.957689e-01,2.832658e-03,1.362544e-03,3.585643e-05,2.607268e+04,4.143108e-04
1.350000e+01,9.955538e-01,2.904371e-03,1.505970e-03,3.585643e-05,2.595290e+04,5.095508e-04
1.366667e+01,9.953387e-01,3.011940e-03,1.613539e-03,3.585643e-05,2.636473e+04,6.237873e-04
1.383333e+01,9.950518e-01,3.227079e-03,1.685252e-03,3.585643e-05,2.740450e+04,7.658695e-04
1.400000e+01,9.949084e-01,3.191222e-03,1.864534e-03,3.585643e-05,2.914942e+04,9.533622e-04
1.416667e+01,9.946574e-01,3.334648e-03,1.972104e-03,3.585643e-05,3.171476e+04,1.218384e-03
1.433333e+01,9.945498e-01,3.406361e-03,2.007960e-03,3.585643e-05,3.524050e+04,1.617233e-03
1.450000e+01,9.944064e-01,3.334648e-03,2.223099e-03,3.585643e-05,3.989192e+04,2.245262e-03
1.466667e+01,9.941913e-01,3.478074e-03,2.294812e-03,3.585643e-05,4.586040e+04,3.258140e-03
1.483333e+01,9.939403e-01,3.549787e-03,2.474094e-03,3.585643e-05,5.336521e+04,4.898878e-03
1.500000e+01,9.939403e-01,3.406361e-03,2.617519e-03,3.585643e-05,6.263924e+04,7.526099e-03
1.516667e+01,9.938327e-01,3.334648e-03,2.796802e-03,3.585643e-05,7.394176e+04,1.163152e-02
1.533333e+01,9.935817e-01,3.513930e-03,2.868514e-03,3.585643e-05,8.754467e+04,1.782612e-02
1.550000e+01,9.932948e-01,3.621500e-03,3.047797e-03,3.585643e-05,1.046246e+05,2.676793e-02
1.566667e+01,9.930439e-01,3.872495e-03,3.047797e-03,3.585643e-05,1.246226e+05,3.901210e-02
1.583333e+01,9.929363e-01,3.944207e-03,3.083653e-03,3.585643e-05,1.477869e+05,5.479305e-02
1.600000e+01,9.927570e-01,4.015920e-03,3.191222e-03,3.585643e-05,1.743368e+05,7.380251e-02
1.616667e+01,9.925777e-01,4.051777e-03,3.334648e-03,3.585643e-05,2.044656e+05,9.507770e-02
1.633333e+01,9.923984e-01,4.051777e-03,3.513930e-03,3.585643e-05,2.383574e+05,1.170995e-01
1.650000e+01,9.922192e-01,4.159346e-03,3.549787e-03,7.171286e-05,2.761807e+05,1.381389e-01
1.666667e+01,9.921116e-01,4.087633e-03,3.729069e-03,7.171286e-05,3.185222e+05,8.194165e-02
1.683333e+01,9.920040e-01,4.087633e-03,3.836638e-03,7.171286e-05,3.231797e+05,5.526147e-02
1.700000e+01,9.918247e-01,4.159346e-03,3.944207e-03,7.171286e-05,3.343370e+05,4.627067e-02
1.716667e+01,9.916096e-01,4.231059e-03,4.087633e-03,7.171286e-05,3.526523e+05,4.911709e-02
1.733333e+01,9.914303e-01,4.231059e-03,4.266915e-03,7.171286e-05,3.788617e+05,6.112386e-02
1.750000e+01,9.912152e-01,4.374485e-03,4.338628e-03,7.171286e-05,4.137662e+05,8.118999e-02
1.766667e+01,9.910000e-01,4.446197e-03,4.482054e-03,7.171286e-05,4.593888e+05,1.088610e-01
1.783333e+01,9.908925e-01,4.482054e-03,4.553767e-03,7.171286e-05,5.156324e+05,1.438334e-01
1.800000e+01,9.907490e-01,4.553767e-03,4.589623e-03,1.075693e-04,5.842989e+05,1.857755e-01
1.816667e+01,9.906056e-01,4.625480e-03,4.661336e-03,1.075693e-04,6.656785e+05,1.641485e-01
1.833333e+01,9.905698e-01,4.517910e-03,4.804762e-03,1.075693e-04,7.210075e+05,1.763441e-01
1.850000e+01,9.903905e-01,4.625480e-03,4.840618e-03,1.434257e-04,7.923552e+05,2.125306e-01
1.866667e+01,9.902112e-01,4.697192e-03,4.912331e-03,1.792822e-04,8.811583e+05,2.241233e-01
1.883333e+01,9.899961e-01,4.553767e-03,5.235039e-03,2.151386e-04,9.654598e+05,2.256021e-01
1.900000e+01,9.899602e-01,4.482054e-03,5.342608e-03,2.151386e-04,1.042763e+06,2.341053e-01
1.916667e+01,9.898168e-01,4.589623e-03,5.378465e-03,2.151386e-04,1.130022e+06,2.587226e-01
1.933333e+01,9.896733e-01,4.661336e-03,5.450177e-03,2.151386e-04,1.241831e+06,2.954881e-01
1.950000e+01,9.894582e-01,4.733049e-03,5.593603e-03,2.151386e-04,1.380460e+06,3.447877e-01
1.966667e+01,9.893148e-01,4.804762e-03,5.665316e-03,2.151386e-04,1.548865e+06,4.101695e-01
1.983333e+01,9.890279e-01,4.912331e-03,5.844598e-03,2.151386e-04,1.750195e+06,4.974241e-01
2.000000e+01,9.887411e-01,4.948187e-03,6.059737e-03,2.509950e-04,1.988254e+06,6.136679e-01
2.016667e+01,9.885977e-01,4.948187e-03,6.167306e-03,2.868514e-04,2.265661e+06,7.137071e-01
2.033333e+01,9.882749e-01,5.235039e-03,6.167306e-03,3.227079e-04,2.537253e+06,8.640311e-01
2.050000e+01,9.878805e-01,5.521890e-03,6.167306e-03,4.302772e-04,2.833139e+06,1.046501e+00
2.066667e+01,9.877730e-01,5.450177e-03,6.310732e-03,4.661336e-04,3.150847e+06,1.130674e+00
2.083333e+01,9.875578e-01,5.557747e-03,6.382445e-03,5.019900e-04,3.414389e+06,1.259226e+00
2.100000e+01,9.873427e-01,5.593603e-03,6.561727e-03,5.019900e-04,3.693755e+06,1.402496e+00
2.116667e+01,9.868765e-01,5.808742e-03,6.741009e-03,5.737029e-04,3.983044e+06,1.643317e+00
2.133333e+01,9.865897e-01,6.059737e-03,6.741009e-03,6.095593e-04,4.329440e+06,1.879745e+00
2.150000e+01,9.863028e-01,6.131450e-03,6.956148e-03,6.095593e-04,4.718445e+06,2.084395e+00
2.166667e+01,9.861236e-01,6.131450e-03,7.063717e-03,6.812722e-04,5.115627e+06,2.345646e+00
2.183333e+01,9.857291e-01,6.346588e-03,7.207143e-03,7.171286e-04,5.566474e+06,2.484352e+00
2.200000e+01,9.852630e-01,6.741009e-03,7.242999e-03,7.529850e-04,5.984372e+06,2.622292e+00
2.216667e+01,9.849762e-01,6.920291e-03,7.278855e-03,8.246979e-04,6.411581e+06,2.777382e+00
2.233333e+01,9.847610e-01,6.884435e-03,7.493994e-03,8.605543e-04,6.849198e+06,2.850908e+00
2.250000e+01,9.843666e-01,7.135430e-03,7.601563e-03,8.964108e-04,7.262702e+06,2.961484e+00
2.266667e+01,9.840439e-01,7.314712e-03,7.637420e-03,1.003980e-03,7.736499e+06,3.094951e+00
2.283333e+01,9.837570e-01,7.350568e-03,7.816702e-03,1.075693e-03,8.231128e+06,3.146499e+00
2.300000e+01,9.835060e-01,7.350568e-03,8.031841e-03,1.111549e-03,8.666716e+06,3.277923e+00
2.316667e+01,9.832192e-01,7.565707e-03,7.995984e-03,1.219119e-03,9.110666e+06,3.460587e+00
2.333333e+01,9.829323e-01,7.637420e-03,8.067697e-03,1.362544e-03,9.615248e+06,3.569837e+00
2.350000e+01,9.824662e-01,7.888415e-03,8.211123e-03,1.434257e-03,1.007757e+07,3.623610e+00
2.366667e+01,9.821794e-01,8.067697e-03,8.211123e-03,1.541827e-03,1.050049e+07,3.709960e+00
2.383333e+01,9.818925e-01,8.211123e-03,8.354548e-03,1.541827e-03,1.092960e+07,3.780441e+00
2.400000e+01,9.816057e-01,8.175266e-03,8.677256e-03,1.541827e-03,1.133582e+07,3.985423e+00
2.416667e+01,9.813547e-01,8.282836e-03,8.677256e-03,1.685252e-03,1.183533e+07,4.269431e+00
2.433333e+01,9.809961e-01,8.497974e-03,8.677256e-03,1.828678e-03,1.247380e+07,4.402036e+00
2.450000e+01,9.806375e-01,8.677256e-03,8.713113e-03,1.972104e-03,1.301025e+07,4.465156e+00
2.466667e+01,9.802073e-01,8.820682e-03,8.892395e-03,2.079673e-03,1.346189e+07,4.536901e+00
2.483333e+01,9.798128e-01,8.999964e-03,8.928251e-03,2.258955e-03,1.386913e+07,4.707900e+00
2.500000e+01,9.794901e-01,9.286816e-03,8.892395e-03,2.330668e-03,1.435951e+07,4.857731e+00
2.516667e+01,9.790957e-01,9.573667e-03,8.784826e-03,2.545807e-03,1.478820e+07,5.012077e+00
2.533333e+01,9.786296e-01,9.824662e-03,8.892395e-03,2.653376e-03,1.524231e+07,4.998345e+00
2.550000e+01,9.781993e-01,9.896375e-03,8.928251e-03,2.976084e-03,1.553949e+07,5.073549e+00
2.566667e+01,9.779483e-01,9.932231e-03,9.107533e-03,3.011940e-03,1.583889e+07,4.852545e+00
2.583333e+01,9.776256e-01,1.011151e-02,9.143390e-03,3.119509e-03,1.597027e+07,4.863676e+00
2.600000e+01,9.770877e-01,1.032665e-02,9.394385e-03,3.191222e-03,1.619012e+07,4.896440e+00
2.616667e+01,9.765858e-01,1.039836e-02,9.609523e-03,3.406361e-03,1.643665e+07,4.979429e+00
2.633333e+01,9.763348e-01,1.018323e-02,9.932231e-03,3.549787e-03,1.676901e+07,4.867607e+00
2.650000e+01,9.759403e-01,1.036251e-02,1.007566e-02,3.621500e-03,1.696636e+07,4.988121e+00
2.666667e+01,9.755459e-01,1.039836e-02,1.032665e-02,3.729069e-03,1.725224e+07,5.292276e+00
2.683333e+01,9.751156e-01,1.050593e-02,1.050593e-02,3.872495e-03,1.763354e+07,5.684165e+00
2.700000e+01,9.747212e-01,1.075693e-02,1.057765e-02,3.944207e-03,1.810359e+07,6.015620e+00
2.716667e+01,9.742551e-01,1.100792e-02,1.068522e-02,4.051777e-03,1.859135e+07,6.340656e+00
2.733333e+01,9.740399e-01,1.090035e-02,1.086450e-02,4.195202e-03,1.913104e+07,6.552635e+00
