Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.763178e-18
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.309755e-17
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.618486e-17
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.698802e-17
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.083999e-17
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.366660e-16
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.292266e-16
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.829431e-16
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.382379e-16
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.062066e-15
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.765347e-15
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.931830e-15
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.865875e-15
2.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.071551e-15
2.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.338357e-14
2.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,2.218403e-14
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.069753e-02,3.676107e-14
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.745625e-01,6.094823e-14
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.855017e-01,1.010904e-13
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.183466e-01,1.677407e-13
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.790888e-01,2.784851e-13
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.751749e-01,4.626372e-13
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.015874e+00,7.685813e-13
4.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.312739e+00,1.277586e-12
4.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.680178e+00,2.192462e-12
4.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.136175e+00,3.729708e-12
4.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.703186e+00,6.293127e-12
4.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,3.409259e+00,1.057756e-11
4.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,4.289440e+00,1.770774e-11
5.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,5.387520e+00,2.954062e-11
5.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,6.758227e+00,4.943771e-11
5.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,8.469968e+00,8.254042e-11
5.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.060825e+01,1.359746e-10
5.666667e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.327994e+01,2.236780e-10
5.833333e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.661866e+01,3.681002e-10
6.000000e+00,9.997849e-01,1.792822e-04,3.585643e-05,0.000000e+00,2.079142e+01,6.072152e-10
6.166667e+00,9.997849e-01,1.792822e-04,3.585643e-05,0.000000e+00,2.600700e+01,1.002601e-09
6.333333e+00,9.997849e-01,1.792822e-04,3.585643e-05,0.000000e+00,3.252639e+01,1.654626e-09
6.500000e+00,9.997849e-01,1.434257e-04,7.171286e-05,0.000000e+00,4.067583e+01,2.733034e-09
6.666667e+00,9.997490e-01,1.792822e-04,7.171286e-05,0.000000e+00,5.086313e+01,4.510341e-09
6.833333e+00,9.997490e-01,1.792822e-04,7.171286e-05,0.000000e+00,6.360668e+01,7.452141e-09
7.000000e+00,9.997490e-01,1.434257e-04,1.075693e-04,0.000000e+00,7.953635e+01,1.230245e-08
7.166667e+00,9.997490e-01,1.434257e-04,1.075693e-04,0.000000e+00,9.944885e+01,2.030587e-08
7.333333e+00,9.997131e-01,1.792822e-04,1.075693e-04,0.000000e+00,1.244975e+02,3.355335e-08
7.500000e+00,9.996414e-01,2.509950e-04,1.075693e-04,0.000000e+00,1.557945e+02,5.541046e-08
7.666667e+00,9.994263e-01,4.661336e-04,1.075693e-04,0.000000e+00,1.949019e+02,9.152152e-08
7.833333e+00,9.993546e-01,5.378465e-04,1.075693e-04,0.000000e+00,2.437709e+02,1.511588e-07
8.000000e+00,9.991753e-01,7.171286e-04,1.075693e-04,0.000000e+00,3.048384e+02,2.496296e-07
8.166667e+00,9.991394e-01,7.529850e-04,1.075693e-04,0.000000e+00,3.811474e+02,4.121891e-07
8.333333e+00,9.990677e-01,7.888415e-04,1.434257e-04,0.000000e+00,4.764957e+02,6.804909e-07
8.500000e+00,9.990319e-01,7.888415e-04,1.792822e-04,0.000000e+00,5.956223e+02,1.123080e-06
8.666667e+00,9.989960e-01,8.246979e-04,1.792822e-04,0.000000e+00,7.444441e+02,1.852863e-06
8.833333e+00,9.989243e-01,8.964108e-04,1.792822e-04,0.000000e+00,9.303297e+02,3.055473e-06
9.000000e+00,9.988885e-01,8.964108e-04,2.151386e-04,0.000000e+00,1.162445e+03,5.035782e-06
9.166667e+00,9.987809e-01,1.003980e-03,2.151386e-04,0.000000e+00,1.452204e+03,8.293581e-06
9.333333e+00,9.987092e-01,1.075693e-03,2.151386e-04,0.000000e+00,1.813816e+03,1.364691e-05
9.500000e+00,9.985657e-01,1.219119e-03,2.151386e-04,0.000000e+00,2.264854e+03,2.243081e-05
9.666667e+00,9.985299e-01,1.254975e-03,2.151386e-04,0.000000e+00,2.827113e+03,3.681760e-05
9.833333e+00,9.985299e-01,1.254975e-03,2.151386e-04,0.000000e+00,3.527514e+03,6.032805e-05
1.000000e+01,9.984223e-01,1.326688e-03,2.509950e-04,0.000000e+00,4.399219e+03,9.863979e-05
1.016667e+01,9.983147e-01,1.398401e-03,2.868514e-04,0.000000e+00,5.482923e+03,1.608534e-04
1.033333e+01,9.982072e-01,1.398401e-03,3.944207e-04,0.000000e+00,6.828335e+03,2.614427e-04
1.050000e+01,9.981713e-01,1.398401e-03,4.302772e-04,0.000000e+00,8.495807e+03,4.232057e-04
1.066667e+01,9.980996e-01,1.470114e-03,4.302772e-04,0.000000e+00,1.055848e+04,6.816162e-04
1.083333e+01,9.979203e-01,1.613539e-03,4.661336e-04,0.000000e+00,1.310300e+04,1.091033e-03
1.100000e+01,9.978128e-01,1.685252e-03,5.019900e-04,0.000000e+00,1.623189e+04,1.733158e-03
1.116667e+01,9.977052e-01,1.685252e-03,6.095593e-04,0.000000e+00,2.006456e+04,2.727814e-03
