Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.204250e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.412041e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.932413e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.896924e-22
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.171487e-21
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.315214e-21
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.563744e-21
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.982076e-21
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.765929e-20
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.469238e-20
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.811413e-20
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.336707e-19
2.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.622218e-19
2.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.142366e-19
2.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.008185e-18
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.976134e-18
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,3.872618e-18
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.261395e-01,7.587793e-18
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.728610e-01,1.486474e-17
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.462715e-01,2.911634e-17
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.539228e-01,5.702431e-17
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.051803e-01,1.116689e-16
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.211684e+00,2.186542e-16
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.587922e+00,4.280957e-16
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.051953e+00,8.380782e-16
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.626297e+00,1.640559e-15
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.339066e+00,3.211185e-15
4.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,4.225359e+00,6.285028e-15
5.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,5.329019e+00,1.230040e-14
5.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,6.704821e+00,2.407163e-14
5.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,8.421212e+00,4.715126e-14
5.500000e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,1.056374e+01,9.243202e-14
5.666667e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,1.323931e+01,1.813533e-13
5.833333e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,1.658156e+01,3.561547e-13
6.000000e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,2.075756e+01,7.000762e-13
6.166667e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,2.597608e+01,1.393979e-12
6.333333e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,3.249816e+01,2.881280e-12
6.500000e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,4.065006e+01,5.838752e-12
6.666667e+00,9.997849e-01,1.792822e-04,3.585643e-05,0.000000e+00,5.083961e+01,1.171322e-11
6.833333e+00,9.997490e-01,2.151386e-04,3.585643e-05,0.000000e+00,6.357656e+01,2.330519e-11
7.000000e+00,9.996414e-01,3.227079e-04,3.585643e-05,0.000000e+00,7.949804e+01,4.664820e-11
7.166667e+00,9.996056e-01,3.585643e-04,3.585643e-05,0.000000e+00,9.940036e+01,9.115420e-11
7.333333e+00,9.995697e-01,3.585643e-04,7.171286e-05,0.000000e+00,1.242786e+02,1.767131e-10
7.500000e+00,9.995697e-01,3.585643e-04,7.171286e-05,0.000000e+00,1.553764e+02,3.428643e-10
7.666667e+00,9.995339e-01,3.944207e-04,7.171286e-05,0.000000e+00,1.942508e+02,6.688131e-10
7.833333e+00,9.994622e-01,4.302772e-04,1.075693e-04,0.000000e+00,2.428397e+02,1.300990e-09
8.000000e+00,9.993187e-01,5.737029e-04,1.075693e-04,0.000000e+00,3.035672e+02,2.541811e-09
8.166667e+00,9.991753e-01,7.171286e-04,1.075693e-04,0.000000e+00,3.794659e+02,4.951153e-09
8.333333e+00,9.991394e-01,7.529850e-04,1.075693e-04,0.000000e+00,4.743094e+02,9.644260e-09
8.500000e+00,9.989960e-01,8.964108e-04,1.075693e-04,0.000000e+00,5.928121e+02,1.880456e-08
8.666667e+00,9.989602e-01,8.964108e-04,1.434257e-04,0.000000e+00,7.408537e+02,3.665506e-08
8.833333e+00,9.989243e-01,8.964108e-04,1.792822e-04,0.000000e+00,9.257619e+02,7.142556e-08
9.000000e+00,9.988885e-01,9.322672e-04,1.792822e-04,0.000000e+00,1.156860e+03,1.390570e-07
9.166667e+00,9.987809e-01,1.039836e-03,1.792822e-04,0.000000e+00,1.445341e+03,2.704984e-07
9.333333e+00,9.986375e-01,1.183262e-03,1.792822e-04,0.000000e+00,1.805317e+03,5.256379e-07
9.500000e+00,9.986016e-01,1.219119e-03,1.792822e-04,0.000000e+00,2.254305e+03,1.019941e-06
9.666667e+00,9.985299e-01,1.254975e-03,2.151386e-04,0.000000e+00,2.813993e+03,1.975691e-06
9.833333e+00,9.984223e-01,1.326688e-03,2.509950e-04,0.000000e+00,3.511174e+03,3.818620e-06
1.000000e+01,9.982789e-01,1.434257e-03,2.868514e-04,0.000000e+00,4.378856e+03,7.360766e-06
1.016667e+01,9.982072e-01,1.505970e-03,2.868514e-04,0.000000e+00,5.457532e+03,1.414084e-05
1.033333e+01,9.980996e-01,1.470114e-03,4.302772e-04,0.000000e+00,6.796677e+03,2.705302e-05
1.050000e+01,9.979562e-01,1.541827e-03,5.019900e-04,0.000000e+00,8.456303e+03,5.148932e-05
1.066667e+01,9.977410e-01,1.721109e-03,5.378465e-04,0.000000e+00,1.050885e+04,9.737737e-05
1.083333e+01,9.975618e-01,1.828678e-03,6.095593e-04,0.000000e+00,1.304297e+04,1.827290e-04
1.100000e+01,9.974542e-01,1.900391e-03,6.454158e-04,0.000000e+00,1.615872e+04,3.396300e-04
1.116667e+01,9.973108e-01,1.936247e-03,7.529850e-04,0.000000e+00,1.997555e+04,6.239492e-04
1.133333e+01,9.971673e-01,1.936247e-03,8.964108e-04,0.000000e+00,2.462853e+04,1.130239e-03
1.150000e+01,9.970598e-01,1.936247e-03,1.003980e-03,0.000000e+00,3.026874e+04,2.012933e-03
1.166667e+01,9.967371e-01,2.187242e-03,1.075693e-03,0.000000e+00,3.705970e+04,3.513200e-03
1.183333e+01,9.967371e-01,2.007960e-03,1.254975e-03,0.000000e+00,4.517133e+04,5.986861e-03
1.200000e+01,9.967012e-01,1.936247e-03,1.362544e-03,0.000000e+00,5.477119e+04,9.921206e-03
1.216667e+01,9.965578e-01,2.079673e-03,1.362544e-03,0.000000e+00,6.601071e+04,1.591993e-02
1.233333e+01,9.964502e-01,2.079673e-03,1.470114e-03,0.000000e+00,7.901217e+04,2.462878e-02
1.250000e+01,9.963068e-01,2.223099e-03,1.470114e-03,0.000000e+00,9.384599e+04,3.658154e-02
1.266667e+01,9.961634e-01,2.294812e-03,1.541827e-03,0.000000e+00,1.105201e+05,5.197610e-02
1.283333e+01,9.960916e-01,2.366524e-03,1.541827e-03,0.000000e+00,1.289649e+05,7.044236e-02
1.300000e+01,9.959841e-01,2.474094e-03,1.541827e-03,0.000000e+00,1.490273e+05,9.091159e-02
1.316667e+01,9.958407e-01,2.581663e-03,1.577683e-03,0.000000e+00,1.704728e+05,1.116950e-01
1.333333e+01,9.956255e-01,2.760945e-03,1.613539e-03,0.000000e+00,1.929969e+05,1.307896e-01
1.350000e+01,9.953387e-01,3.011940e-03,1.649396e-03,0.000000e+00,2.162472e+05,1.463282e-01
1.366667e+01,9.950877e-01,3.119509e-03,1.792822e-03,0.000000e+00,2.398397e+05,1.569944e-01
1.383333e+01,9.949442e-01,3.191222e-03,1.864534e-03,0.000000e+00,2.633916e+05,1.622616e-01
1.400000e+01,9.945857e-01,3.442217e-03,1.936247e-03,3.585643e-05,2.869306e+05,1.623968e-01
1.416667e+01,9.944423e-01,3.478074e-03,2.043817e-03,3.585643e-05,3.098089e+05,9.229039e-02
1.433333e+01,9.943705e-01,3.478074e-03,2.115529e-03,3.585643e-05,2.841543e+05,5.608576e-02
1.450000e+01,9.941913e-01,3.621500e-03,2.151386e-03,3.585643e-05,2.610758e+05,3.854812e-02
1.466667e+01,9.940837e-01,3.585643e-03,2.294812e-03,3.585643e-05,2.404366e+05,3.145789e-02
1.483333e+01,9.938686e-01,3.621500e-03,2.474094e-03,3.585643e-05,2.221125e+05,3.035149e-02
1.500000e+01,9.936893e-01,3.621500e-03,2.653376e-03,3.585643e-05,2.060467e+05,3.277807e-02
1.516667e+01,9.935817e-01,3.513930e-03,2.868514e-03,3.585643e-05,1.921845e+05,3.737278e-02
1.533333e+01,9.932948e-01,3.764925e-03,2.904371e-03,3.585643e-05,1.806554e+05,4.336517e-02
1.550000e+01,9.931156e-01,3.836638e-03,3.011940e-03,3.585643e-05,1.713973e+05,5.031905e-02
1.566667e+01,9.927211e-01,4.051777e-03,3.191222e-03,3.585643e-05,1.645101e+05,5.799570e-02
1.583333e+01,9.926853e-01,3.980064e-03,3.298792e-03,3.585643e-05,1.601780e+05,6.628461e-02
1.600000e+01,9.924343e-01,4.159346e-03,3.370504e-03,3.585643e-05,1.586044e+05,7.517291e-02
1.616667e+01,9.922192e-01,4.374485e-03,3.370504e-03,3.585643e-05,1.600720e+05,8.474034e-02
1.633333e+01,9.920040e-01,4.374485e-03,3.585643e-03,3.585643e-05,1.649433e+05,9.517373e-02
1.650000e+01,9.919323e-01,4.374485e-03,3.657356e-03,3.585643e-05,1.736617e+05,1.067987e-01
1.666667e+01,9.917172e-01,4.446197e-03,3.800782e-03,3.585643e-05,1.867556e+05,1.201253e-01
1.683333e+01,9.913945e-01,4.625480e-03,3.944207e-03,3.585643e-05,2.048302e+05,1.358989e-01
1.700000e+01,9.912869e-01,4.625480e-03,4.051777e-03,3.585643e-05,2.288803e+05,1.551379e-01
1.716667e+01,9.908566e-01,4.912331e-03,4.195202e-03,3.585643e-05,2.594022e+05,1.791339e-01
1.733333e+01,9.906773e-01,4.948187e-03,4.338628e-03,3.585643e-05,2.972009e+05,2.093812e-01
1.750000e+01,9.903546e-01,5.163326e-03,4.446197e-03,3.585643e-05,3.431239e+05,2.474226e-01
1.766667e+01,9.902471e-01,5.127470e-03,4.589623e-03,3.585643e-05,3.986397e+05,2.946204e-01
1.783333e+01,9.899961e-01,5.199182e-03,4.768905e-03,3.585643e-05,4.641022e+05,3.518915e-01
1.800000e+01,9.896733e-01,5.450177e-03,4.840618e-03,3.585643e-05,5.403914e+05,4.194517e-01
1.816667e+01,9.894941e-01,5.450177e-03,4.984044e-03,7.171286e-05,6.336098e+05,4.965995e-01
1.833333e+01,9.892431e-01,5.557747e-03,5.127470e-03,7.171286e-05,7.401405e+05,5.066434e-01
1.850000e+01,9.890279e-01,5.701173e-03,5.199182e-03,7.171286e-05,8.191559e+05,5.545925e-01
1.866667e+01,9.887769e-01,5.808742e-03,5.342608e-03,7.171286e-05,9.161522e+05,6.250754e-01
1.883333e+01,9.886694e-01,5.844598e-03,5.414321e-03,7.171286e-05,1.032308e+06,7.081071e-01
1.900000e+01,9.884184e-01,5.988024e-03,5.486034e-03,1.075693e-04,1.169342e+06,7.976605e-01
1.916667e+01,9.883467e-01,5.952168e-03,5.593603e-03,1.075693e-04,1.329170e+06,8.128595e-01
1.933333e+01,9.881674e-01,6.059737e-03,5.629460e-03,1.434257e-04,1.469935e+06,8.709773e-01
1.950000e+01,9.881674e-01,5.880455e-03,5.772885e-03,1.792822e-04,1.640138e+06,9.574654e-01
1.966667e+01,9.880598e-01,5.844598e-03,5.916311e-03,1.792822e-04,1.830940e+06,1.021439e+00
1.983333e+01,9.878805e-01,5.737029e-03,6.203163e-03,1.792822e-04,2.027160e+06,1.124251e+00
2.000000e+01,9.877012e-01,5.665316e-03,6.454158e-03,1.792822e-04,2.257923e+06,1.257587e+00
2.016667e+01,9.873785e-01,5.880455e-03,6.561727e-03,1.792822e-04,2.574302e+06,1.416683e+00
2.033333e+01,9.871275e-01,6.023880e-03,6.597583e-03,2.509950e-04,2.925499e+06,1.598840e+00
2.050000e+01,9.869841e-01,5.737029e-03,7.027860e-03,2.509950e-04,3.313147e+06,1.649591e+00
2.066667e+01,9.865538e-01,5.988024e-03,7.207143e-03,2.509950e-04,3.659420e+06,1.785029e+00
2.083333e+01,9.863746e-01,6.023880e-03,7.278855e-03,3.227079e-04,4.047684e+06,1.981545e+00
2.100000e+01,9.859801e-01,6.310732e-03,7.386425e-03,3.227079e-04,4.478745e+06,2.092239e+00
2.116667e+01,9.858367e-01,6.203163e-03,7.601563e-03,3.585643e-04,4.872433e+06,2.293908e+00
2.133333e+01,9.855499e-01,6.418301e-03,7.673276e-03,3.585643e-04,5.313735e+06,2.480048e+00
2.150000e+01,9.853706e-01,6.525870e-03,7.744989e-03,3.585643e-04,5.763460e+06,2.732524e+00
2.166667e+01,9.850479e-01,6.597583e-03,7.960128e-03,3.944207e-04,6.266641e+06,3.014716e+00
2.183333e+01,9.847252e-01,6.741009e-03,8.067697e-03,4.661336e-04,6.823741e+06,3.226727e+00
2.200000e+01,9.844025e-01,6.992004e-03,8.103553e-03,5.019900e-04,7.391129e+06,3.316388e+00
2.216667e+01,9.842590e-01,6.920291e-03,8.031841e-03,7.888415e-04,7.927594e+06,3.427176e+00
2.233333e+01,9.837570e-01,7.099573e-03,8.354548e-03,7.888415e-04,8.479242e+06,3.282199e+00
2.250000e+01,9.834702e-01,7.278855e-03,8.462118e-03,7.888415e-04,8.792616e+06,3.366382e+00
2.266667e+01,9.830758e-01,7.386425e-03,8.677256e-03,8.605543e-04,9.199094e+06,3.582294e+00
2.283333e+01,9.827889e-01,7.529850e-03,8.748969e-03,9.322672e-04,9.698000e+06,3.795878e+00
2.300000e+01,9.825021e-01,7.601563e-03,8.820682e-03,1.075693e-03,1.023019e+07,3.926224e+00
2.316667e+01,9.820718e-01,7.709133e-03,9.107533e-03,1.111549e-03,1.076147e+07,4.002950e+00
2.333333e+01,9.815698e-01,7.960128e-03,9.322672e-03,1.147406e-03,1.130925e+07,4.174149e+00
2.350000e+01,9.810678e-01,8.282836e-03,9.394385e-03,1.254975e-03,1.191714e+07,4.377940e+00
2.366667e+01,9.808527e-01,8.354548e-03,9.394385e-03,1.398401e-03,1.257544e+07,4.481019e+00
2.383333e+01,9.804582e-01,8.533831e-03,9.430241e-03,1.577683e-03,1.319237e+07,4.502557e+00
2.400000e+01,9.802073e-01,8.569687e-03,9.537811e-03,1.685252e-03,1.371255e+07,4.462157e+00
2.416667e+01,9.798845e-01,8.569687e-03,9.788806e-03,1.756965e-03,1.412859e+07,4.474974e+00
2.433333e+01,9.794184e-01,8.856538e-03,9.932231e-03,1.792822e-03,1.453188e+07,4.601676e+00
2.450000e+01,9.791316e-01,8.964108e-03,1.003980e-02,1.864534e-03,1.496724e+07,4.771102e+00
2.466667e+01,9.787730e-01,9.107533e-03,1.007566e-02,2.043817e-03,1.546141e+07,4.885535e+00
2.483333e+01,9.784503e-01,9.143390e-03,1.025494e-02,2.151386e-03,1.597263e+07,4.893084e+00
2.500000e+01,9.781993e-01,8.892395e-03,1.064936e-02,2.258955e-03,1.638729e+07,4.867493e+00
2.516667e+01,9.778049e-01,9.071677e-03,1.075693e-02,2.366524e-03,1.676913e+07,4.860620e+00
2.533333e+01,9.774463e-01,9.250959e-03,1.086450e-02,2.438237e-03,1.714698e+07,4.855772e+00
2.550000e+01,9.770519e-01,9.537811e-03,1.082864e-02,2.581663e-03,1.754472e+07,4.881819e+00
2.566667e+01,9.765140e-01,9.860518e-03,1.090035e-02,2.725089e-03,1.797488e+07,4.867185e+00
2.583333e+01,9.761196e-01,9.968088e-03,1.104378e-02,2.868514e-03,1.839183e+07,4.952462e+00
2.600000e+01,9.756176e-01,1.029080e-02,1.104378e-02,3.047797e-03,1.882121e+07,4.991898e+00
2.616667e+01,9.750081e-01,1.047008e-02,1.136649e-02,3.155366e-03,1.926367e+07,5.060259e+00
2.633333e+01,9.748646e-01,1.047008e-02,1.129478e-02,3.370504e-03,1.965810e+07,5.267680e+00
2.650000e+01,9.743627e-01,1.057765e-02,1.158163e-02,3.478074e-03,2.007192e+07,5.392894e+00
2.666667e+01,9.738248e-01,1.072107e-02,1.179677e-02,3.657356e-03,2.040977e+07,5.579112e+00
2.683333e+01,9.733945e-01,1.079279e-02,1.194019e-02,3.872495e-03,2.083494e+07,5.718518e+00
2.700000e+01,9.728925e-01,1.097207e-02,1.211947e-02,4.015920e-03,2.120554e+07,5.831648e+00
2.716667e+01,9.726415e-01,1.107964e-02,1.211947e-02,4.159346e-03,2.147795e+07,5.951845e+00
2.733333e+01,9.722113e-01,1.125892e-02,1.222704e-02,4.302772e-03,2.177152e+07,6.104697e+00
