Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.204251e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.412405e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.933893e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.901139e-22
1.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.172522e-21
1.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,2.317555e-21
1.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.080914e-02,4.568790e-21
1.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.338016e-02,8.992609e-21
1.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.823624e-02,1.768083e-20
1.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.602426e-02,3.473580e-20
2.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.754649e-02,6.820083e-20
2.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.037999e-01,1.338426e-19
2.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.360257e-01,2.625609e-19
2.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.757704e-01,5.149027e-19
2.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.249632e-01,1.009490e-18
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.860120e-01,1.978684e-18
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.619232e-01,3.877591e-18
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.564522e-01,7.597473e-18
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.742912e-01,1.488356e-17
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.213035e-01,2.915288e-17
3.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,9.048166e-01,5.709517e-17
3.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.133990e+00,1.118062e-16
4.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.420272e+00,2.189200e-16
4.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.777975e+00,4.286096e-16
4.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.224991e+00,8.390711e-16
4.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.783685e+00,1.642476e-15
4.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,3.482021e+00,3.214882e-15
4.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,4.354954e+00,6.292152e-15
5.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,5.446190e+00,1.231412e-14
5.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,6.810363e+00,2.409799e-14
5.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,8.515782e+00,4.719701e-14
5.500000e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.064784e+01,9.250646e-14
5.666667e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.331330e+01,1.814715e-13
5.833333e+00,9.998924e-01,3.585643e-05,7.171286e-05,0.000000e+00,1.664563e+01,3.563434e-13
6.000000e+00,9.998566e-01,7.171286e-05,7.171286e-05,0.000000e+00,2.081169e+01,7.003839e-13
6.166667e+00,9.998566e-01,7.171286e-05,7.171286e-05,0.000000e+00,2.607167e+01,1.394457e-12
6.333333e+00,9.997849e-01,1.434257e-04,7.171286e-05,0.000000e+00,3.264314e+01,2.882029e-12
6.500000e+00,9.997849e-01,1.434257e-04,7.171286e-05,0.000000e+00,4.085457e+01,5.839909e-12
6.666667e+00,9.997490e-01,1.434257e-04,1.075693e-04,0.000000e+00,5.111649e+01,1.171508e-11
6.833333e+00,9.997490e-01,1.434257e-04,1.075693e-04,0.000000e+00,6.394209e+01,2.331131e-11
7.000000e+00,9.997131e-01,1.792822e-04,1.075693e-04,0.000000e+00,7.997713e+01,4.674755e-11
7.166667e+00,9.996414e-01,2.509950e-04,1.075693e-04,0.000000e+00,1.000195e+02,9.126338e-11
7.333333e+00,9.995339e-01,3.585643e-04,1.075693e-04,0.000000e+00,1.250711e+02,1.768026e-10
7.500000e+00,9.995339e-01,3.585643e-04,1.075693e-04,0.000000e+00,1.563840e+02,3.429485e-10
7.666667e+00,9.994980e-01,3.227079e-04,1.792822e-04,0.000000e+00,1.955223e+02,6.689272e-10
7.833333e+00,9.994263e-01,3.944207e-04,1.792822e-04,0.000000e+00,2.444402e+02,1.301160e-09
8.000000e+00,9.993546e-01,4.661336e-04,1.792822e-04,0.000000e+00,3.055880e+02,2.542187e-09
8.166667e+00,9.993546e-01,3.944207e-04,2.509950e-04,0.000000e+00,3.820050e+02,4.951866e-09
8.333333e+00,9.993187e-01,4.302772e-04,2.509950e-04,0.000000e+00,4.774952e+02,9.645467e-09
8.500000e+00,9.993187e-01,3.944207e-04,2.868514e-04,0.000000e+00,5.968230e+02,1.880651e-08
8.666667e+00,9.991753e-01,5.378465e-04,2.868514e-04,0.000000e+00,7.458937e+02,3.665842e-08
8.833333e+00,9.990677e-01,5.378465e-04,3.944207e-04,0.000000e+00,9.320921e+02,7.143157e-08
9.000000e+00,9.989960e-01,5.737029e-04,4.302772e-04,0.000000e+00,1.164603e+03,1.390678e-07
9.166667e+00,9.989243e-01,6.095593e-04,4.661336e-04,0.000000e+00,1.454936e+03,2.705183e-07
9.333333e+00,9.989243e-01,6.095593e-04,4.661336e-04,0.000000e+00,1.817270e+03,5.256749e-07
9.500000e+00,9.989243e-01,6.095593e-04,4.661336e-04,0.000000e+00,2.269213e+03,1.020010e-06
9.666667e+00,9.988526e-01,6.454158e-04,5.019900e-04,0.000000e+00,2.832600e+03,1.975820e-06
9.833333e+00,9.986733e-01,8.246979e-04,5.019900e-04,0.000000e+00,3.534410e+03,3.818870e-06
1.000000e+01,9.985299e-01,9.681236e-04,5.019900e-04,0.000000e+00,4.407883e+03,7.361245e-06
1.016667e+01,9.984582e-01,9.322672e-04,6.095593e-04,0.000000e+00,5.493795e+03,1.414176e-05
1.033333e+01,9.983506e-01,1.039836e-03,6.095593e-04,0.000000e+00,6.841963e+03,2.705477e-05
1.050000e+01,9.983147e-01,1.039836e-03,6.454158e-04,0.000000e+00,8.515108e+03,5.149265e-05
1.066667e+01,9.982430e-01,1.111549e-03,6.454158e-04,0.000000e+00,1.058429e+04,9.738372e-05
1.083333e+01,9.982430e-01,1.075693e-03,6.812722e-04,0.000000e+00,1.313675e+04,1.827410e-04
1.100000e+01,9.982430e-01,1.039836e-03,7.171286e-04,0.000000e+00,1.627547e+04,3.396526e-04
1.116667e+01,9.980279e-01,1.183262e-03,7.888415e-04,0.000000e+00,2.012039e+04,6.239914e-04
1.133333e+01,9.977410e-01,1.398401e-03,8.605543e-04,0.000000e+00,2.480851e+04,1.130317e-03
1.150000e+01,9.975259e-01,1.541827e-03,9.322672e-04,0.000000e+00,3.049301e+04,2.013074e-03
1.166667e+01,9.974542e-01,1.505970e-03,1.039836e-03,0.000000e+00,3.733963e+04,3.513455e-03
1.183333e+01,9.973466e-01,1.577683e-03,1.075693e-03,0.000000e+00,4.552108e+04,5.987312e-03
1.200000e+01,9.970956e-01,1.792822e-03,1.111549e-03,0.000000e+00,5.520798e+04,9.921991e-03
1.216667e+01,9.970598e-01,1.828678e-03,1.111549e-03,0.000000e+00,6.655630e+04,1.592127e-02
1.233333e+01,9.970239e-01,1.828678e-03,1.147406e-03,0.000000e+00,7.969211e+04,2.463102e-02
1.250000e+01,9.968446e-01,2.007960e-03,1.147406e-03,0.000000e+00,9.469494e+04,3.658519e-02
1.266667e+01,9.967729e-01,2.043817e-03,1.183262e-03,0.000000e+00,1.115826e+05,5.198197e-02
1.283333e+01,9.965936e-01,2.115529e-03,1.290832e-03,0.000000e+00,1.302958e+05,7.045160e-02
1.300000e+01,9.965219e-01,2.079673e-03,1.398401e-03,0.000000e+00,1.506953e+05,9.092596e-02
1.316667e+01,9.964861e-01,2.043817e-03,1.470114e-03,0.000000e+00,1.725642e+05,1.117171e-01
1.333333e+01,9.964861e-01,1.900391e-03,1.613539e-03,0.000000e+00,1.956197e+05,1.308231e-01
1.350000e+01,9.963426e-01,1.900391e-03,1.756965e-03,0.000000e+00,2.195340e+05,1.463791e-01
1.366667e+01,9.961992e-01,1.936247e-03,1.864534e-03,0.000000e+00,2.439578e+05,1.570712e-01
1.383333e+01,9.959841e-01,2.043817e-03,1.972104e-03,0.000000e+00,2.685490e+05,1.623771e-01
1.400000e+01,9.957689e-01,2.223099e-03,2.007960e-03,0.000000e+00,2.929974e+05,1.625700e-01
1.416667e+01,9.954821e-01,2.438237e-03,2.079673e-03,0.000000e+00,3.170408e+05,1.585405e-01
1.433333e+01,9.953387e-01,2.474094e-03,2.187242e-03,0.000000e+00,3.404828e+05,1.515356e-01
1.450000e+01,9.950877e-01,2.509950e-03,2.402381e-03,0.000000e+00,3.632010e+05,1.429034e-01
1.466667e+01,9.949801e-01,2.545807e-03,2.474094e-03,0.000000e+00,3.851523e+05,1.339026e-01
1.483333e+01,9.949084e-01,2.581663e-03,2.509950e-03,0.000000e+00,4.063788e+05,1.255997e-01
1.500000e+01,9.948008e-01,2.653376e-03,2.545807e-03,0.000000e+00,4.270061e+05,1.188397e-01
1.516667e+01,9.947291e-01,2.653376e-03,2.617519e-03,0.000000e+00,4.474468e+05,1.142743e-01
1.533333e+01,9.946215e-01,2.725089e-03,2.653376e-03,0.000000e+00,4.677370e+05,1.124259e-01
1.550000e+01,9.944781e-01,2.796802e-03,2.725089e-03,0.000000e+00,4.883484e+05,1.137637e-01
1.566667e+01,9.942630e-01,2.940227e-03,2.760945e-03,3.585643e-05,5.095043e+05,1.187693e-01
1.583333e+01,9.941195e-01,2.976084e-03,2.868514e-03,3.585643e-05,5.316028e+05,1.149304e-01
1.600000e+01,9.940120e-01,3.011940e-03,2.940227e-03,3.585643e-05,5.116194e+05,1.241281e-01
1.616667e+01,9.939044e-01,2.976084e-03,3.083653e-03,3.585643e-05,4.982457e+05,1.425341e-01
1.633333e+01,9.936176e-01,3.191222e-03,3.155366e-03,3.585643e-05,4.914988e+05,1.680033e-01
1.650000e+01,9.932948e-01,3.478074e-03,3.191222e-03,3.585643e-05,4.914555e+05,1.989269e-01
1.666667e+01,9.932231e-01,3.513930e-03,3.227079e-03,3.585643e-05,4.981864e+05,2.336195e-01
1.683333e+01,9.931514e-01,3.478074e-03,3.334648e-03,3.585643e-05,5.118152e+05,2.701472e-01
1.700000e+01,9.929721e-01,3.621500e-03,3.370504e-03,3.585643e-05,5.325277e+05,3.065241e-01
1.716667e+01,9.929004e-01,3.693212e-03,3.370504e-03,3.585643e-05,5.606051e+05,3.411185e-01
1.733333e+01,9.927211e-01,3.729069e-03,3.513930e-03,3.585643e-05,5.964951e+05,3.730815e-01
1.750000e+01,9.924343e-01,3.908351e-03,3.621500e-03,3.585643e-05,6.407299e+05,4.026157e-01
1.766667e+01,9.922909e-01,3.944207e-03,3.729069e-03,3.585643e-05,6.941339e+05,4.310137e-01
1.783333e+01,9.920757e-01,4.015920e-03,3.872495e-03,3.585643e-05,7.576142e+05,4.604788e-01
1.800000e+01,9.918964e-01,4.051777e-03,4.015920e-03,3.585643e-05,8.323268e+05,4.938031e-01
1.816667e+01,9.917172e-01,4.015920e-03,4.231059e-03,3.585643e-05,9.196383e+05,5.339734e-01
1.833333e+01,9.916096e-01,4.051777e-03,4.302772e-03,3.585643e-05,1.021057e+06,5.837799e-01
1.850000e+01,9.913945e-01,4.159346e-03,4.410341e-03,3.585643e-05,1.138257e+06,6.455027e-01
1.866667e+01,9.912510e-01,4.195202e-03,4.517910e-03,3.585643e-05,1.272995e+06,7.207161e-01
1.883333e+01,9.910359e-01,4.302772e-03,4.625480e-03,3.585643e-05,1.427018e+06,8.102283e-01
1.900000e+01,9.909642e-01,4.195202e-03,4.804762e-03,3.585643e-05,1.602110e+06,9.141163e-01
1.916667e+01,9.908208e-01,4.266915e-03,4.804762e-03,1.075693e-04,1.799999e+06,1.031836e+00
1.933333e+01,9.905339e-01,4.482054e-03,4.876475e-03,1.075693e-04,2.022319e+06,1.068641e+00
1.950000e+01,9.903546e-01,4.446197e-03,5.055757e-03,1.434257e-04,2.180565e+06,1.167176e+00
1.966667e+01,9.902471e-01,4.482054e-03,5.055757e-03,2.151386e-04,2.373688e+06,1.227558e+00
1.983333e+01,9.900678e-01,4.482054e-03,5.235039e-03,2.151386e-04,2.558469e+06,1.217466e+00
2.000000e+01,9.897809e-01,4.697192e-03,5.270895e-03,2.509950e-04,2.711756e+06,1.297392e+00
2.016667e+01,9.895658e-01,4.804762e-03,5.378465e-03,2.509950e-04,2.905071e+06,1.355514e+00
2.033333e+01,9.893148e-01,4.984044e-03,5.414321e-03,2.868514e-04,3.093365e+06,1.484794e+00
2.050000e+01,9.891714e-01,5.019900e-03,5.486034e-03,3.227079e-04,3.325379e+06,1.581515e+00
2.066667e+01,9.889204e-01,5.127470e-03,5.629460e-03,3.227079e-04,3.561510e+06,1.655116e+00
2.083333e+01,9.886694e-01,5.199182e-03,5.808742e-03,3.227079e-04,3.795901e+06,1.795464e+00
2.100000e+01,9.884542e-01,5.270895e-03,5.916311e-03,3.585643e-04,4.078624e+06,1.971940e+00
2.116667e+01,9.882391e-01,5.414321e-03,5.988024e-03,3.585643e-04,4.409596e+06,2.087948e+00
2.133333e+01,9.880240e-01,5.521890e-03,6.059737e-03,3.944207e-04,4.751341e+06,2.244499e+00
2.150000e+01,9.879164e-01,5.521890e-03,6.131450e-03,4.302772e-04,5.141111e+06,2.359711e+00
2.166667e+01,9.878447e-01,5.486034e-03,6.239019e-03,4.302772e-04,5.531249e+06,2.434460e+00
2.183333e+01,9.875937e-01,5.521890e-03,6.418301e-03,4.661336e-04,5.926702e+06,2.590096e+00
2.200000e+01,9.873427e-01,5.665316e-03,6.346588e-03,6.454158e-04,6.375267e+06,2.747856e+00
2.216667e+01,9.873068e-01,5.521890e-03,6.490014e-03,6.812722e-04,6.883759e+06,2.715618e+00
2.233333e+01,9.869841e-01,5.629460e-03,6.633440e-03,7.529850e-04,7.236455e+06,2.793137e+00
2.250000e+01,9.868407e-01,5.665316e-03,6.633440e-03,8.605543e-04,7.635010e+06,2.811015e+00
2.266667e+01,9.865538e-01,5.844598e-03,6.705153e-03,8.964108e-04,8.002241e+06,2.747416e+00
2.283333e+01,9.863387e-01,5.916311e-03,6.812722e-03,9.322672e-04,8.298965e+06,2.768575e+00
2.300000e+01,9.861594e-01,6.023880e-03,6.812722e-03,1.003980e-03,8.625850e+06,2.875369e+00
2.316667e+01,9.859443e-01,6.023880e-03,6.920291e-03,1.111549e-03,8.996861e+06,3.002887e+00
2.333333e+01,9.856933e-01,6.167306e-03,6.848578e-03,1.290832e-03,9.407992e+06,3.018094e+00
2.350000e+01,9.855499e-01,6.095593e-03,6.848578e-03,1.505970e-03,9.778293e+06,2.887768e+00
2.366667e+01,9.852630e-01,6.274875e-03,6.920291e-03,1.541827e-03,1.001488e+07,2.715307e+00
2.383333e+01,9.849403e-01,6.490014e-03,7.027860e-03,1.541827e-03,1.012303e+07,2.727389e+00
2.400000e+01,9.846893e-01,6.525870e-03,7.171286e-03,1.613539e-03,1.029459e+07,2.933123e+00
2.416667e+01,9.842590e-01,6.705153e-03,7.386425e-03,1.649396e-03,1.057004e+07,3.196420e+00
2.433333e+01,9.839363e-01,6.741009e-03,7.673276e-03,1.649396e-03,1.089312e+07,3.504286e+00
2.450000e+01,9.837929e-01,6.776865e-03,7.709133e-03,1.721109e-03,1.127080e+07,3.920120e+00
2.466667e+01,9.836136e-01,6.848578e-03,7.744989e-03,1.792822e-03,1.174595e+07,4.265262e+00
2.483333e+01,9.833985e-01,6.992004e-03,7.816702e-03,1.792822e-03,1.221996e+07,4.589380e+00
2.500000e+01,9.830399e-01,7.135430e-03,7.960128e-03,1.864534e-03,1.269695e+07,4.971899e+00
2.516667e+01,9.828248e-01,7.171286e-03,8.031841e-03,1.972104e-03,1.326166e+07,5.203660e+00
2.533333e+01,9.826096e-01,7.314712e-03,7.995984e-03,2.079673e-03,1.386830e+07,5.319813e+00
2.550000e+01,9.823586e-01,7.386425e-03,8.031841e-03,2.223099e-03,1.444677e+07,5.283933e+00
2.566667e+01,9.822152e-01,7.314712e-03,8.211123e-03,2.258955e-03,1.495972e+07,5.149657e+00
2.583333e+01,9.817491e-01,7.637420e-03,8.211123e-03,2.402381e-03,1.535810e+07,5.137191e+00
2.600000e+01,9.812471e-01,8.067697e-03,8.211123e-03,2.474094e-03,1.580562e+07,5.055972e+00
2.616667e+01,9.808885e-01,8.246979e-03,8.246979e-03,2.617519e-03,1.620402e+07,5.003963e+00
2.633333e+01,9.807092e-01,8.175266e-03,8.497974e-03,2.617519e-03,1.658886e+07,4.933083e+00
2.650000e+01,9.803148e-01,8.390405e-03,8.569687e-03,2.725089e-03,1.689218e+07,5.051466e+00
2.666667e+01,9.800638e-01,8.246979e-03,8.928251e-03,2.760945e-03,1.729256e+07,5.151682e+00
2.683333e+01,9.797770e-01,8.318692e-03,8.999964e-03,2.904371e-03,1.769510e+07,5.393836e+00
2.700000e+01,9.794543e-01,8.318692e-03,9.322672e-03,2.904371e-03,1.814399e+07,5.562097e+00
2.716667e+01,9.792391e-01,8.246979e-03,9.501954e-03,3.011940e-03,1.851763e+07,5.905998e+00
2.733333e+01,9.788447e-01,8.462118e-03,9.537811e-03,3.155366e-03,1.899071e+07,6.170922e+00
