Time,avgI1rd,avgI2rd,avgDrd,Beta,Beff
0.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
1.666667e-01,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
3.333333e-01,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
5.000000e-01,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
6.666667e-01,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
8.333333e-01,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
1.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
1.166667e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
1.333333e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
1.500000e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
1.666667e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
1.833333e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
2.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
2.166667e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
2.333333e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
2.500000e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
2.666667e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
2.833333e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
3.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
3.166667e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
3.333333e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
3.500000e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
3.666667e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
3.833333e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
4.000000e+00,1.692569e+00,0.000000e+00,0.000000e+00,1.250000e-05,0.000000e+00
4.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
4.333333e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
4.500000e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
4.666667e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
4.833333e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
5.000000e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
5.166667e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
5.333333e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
5.500000e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
5.666667e+00,1.692569e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
5.833333e+00,3.385138e+00,1.692569e+00,0.000000e+00,1.250000e-05,4.117353e-05
6.000000e+00,3.385138e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
6.166667e+00,4.145930e+00,1.692569e+00,0.000000e+00,1.250000e-05,1.706271e-05
6.333333e+00,4.145930e+00,1.692569e+00,0.000000e+00,1.250000e-05,0.000000e+00
6.500000e+00,4.478116e+00,1.692569e+00,0.000000e+00,1.250000e-05,5.376821e-06
6.666667e+00,4.787307e+00,2.393654e+00,0.000000e+00,1.250000e-05,4.281190e-06
6.833333e+00,4.787307e+00,2.393654e+00,0.000000e+00,1.250000e-05,0.000000e+00
7.000000e+00,5.352372e+00,2.393654e+00,0.000000e+00,1.250000e-05,5.446499e-06
7.166667e+00,5.613615e+00,2.931615e+00,0.000000e+00,1.250000e-05,2.174348e-06
7.333333e+00,5.863230e+00,2.931615e+00,0.000000e+00,1.250000e-05,1.736980e-06
7.500000e+00,5.863230e+00,2.931615e+00,0.000000e+00,1.250000e-05,0.000000e+00
7.666667e+00,6.555291e+00,2.931615e+00,0.000000e+00,1.250000e-05,3.328660e-06
7.833333e+00,6.978640e+00,2.931615e+00,0.000000e+00,1.250000e-05,1.774320e-06
8.000000e+00,7.377736e+00,2.931615e+00,0.000000e+00,1.250000e-05,1.418950e-06
8.166667e+00,7.377736e+00,2.931615e+00,0.000000e+00,1.250000e-05,0.000000e+00
8.333333e+00,7.756324e+00,3.385138e+00,0.000000e+00,1.250000e-05,9.078185e-07
8.500000e+00,8.291860e+00,3.784699e+00,0.000000e+00,1.250000e-05,1.089488e-06
8.666667e+00,9.270581e+00,3.784699e+00,0.000000e+00,1.250000e-05,1.743745e-06
8.833333e+00,9.423824e+00,4.478116e+00,0.000000e+00,1.250000e-05,2.325641e-07
9.000000e+00,1.001337e+01,4.478116e+00,0.000000e+00,1.250000e-05,7.446119e-07
9.166667e+00,1.043369e+01,4.478116e+00,0.000000e+00,1.250000e-05,4.470642e-07
9.333333e+00,1.070474e+01,5.077706e+00,0.000000e+00,1.250000e-05,2.386394e-07
9.500000e+00,1.122723e+01,5.077706e+00,0.000000e+00,1.250000e-05,3.822846e-07
9.666667e+00,1.135410e+01,5.613615e+00,0.000000e+00,1.250000e-05,7.656637e-08
9.833333e+00,1.135410e+01,5.863230e+00,0.000000e+00,1.250000e-05,0.000000e+00
1.000000e+01,1.147956e+01,6.102643e+00,0.000000e+00,1.250000e-05,4.920650e-08
1.016667e+01,1.147956e+01,6.555291e+00,0.000000e+00,1.250000e-05,0.000000e+00
1.033333e+01,1.196827e+01,6.555291e+00,0.000000e+00,1.250000e-05,1.268272e-07
1.050000e+01,1.255243e+01,6.555291e+00,0.000000e+00,1.250000e-05,1.274414e-07
1.066667e+01,1.289022e+01,6.770275e+00,0.000000e+00,1.250000e-05,6.153658e-08
1.083333e+01,1.311058e+01,7.377736e+00,0.000000e+00,1.250000e-05,3.306197e-08
1.100000e+01,1.354055e+01,7.569398e+00,0.000000e+00,1.250000e-05,5.338845e-08
1.116667e+01,1.405953e+01,7.569398e+00,0.000000e+00,1.250000e-05,5.399467e-08
1.133333e+01,1.485223e+01,7.756324e+00,0.000000e+00,1.250000e-05,7.009134e-08
1.150000e+01,1.532686e+01,8.462844e+00,0.000000e+00,1.250000e-05,3.565118e-08
1.166667e+01,1.560471e+01,8.794845e+00,0.000000e+00,1.250000e-05,1.747315e-08
1.183333e+01,1.587770e+01,8.956232e+00,0.000000e+00,1.250000e-05,1.433714e-08
1.200000e+01,1.605712e+01,8.956232e+00,0.000000e+00,1.250000e-05,7.883520e-09
1.216667e+01,1.649712e+01,9.423824e+00,0.000000e+00,1.250000e-05,1.635636e-08
1.233333e+01,1.684085e+01,9.869287e+00,0.000000e+00,1.250000e-05,1.093409e-08
1.250000e+01,1.726088e+01,1.015541e+01,0.000000e+00,1.250000e-05,1.150983e-08
1.266667e+01,1.791246e+01,1.043369e+01,0.000000e+00,1.250000e-05,1.564259e-08
1.283333e+01,1.830793e+01,1.096910e+01,0.000000e+00,1.250000e-05,8.380214e-09
1.300000e+01,1.877150e+01,1.109892e+01,0.000000e+00,1.250000e-05,8.704631e-09
1.316667e+01,1.922389e+01,1.172646e+01,0.000000e+00,1.250000e-05,7.611524e-09
1.333333e+01,1.959290e+01,1.232209e+01,0.000000e+00,1.250000e-05,5.603963e-09
1.350000e+01,1.995509e+01,1.311058e+01,0.000000e+00,1.250000e-05,5.002722e-09
1.366667e+01,2.038123e+01,1.343435e+01,0.000000e+00,1.250000e-05,5.414389e-09
1.383333e+01,2.045139e+01,1.395728e+01,0.000000e+00,1.250000e-05,8.218261e-10
1.400000e+01,2.100423e+01,1.395728e+01,0.000000e+00,1.250000e-05,6.045993e-09
1.416667e+01,2.160927e+01,1.405953e+01,0.000000e+00,1.250000e-05,6.310974e-09
1.433333e+01,2.213321e+01,1.426184e+01,0.000000e+00,1.250000e-05,5.248275e-09
1.450000e+01,2.264503e+01,1.436192e+01,0.000000e+00,1.250000e-05,4.947908e-09
1.466667e+01,2.283400e+01,1.465808e+01,0.000000e+00,1.250000e-05,1.761266e-09
1.483333e+01,2.320733e+01,1.494836e+01,0.000000e+00,1.250000e-05,3.365422e-09
1.500000e+01,2.363544e+01,1.504388e+01,0.000000e+00,1.250000e-05,3.771349e-09
1.516667e+01,2.405592e+01,1.523312e+01,0.000000e+00,1.250000e-05,3.640809e-09
1.533333e+01,2.452765e+01,1.551265e+01,0.000000e+00,1.250000e-05,4.034705e-09
1.550000e+01,2.476015e+01,1.578723e+01,0.000000e+00,1.250000e-05,1.962118e-09
1.566667e+01,2.487558e+01,1.605712e+01,0.000000e+00,1.250000e-05,9.570337e-10
1.583333e+01,2.516184e+01,1.632254e+01,0.000000e+00,1.250000e-05,2.339735e-09
1.600000e+01,2.533205e+01,1.649712e+01,0.000000e+00,1.250000e-05,1.374951e-09
1.616667e+01,2.566908e+01,1.675558e+01,0.000000e+00,1.250000e-05,2.695924e-09
1.633333e+01,2.583594e+01,1.709411e+01,0.000000e+00,1.250000e-05,1.321408e-09
1.650000e+01,2.616648e+01,1.767094e+01,0.000000e+00,1.250000e-05,2.586215e-09
1.666667e+01,2.660081e+01,1.799225e+01,0.000000e+00,1.250000e-05,3.368160e-09
1.683333e+01,2.681533e+01,1.838600e+01,0.000000e+00,1.250000e-05,1.639358e-09
1.700000e+01,2.702816e+01,1.854116e+01,0.000000e+00,1.250000e-05,1.589223e-09
1.716667e+01,2.718668e+01,1.884765e+01,0.000000e+00,1.250000e-05,1.149292e-09
1.733333e+01,2.734429e+01,1.914923e+01,0.000000e+00,1.250000e-05,1.101115e-09
1.750000e+01,2.781174e+01,1.922389e+01,0.000000e+00,1.250000e-05,3.142150e-09
1.766667e+01,2.816996e+01,1.959290e+01,0.000000e+00,1.250000e-05,2.305347e-09
1.783333e+01,2.862393e+01,1.988318e+01,0.000000e+00,1.250000e-05,2.771628e-09
1.800000e+01,2.912005e+01,2.024018e+01,0.000000e+00,1.250000e-05,2.853840e-09
1.816667e+01,2.941371e+01,2.045139e+01,0.000000e+00,1.250000e-05,1.572512e-09
1.833333e+01,2.946237e+01,2.072965e+01,0.000000e+00,1.250000e-05,2.386380e-10
1.850000e+01,2.984878e+01,2.134248e+01,0.000000e+00,1.250000e-05,1.725795e-09
1.866667e+01,3.013533e+01,2.160927e+01,0.000000e+00,1.250000e-05,1.162550e-09
1.883333e+01,3.037206e+01,2.213321e+01,0.000000e+00,1.250000e-05,8.657445e-10
1.900000e+01,3.093282e+01,2.232652e+01,0.000000e+00,1.250000e-05,1.850396e-09
1.916667e+01,3.102530e+01,2.270819e+01,0.000000e+00,1.250000e-05,2.736202e-10
1.933333e+01,3.130108e+01,2.302142e+01,1.692569e+00,1.250000e-05,7.275413e-10
1.950000e+01,3.161979e+01,2.345292e+01,2.393654e+00,1.250000e-05,7.358657e-10
1.966667e+01,3.180048e+01,2.369596e+01,2.393654e+00,1.250000e-05,3.727903e-10
1.983333e+01,3.198014e+01,2.405592e+01,2.931615e+00,1.250000e-05,3.325058e-10
2.000000e+01,3.233648e+01,2.405592e+01,2.931615e+00,1.250000e-05,5.936912e-10
2.016667e+01,3.264508e+01,2.435182e+01,3.784699e+00,1.250000e-05,4.699930e-10
2.033333e+01,3.286374e+01,2.452765e+01,4.145930e+00,1.250000e-05,3.033856e-10
2.050000e+01,3.295080e+01,2.470223e+01,4.478116e+00,1.250000e-05,1.117629e-10
2.066667e+01,3.338267e+01,2.493309e+01,5.077706e+00,1.250000e-05,5.184598e-10
2.083333e+01,3.363914e+01,2.521871e+01,5.613615e+00,1.250000e-05,2.901190e-10
2.100000e+01,3.385138e+01,2.561321e+01,6.102643e+00,1.250000e-05,2.269132e-10
2.116667e+01,3.397808e+01,2.594659e+01,6.978640e+00,1.250000e-05,1.285749e-10
2.133333e+01,3.427191e+01,2.611168e+01,7.377736e+00,1.250000e-05,2.843173e-10
2.150000e+01,3.452176e+01,2.638454e+01,7.938851e+00,1.250000e-05,2.355907e-10
2.166667e+01,3.485212e+01,2.665460e+01,8.117275e+00,1.250000e-05,3.047484e-10
2.183333e+01,3.538238e+01,2.692195e+01,8.462844e+00,1.250000e-05,4.841933e-10
2.200000e+01,3.578492e+01,2.718668e+01,8.462844e+00,1.250000e-05,3.617264e-10
2.216667e+01,3.622255e+01,2.750099e+01,8.794845e+00,1.250000e-05,3.864761e-10
2.233333e+01,3.645905e+01,2.781174e+01,8.956232e+00,1.250000e-05,2.026809e-10
2.250000e+01,3.692749e+01,2.796583e+01,8.956232e+00,1.250000e-05,3.909223e-10
2.266667e+01,3.719803e+01,2.816996e+01,9.114762e+00,1.250000e-05,2.191830e-10
2.283333e+01,3.754299e+01,2.877367e+01,9.270581e+00,1.250000e-05,2.683206e-10
2.300000e+01,3.777122e+01,2.912005e+01,9.423824e+00,1.250000e-05,1.697295e-10
2.316667e+01,3.814856e+01,2.936497e+01,9.869287e+00,1.250000e-05,2.667952e-10
2.333333e+01,3.841050e+01,2.984878e+01,1.001337e+01,1.250000e-05,1.758801e-10
2.350000e+01,3.881854e+01,3.041919e+01,1.015541e+01,1.250000e-05,2.622222e-10
2.366667e+01,3.914923e+01,3.056012e+01,1.015541e+01,1.250000e-05,2.004540e-10
2.383333e+01,3.936814e+01,3.074704e+01,1.015541e+01,1.250000e-05,1.246199e-10
2.400000e+01,3.962202e+01,3.111750e+01,1.083773e+01,1.250000e-05,1.343796e-10
2.416667e+01,3.994606e+01,3.130108e+01,1.109892e+01,1.250000e-05,1.593217e-10
2.433333e+01,4.026749e+01,3.161979e+01,1.147956e+01,1.250000e-05,1.483062e-10
2.450000e+01,4.048036e+01,3.180048e+01,1.172646e+01,1.250000e-05,9.246019e-11
2.466667e+01,4.097275e+01,3.189044e+01,1.255243e+01,1.250000e-05,2.025107e-10
2.483333e+01,4.142473e+01,3.233648e+01,1.289022e+01,1.250000e-05,1.770056e-10
2.500000e+01,4.187184e+01,3.242495e+01,1.343435e+01,1.250000e-05,1.690182e-10
2.516667e+01,4.248314e+01,3.264508e+01,1.375049e+01,1.250000e-05,2.236299e-10
2.533333e+01,4.285242e+01,3.286374e+01,1.416105e+01,1.250000e-05,1.314930e-10
2.550000e+01,4.335091e+01,3.325370e+01,1.456003e+01,1.250000e-05,1.724328e-10
2.566667e+01,4.371286e+01,3.368169e+01,1.532686e+01,1.250000e-05,1.220436e-10
2.583333e+01,4.407184e+01,3.410432e+01,1.569624e+01,1.250000e-05,1.180134e-10
