Time,avgI1rd,avgI2rd,avgDrd,Beta,Beff
0.000000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.666667e-01,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.333333e-01,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
5.000000e-01,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
6.666667e-01,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
8.333333e-01,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.000000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.166667e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.333333e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.500000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.666667e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
1.833333e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.000000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.166667e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.333333e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.500000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.666667e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
2.833333e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.000000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.166667e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.333333e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.500000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.666667e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
3.833333e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
4.000000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
4.166667e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
4.333333e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
4.500000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
4.666667e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
4.833333e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
5.000000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
5.166667e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
5.333333e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
5.500000e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
5.666667e+00,1.128379e+00,0.000000e+00,0.000000e+00,1.000000e-05,0.000000e+00
5.833333e+00,1.128379e+00,1.128379e+00,0.000000e+00,1.000000e-05,0.000000e+00
6.000000e+00,1.128379e+00,1.128379e+00,0.000000e+00,1.000000e-05,0.000000e+00
6.166667e+00,1.954410e+00,1.128379e+00,0.000000e+00,1.000000e-05,2.732832e-05
6.333333e+00,2.256758e+00,1.128379e+00,0.000000e+00,1.000000e-05,6.316944e-06
6.500000e+00,2.256758e+00,1.128379e+00,0.000000e+00,1.000000e-05,0.000000e+00
6.666667e+00,2.985411e+00,1.128379e+00,0.000000e+00,1.000000e-05,7.908348e-06
6.833333e+00,3.742410e+00,1.128379e+00,0.000000e+00,1.000000e-05,7.618313e-06
7.000000e+00,4.068429e+00,1.595769e+00,0.000000e+00,1.000000e-05,2.845821e-06
7.166667e+00,4.787307e+00,1.595769e+00,0.000000e+00,1.000000e-05,5.429582e-06
7.333333e+00,5.046265e+00,1.595769e+00,0.000000e+00,1.000000e-05,1.680736e-06
7.500000e+00,5.411516e+00,1.954410e+00,0.000000e+00,1.000000e-05,1.969927e-06
7.666667e+00,5.411516e+00,2.256758e+00,0.000000e+00,1.000000e-05,0.000000e+00
7.833333e+00,5.753627e+00,2.256758e+00,0.000000e+00,1.000000e-05,1.224675e-06
8.000000e+00,6.076508e+00,2.256758e+00,0.000000e+00,1.000000e-05,9.712008e-07
8.166667e+00,6.579525e+00,2.985411e+00,0.000000e+00,1.000000e-05,1.286853e-06
8.333333e+00,7.046726e+00,2.985411e+00,0.000000e+00,1.000000e-05,1.024899e-06
8.500000e+00,7.312733e+00,2.985411e+00,0.000000e+00,1.000000e-05,4.903655e-07
8.666667e+00,7.735778e+00,3.568248e+00,0.000000e+00,1.000000e-05,6.523970e-07
8.833333e+00,8.136858e+00,3.568248e+00,0.000000e+00,1.000000e-05,5.211895e-07
9.000000e+00,8.667245e+00,3.568248e+00,0.000000e+00,1.000000e-05,5.832859e-07
9.166667e+00,9.097284e+00,3.908820e+00,0.000000e+00,1.000000e-05,3.998682e-07
9.333333e+00,9.574615e+00,3.908820e+00,0.000000e+00,1.000000e-05,3.733009e-07
9.500000e+00,9.836982e+00,4.068429e+00,0.000000e+00,1.000000e-05,1.707586e-07
9.666667e+00,1.052482e+01,4.513517e+00,0.000000e+00,1.000000e-05,3.761233e-07
9.833333e+00,1.076405e+01,4.652426e+00,0.000000e+00,1.000000e-05,1.095905e-07
1.000000e+01,1.117038e+01,5.046265e+00,0.000000e+00,1.000000e-05,1.537632e-07
1.016667e+01,1.161737e+01,5.411516e+00,0.000000e+00,1.000000e-05,1.409896e-07
1.033333e+01,1.194164e+01,5.753627e+00,0.000000e+00,1.000000e-05,8.490492e-08
1.050000e+01,1.241217e+01,6.076508e+00,0.000000e+00,1.000000e-05,1.023670e-07
1.066667e+01,1.286550e+01,6.383076e+00,0.000000e+00,1.000000e-05,8.237908e-08
1.083333e+01,1.335116e+01,6.482045e+00,0.000000e+00,1.000000e-05,7.376946e-08
1.100000e+01,1.377362e+01,6.675581e+00,0.000000e+00,1.000000e-05,5.360113e-08
1.116667e+01,1.436192e+01,6.770275e+00,0.000000e+00,1.000000e-05,6.264792e-08
1.133333e+01,1.466893e+01,6.863663e+00,0.000000e+00,1.000000e-05,2.736496e-08
1.150000e+01,1.492705e+01,7.136496e+00,0.000000e+00,1.000000e-05,1.908769e-08
1.166667e+01,1.518079e+01,7.569398e+00,0.000000e+00,1.000000e-05,1.559205e-08
1.183333e+01,1.551265e+01,7.898654e+00,0.000000e+00,1.000000e-05,1.705884e-08
1.200000e+01,1.599754e+01,8.136858e+00,0.000000e+00,1.000000e-05,2.110632e-08
1.216667e+01,1.646815e+01,8.519076e+00,0.000000e+00,1.000000e-05,1.751460e-08
1.233333e+01,1.677456e+01,8.740387e+00,0.000000e+00,1.000000e-05,9.756010e-09
1.250000e+01,1.696326e+01,8.884866e+00,0.000000e+00,1.000000e-05,5.133992e-09
1.266667e+01,1.737118e+01,9.166996e+00,0.000000e+00,1.000000e-05,9.592162e-09
1.283333e+01,1.755346e+01,9.304853e+00,0.000000e+00,1.000000e-05,3.736387e-09
1.300000e+01,1.780552e+01,9.574615e+00,0.000000e+00,1.000000e-05,4.526835e-09
1.316667e+01,1.840331e+01,1.021791e+01,0.000000e+00,1.000000e-05,9.612554e-09
1.333333e+01,1.871205e+01,1.034177e+01,0.000000e+00,1.000000e-05,4.495365e-09
1.350000e+01,1.911596e+01,1.070474e+01,0.000000e+00,1.000000e-05,5.349714e-09
1.366667e+01,1.947884e+01,1.122723e+01,0.000000e+00,1.000000e-05,4.421709e-09
1.383333e+01,2.002674e+01,1.167204e+01,0.000000e+00,1.000000e-05,6.223320e-09
1.400000e+01,2.031083e+01,1.178062e+01,1.128379e+00,1.000000e-05,3.028119e-09
1.416667e+01,2.071429e+01,1.194164e+01,1.128379e+00,1.000000e-05,4.056057e-09
1.433333e+01,2.092832e+01,1.220529e+01,1.128379e+00,1.000000e-05,2.385089e-09
1.450000e+01,2.114018e+01,1.251433e+01,1.128379e+00,1.000000e-05,2.601647e-09
1.466667e+01,2.149851e+01,1.306193e+01,1.128379e+00,1.000000e-05,4.857719e-09
1.483333e+01,2.185097e+01,1.315905e+01,1.128379e+00,1.000000e-05,5.279160e-09
1.500000e+01,2.228370e+01,1.335116e+01,1.128379e+00,1.000000e-05,7.149963e-09
1.516667e+01,2.265205e+01,1.391159e+01,1.128379e+00,1.000000e-05,6.687623e-09
1.533333e+01,2.293137e+01,1.418351e+01,1.128379e+00,1.000000e-05,5.522905e-09
1.550000e+01,2.331680e+01,1.440618e+01,1.128379e+00,1.000000e-05,8.240879e-09
1.566667e+01,2.377642e+01,1.466893e+01,1.128379e+00,1.000000e-05,1.054475e-08
1.583333e+01,2.422733e+01,1.492705e+01,1.128379e+00,1.000000e-05,1.097884e-08
1.600000e+01,2.461833e+01,1.496964e+01,1.128379e+00,1.000000e-05,9.934647e-09
1.616667e+01,2.495224e+01,1.543035e+01,1.128379e+00,1.000000e-05,8.672507e-09
1.633333e+01,2.515552e+01,1.571650e+01,1.128379e+00,1.000000e-05,5.266427e-09
1.650000e+01,2.553231e+01,1.595769e+01,1.128379e+00,1.000000e-05,9.526823e-09
