Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.456339e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.514888e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.255877e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.757957e-22
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.377773e-21
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.777499e-21
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.555595e-21
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.104879e-20
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.187949e-20
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.318724e-20
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.503669e-20
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.671242e-19
2.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.279747e-19
2.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.429067e-19
2.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.259121e-18
2.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.464210e-18
3.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.819919e-18
3.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.423243e-18
3.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.841602e-17
3.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.597942e-17
3.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.027451e-17
3.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.372287e-16
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,2.679231e-16
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,5.230041e-16
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.162719e-01,1.020797e-15
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.346149e+00,1.992147e-15
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.220734e+00,3.887382e-15
4.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.278739e+00,7.584954e-15
5.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.568397e+00,1.479833e-14
5.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.149854e+00,2.878061e-14
5.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.098163e+00,5.559958e-14
5.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.050702e+01,1.067361e-13
5.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.349344e+01,2.053419e-13
5.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.720359e+01,3.963079e-13
6.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.182010e+01,7.686273e-13
6.166667e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,2.757118e+01,1.547202e-12
6.333333e+00,9.997490e-01,2.151386e-04,3.585643e-05,0.000000e+00,3.474200e+01,3.109661e-12
6.500000e+00,9.997490e-01,2.151386e-04,3.585643e-05,0.000000e+00,4.368898e+01,6.206499e-12
6.666667e+00,9.997131e-01,1.792822e-04,1.075693e-04,0.000000e+00,5.485759e+01,1.234188e-11
6.833333e+00,9.997131e-01,1.792822e-04,1.075693e-04,0.000000e+00,6.880453e+01,2.427954e-11
7.000000e+00,9.996056e-01,2.868514e-04,1.075693e-04,0.000000e+00,8.623466e+01,4.783239e-11
7.166667e+00,9.995697e-01,3.227079e-04,1.075693e-04,0.000000e+00,1.080101e+02,9.349837e-11
7.333333e+00,9.995339e-01,3.227079e-04,1.434257e-04,0.000000e+00,1.352181e+02,1.823073e-10
7.500000e+00,9.994980e-01,3.585643e-04,1.434257e-04,0.000000e+00,1.692169e+02,3.554755e-10
7.666667e+00,9.994263e-01,3.585643e-04,2.151386e-04,0.000000e+00,2.117176e+02,6.933024e-10
7.833333e+00,9.992829e-01,5.019900e-04,2.151386e-04,0.000000e+00,2.648290e+02,1.348669e-09
8.000000e+00,9.992112e-01,5.737029e-04,2.151386e-04,0.000000e+00,3.312381e+02,2.629861e-09
8.166667e+00,9.991753e-01,5.378465e-04,2.868514e-04,0.000000e+00,4.142212e+02,5.122251e-09
8.333333e+00,9.991394e-01,5.378465e-04,3.227079e-04,0.000000e+00,5.179086e+02,9.981162e-09
8.500000e+00,9.990319e-01,6.454158e-04,3.227079e-04,0.000000e+00,6.474626e+02,1.946153e-08
8.666667e+00,9.989243e-01,7.529850e-04,3.227079e-04,0.000000e+00,8.093133e+02,3.793467e-08
8.833333e+00,9.988885e-01,7.529850e-04,3.585643e-04,0.000000e+00,1.011466e+03,7.389406e-08
9.000000e+00,9.988167e-01,7.529850e-04,4.302772e-04,0.000000e+00,1.263902e+03,1.438466e-07
9.166667e+00,9.986733e-01,8.605543e-04,4.661336e-04,0.000000e+00,1.579043e+03,2.797972e-07
9.333333e+00,9.986375e-01,8.964108e-04,4.661336e-04,0.000000e+00,1.972369e+03,5.436815e-07
9.500000e+00,9.986016e-01,9.322672e-04,4.661336e-04,0.000000e+00,2.463047e+03,1.054944e-06
9.666667e+00,9.985657e-01,9.322672e-04,5.019900e-04,0.000000e+00,3.074762e+03,2.043464e-06
9.833333e+00,9.984940e-01,1.003980e-03,5.019900e-04,0.000000e+00,3.836842e+03,3.949709e-06
1.000000e+01,9.983147e-01,1.183262e-03,5.019900e-04,0.000000e+00,4.785586e+03,7.613722e-06
1.016667e+01,9.982789e-01,1.183262e-03,5.378465e-04,0.000000e+00,5.965231e+03,1.462767e-05
1.033333e+01,9.982072e-01,1.147406e-03,6.454158e-04,0.000000e+00,7.430018e+03,2.798671e-05
1.050000e+01,9.980996e-01,1.254975e-03,6.454158e-04,0.000000e+00,9.246064e+03,5.327233e-05
1.066667e+01,9.979203e-01,1.434257e-03,6.454158e-04,0.000000e+00,1.149359e+04,1.007641e-04
1.083333e+01,9.978128e-01,1.398401e-03,7.888415e-04,0.000000e+00,1.426706e+04,1.891198e-04
1.100000e+01,9.977052e-01,1.434257e-03,8.605543e-04,0.000000e+00,1.767906e+04,3.515940e-04
1.116667e+01,9.975618e-01,1.541827e-03,8.964108e-04,0.000000e+00,2.186243e+04,6.461329e-04
1.133333e+01,9.973825e-01,1.541827e-03,1.075693e-03,0.000000e+00,2.696654e+04,1.170905e-03
1.150000e+01,9.970598e-01,1.828678e-03,1.111549e-03,0.000000e+00,3.316001e+04,2.086484e-03
1.166667e+01,9.968805e-01,2.007960e-03,1.111549e-03,0.000000e+00,4.062695e+04,3.644174e-03
1.183333e+01,9.967012e-01,2.187242e-03,1.111549e-03,0.000000e+00,4.955986e+04,6.215989e-03
1.200000e+01,9.965219e-01,2.366524e-03,1.111549e-03,0.000000e+00,6.015105e+04,1.031423e-02
1.216667e+01,9.964144e-01,2.438237e-03,1.147406e-03,0.000000e+00,7.257924e+04,1.657988e-02
1.233333e+01,9.962351e-01,2.617519e-03,1.147406e-03,0.000000e+00,8.699325e+04,2.571240e-02
1.250000e+01,9.961275e-01,2.653376e-03,1.219119e-03,0.000000e+00,1.034938e+05,3.832190e-02
1.266667e+01,9.959124e-01,2.868514e-03,1.219119e-03,0.000000e+00,1.221154e+05,5.471259e-02
1.283333e+01,9.956972e-01,2.976084e-03,1.326688e-03,0.000000e+00,1.428122e+05,7.466381e-02
1.300000e+01,9.954462e-01,3.155366e-03,1.398401e-03,0.000000e+00,1.654496e+05,9.732001e-02
1.316667e+01,9.951952e-01,3.262935e-03,1.541827e-03,0.000000e+00,1.898056e+05,1.212966e-01
1.333333e+01,9.950877e-01,3.155366e-03,1.756965e-03,0.000000e+00,2.155806e+05,1.450264e-01
1.350000e+01,9.948725e-01,3.262935e-03,1.864534e-03,0.000000e+00,2.424162e+05,1.672464e-01
1.366667e+01,9.947650e-01,3.298792e-03,1.936247e-03,0.000000e+00,2.699254e+05,1.874530e-01
1.383333e+01,9.945857e-01,3.406361e-03,2.007960e-03,0.000000e+00,2.977014e+05,2.061683e-01
1.400000e+01,9.943705e-01,3.513930e-03,2.115529e-03,0.000000e+00,3.253609e+05,2.249641e-01
1.416667e+01,9.940478e-01,3.800782e-03,2.151386e-03,0.000000e+00,3.525526e+05,2.462987e-01
1.433333e+01,9.939044e-01,3.800782e-03,2.294812e-03,0.000000e+00,3.789748e+05,2.732805e-01
1.450000e+01,9.937968e-01,3.764925e-03,2.438237e-03,0.000000e+00,4.043867e+05,3.094563e-01
1.466667e+01,9.936534e-01,3.800782e-03,2.545807e-03,0.000000e+00,4.286142e+05,3.586987e-01
1.483333e+01,9.935100e-01,3.872495e-03,2.617519e-03,0.000000e+00,4.515441e+05,4.252242e-01
1.500000e+01,9.934383e-01,3.764925e-03,2.796802e-03,0.000000e+00,4.731289e+05,5.137290e-01
1.516667e+01,9.931873e-01,3.872495e-03,2.940227e-03,0.000000e+00,4.933828e+05,6.296326e-01
1.533333e+01,9.930080e-01,3.944207e-03,3.047797e-03,0.000000e+00,5.123829e+05,7.794076e-01
1.550000e+01,9.928287e-01,4.087633e-03,3.083653e-03,0.000000e+00,5.302737e+05,9.709786e-01
1.566667e+01,9.925419e-01,4.231059e-03,3.227079e-03,0.000000e+00,5.472386e+05,1.214182e+00
1.583333e+01,9.922192e-01,4.231059e-03,3.549787e-03,0.000000e+00,5.635331e+05,1.521286e+00
1.600000e+01,9.920399e-01,4.266915e-03,3.693212e-03,0.000000e+00,5.795226e+05,1.907567e+00
1.616667e+01,9.917172e-01,4.482054e-03,3.800782e-03,0.000000e+00,5.957078e+05,2.391950e+00
1.633333e+01,9.915379e-01,4.517910e-03,3.944207e-03,0.000000e+00,6.124575e+05,2.997699e+00
1.650000e+01,9.913227e-01,4.482054e-03,4.159346e-03,3.585643e-05,6.303619e+05,3.753153e+00
1.666667e+01,9.911793e-01,4.553767e-03,4.231059e-03,3.585643e-05,6.501221e+05,4.687397e+00
1.683333e+01,9.908925e-01,4.661336e-03,4.410341e-03,3.585643e-05,6.338178e+05,5.849339e+00
1.700000e+01,9.906056e-01,4.733049e-03,4.625480e-03,3.585643e-05,6.249212e+05,7.284951e+00
1.716667e+01,9.904263e-01,4.804762e-03,4.733049e-03,3.585643e-05,6.243653e+05,9.048198e+00
1.733333e+01,9.901395e-01,4.984044e-03,4.840618e-03,3.585643e-05,6.333012e+05,1.120044e+01
1.750000e+01,9.898168e-01,5.091613e-03,5.055757e-03,3.585643e-05,6.531163e+05,1.380936e+01
1.766667e+01,9.896375e-01,5.055757e-03,5.270895e-03,3.585643e-05,6.854341e+05,1.694719e+01
1.783333e+01,9.892789e-01,5.270895e-03,5.414321e-03,3.585643e-05,7.321331e+05,2.068816e+01
1.800000e+01,9.891355e-01,5.378465e-03,5.450177e-03,3.585643e-05,7.988558e+05,2.510508e+01
1.816667e+01,9.889204e-01,5.378465e-03,5.593603e-03,1.075693e-04,8.849747e+05,3.026554e+01
1.833333e+01,9.885977e-01,5.557747e-03,5.737029e-03,1.075693e-04,9.930917e+05,3.429875e+01
1.850000e+01,9.883467e-01,5.701173e-03,5.844598e-03,1.075693e-04,1.090708e+06,3.986195e+01
1.866667e+01,9.881315e-01,5.772885e-03,5.988024e-03,1.075693e-04,1.212801e+06,4.670264e+01
1.883333e+01,9.878805e-01,5.844598e-03,6.167306e-03,1.075693e-04,1.361968e+06,5.469909e+01
1.900000e+01,9.877371e-01,5.808742e-03,6.346588e-03,1.075693e-04,1.540836e+06,6.379278e+01
1.916667e+01,9.875220e-01,5.880455e-03,6.490014e-03,1.075693e-04,1.751968e+06,7.395537e+01
1.933333e+01,9.870200e-01,6.239019e-03,6.597583e-03,1.434257e-04,1.997787e+06,8.517402e+01
1.950000e+01,9.867331e-01,6.382445e-03,6.741009e-03,1.434257e-04,2.282294e+06,9.294178e+01
1.966667e+01,9.865897e-01,6.095593e-03,7.171286e-03,1.434257e-04,2.587235e+06,1.034167e+02
1.983333e+01,9.863387e-01,6.239019e-03,7.207143e-03,2.151386e-04,2.931292e+06,1.159314e+02
2.000000e+01,9.860518e-01,6.382445e-03,7.314712e-03,2.509950e-04,3.316052e+06,1.246726e+02
2.016667e+01,9.857650e-01,6.490014e-03,7.458138e-03,2.868514e-04,3.668058e+06,1.374638e+02
2.033333e+01,9.855499e-01,6.490014e-03,7.637420e-03,3.227079e-04,4.015720e+06,1.525558e+02
2.050000e+01,9.852630e-01,6.669296e-03,7.744989e-03,3.227079e-04,4.383411e+06,1.691374e+02
2.066667e+01,9.849762e-01,6.741009e-03,7.816702e-03,4.661336e-04,4.780473e+06,1.890245e+02
2.083333e+01,9.847610e-01,6.776865e-03,7.995984e-03,4.661336e-04,5.221177e+06,1.982747e+02
2.100000e+01,9.846176e-01,6.741009e-03,8.139410e-03,5.019900e-04,5.579633e+06,2.168782e+02
2.116667e+01,9.842232e-01,6.920291e-03,8.246979e-03,6.095593e-04,5.997629e+06,2.416211e+02
2.133333e+01,9.839722e-01,6.956148e-03,8.390405e-03,6.812722e-04,6.436122e+06,2.665318e+02
2.150000e+01,9.836853e-01,7.135430e-03,8.462118e-03,7.171286e-04,6.803037e+06,2.950727e+02
2.166667e+01,9.832192e-01,7.422281e-03,8.605543e-03,7.529850e-04,7.126095e+06,3.324919e+02
2.183333e+01,9.827889e-01,7.637420e-03,8.748969e-03,8.246979e-04,7.457109e+06,3.773871e+02
2.200000e+01,9.826096e-01,7.673276e-03,8.892395e-03,8.246979e-04,7.840885e+06,4.270721e+02
2.216667e+01,9.823228e-01,7.744989e-03,9.071677e-03,8.605543e-04,8.194977e+06,4.839473e+02
2.233333e+01,9.820359e-01,7.852558e-03,9.143390e-03,9.681236e-04,8.617542e+06,5.344354e+02
2.250000e+01,9.817849e-01,7.852558e-03,9.322672e-03,1.039836e-03,9.090350e+06,5.840429e+02
2.266667e+01,9.814264e-01,8.031841e-03,9.430241e-03,1.111549e-03,9.529750e+06,6.443735e+02
2.283333e+01,9.811037e-01,8.175266e-03,9.573667e-03,1.147406e-03,9.979335e+06,7.098643e+02
2.300000e+01,9.808885e-01,8.246979e-03,9.717093e-03,1.147406e-03,1.046111e+07,7.681332e+02
2.316667e+01,9.807451e-01,8.103553e-03,9.968088e-03,1.183262e-03,1.100356e+07,8.410368e+02
2.333333e+01,9.803148e-01,8.175266e-03,1.018323e-02,1.326688e-03,1.164638e+07,9.162797e+02
2.350000e+01,9.798128e-01,8.569687e-03,1.018323e-02,1.434257e-03,1.235526e+07,9.704057e+02
2.366667e+01,9.795618e-01,8.641400e-03,1.036251e-02,1.434257e-03,1.305983e+07,1.025352e+03
2.383333e+01,9.791674e-01,8.820682e-03,1.047008e-02,1.541827e-03,1.374910e+07,1.098400e+03
2.400000e+01,9.790598e-01,8.748969e-03,1.050593e-02,1.685252e-03,1.455829e+07,1.159029e+03
2.416667e+01,9.787730e-01,8.784826e-03,1.057765e-02,1.864534e-03,1.535145e+07,1.210684e+03
2.433333e+01,9.786296e-01,8.713113e-03,1.064936e-02,2.007960e-03,1.608496e+07,1.245320e+03
2.450000e+01,9.780917e-01,9.143390e-03,1.068522e-02,2.079673e-03,1.682016e+07,1.287309e+03
2.466667e+01,9.776973e-01,9.179246e-03,1.079279e-02,2.330668e-03,1.750893e+07,1.310842e+03
2.483333e+01,9.774104e-01,9.215103e-03,1.097207e-02,2.402381e-03,1.825798e+07,1.302845e+03
2.500000e+01,9.767292e-01,9.717093e-03,1.107964e-02,2.474094e-03,1.892487e+07,1.321605e+03
2.516667e+01,9.762630e-01,9.860518e-03,1.125892e-02,2.617519e-03,1.966068e+07,1.381361e+03
2.533333e+01,9.757969e-01,9.824662e-03,1.165334e-02,2.725089e-03,2.047194e+07,1.423084e+03
2.550000e+01,9.753308e-01,1.011151e-02,1.176091e-02,2.796802e-03,2.129150e+07,1.488156e+03
2.566667e+01,9.749005e-01,1.029080e-02,1.201190e-02,2.796802e-03,2.211580e+07,1.577815e+03
2.583333e+01,9.743985e-01,1.025494e-02,1.233461e-02,3.011940e-03,2.298520e+07,1.684060e+03
2.600000e+01,9.740041e-01,1.039836e-02,1.247804e-02,3.119509e-03,2.398358e+07,1.781132e+03
2.616667e+01,9.735738e-01,1.043422e-02,1.258561e-02,3.406361e-03,2.485479e+07,1.857987e+03
2.633333e+01,9.732870e-01,1.061350e-02,1.254975e-02,3.549787e-03,2.575354e+07,1.928017e+03
2.650000e+01,9.728925e-01,1.054179e-02,1.287246e-02,3.693212e-03,2.640882e+07,1.991446e+03
2.666667e+01,9.724623e-01,1.075693e-02,1.298003e-02,3.800782e-03,2.708979e+07,2.058146e+03
2.683333e+01,9.719961e-01,1.111549e-02,1.287246e-02,4.015920e-03,2.773355e+07,2.165813e+03
2.700000e+01,9.715300e-01,1.133063e-02,1.301588e-02,4.123490e-03,2.837714e+07,2.262503e+03
2.716667e+01,9.710997e-01,1.147406e-02,1.315931e-02,4.266915e-03,2.890389e+07,2.382325e+03
2.733333e+01,9.705619e-01,1.161748e-02,1.344616e-02,4.374485e-03,2.947157e+07,2.531807e+03
