Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.451012e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.493184e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.170282e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.514783e-22
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.317663e-21
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.639858e-21
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.255147e-21
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.041375e-20
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.056740e-20
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.052081e-20
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.968453e-20
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.564815e-19
2.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.069640e-19
2.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.016607e-19
2.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.178508e-18
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,2.307211e-18
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,4.515014e-18
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.261395e-01,8.832437e-18
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.728610e-01,1.727336e-17
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.462715e-01,3.377282e-17
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.539228e-01,6.601881e-17
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.051803e-01,1.290299e-16
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.211684e+00,2.521424e-16
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.587922e+00,4.926542e-16
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.051953e+00,9.624683e-16
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.626297e+00,1.880115e-15
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.339066e+00,3.672324e-15
4.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.225359e+00,7.172331e-15
5.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,5.329019e+00,1.400702e-14
5.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,6.704821e+00,2.731784e-14
5.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,8.421212e+00,5.300679e-14
5.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.056374e+01,1.026556e-13
5.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.323931e+01,1.984704e-13
5.833333e+00,9.998924e-01,3.585643e-05,7.171286e-05,0.000000e+00,1.658156e+01,3.845697e-13
6.000000e+00,9.998924e-01,3.585643e-05,7.171286e-05,0.000000e+00,2.075756e+01,7.481951e-13
6.166667e+00,9.998924e-01,3.585643e-05,7.171286e-05,0.000000e+00,2.598473e+01,1.511477e-12
6.333333e+00,9.998566e-01,7.171286e-05,7.171286e-05,0.000000e+00,3.251687e+01,3.048143e-12
6.500000e+00,9.998207e-01,1.075693e-04,7.171286e-05,0.000000e+00,4.068066e+01,6.099523e-12
6.666667e+00,9.997849e-01,1.434257e-04,7.171286e-05,0.000000e+00,5.088444e+01,1.215529e-11
6.833333e+00,9.996773e-01,2.509950e-04,7.171286e-05,0.000000e+00,6.363861e+01,2.395766e-11
7.000000e+00,9.996773e-01,2.151386e-04,1.075693e-04,0.000000e+00,7.958111e+01,4.731665e-11
7.166667e+00,9.996414e-01,2.509950e-04,1.075693e-04,0.000000e+00,9.950922e+01,9.249968e-11
7.333333e+00,9.995697e-01,2.868514e-04,1.434257e-04,0.000000e+00,1.244229e+02,1.804722e-10
7.500000e+00,9.994980e-01,3.585643e-04,1.434257e-04,0.000000e+00,1.555641e+02,3.517523e-10
7.666667e+00,9.994622e-01,3.944207e-04,1.434257e-04,0.000000e+00,1.944956e+02,6.862722e-10
7.833333e+00,9.994622e-01,3.944207e-04,1.434257e-04,0.000000e+00,2.431550e+02,1.336247e-09
8.000000e+00,9.992112e-01,6.454158e-04,1.434257e-04,0.000000e+00,3.039699e+02,2.605447e-09
8.166667e+00,9.991753e-01,6.812722e-04,1.434257e-04,0.000000e+00,3.799716e+02,5.078027e-09
8.333333e+00,9.990677e-01,7.529850e-04,1.792822e-04,0.000000e+00,4.749436e+02,9.888163e-09
8.500000e+00,9.989960e-01,8.246979e-04,1.792822e-04,0.000000e+00,5.936068e+02,1.927447e-08
8.666667e+00,9.989602e-01,8.246979e-04,2.151386e-04,0.000000e+00,7.418534e+02,3.758085e-08
8.833333e+00,9.988885e-01,8.605543e-04,2.509950e-04,0.000000e+00,9.270173e+02,7.319980e-08
9.000000e+00,9.988167e-01,9.322672e-04,2.509950e-04,0.000000e+00,1.158241e+03,1.424898e-07
9.166667e+00,9.988167e-01,9.322672e-04,2.509950e-04,0.000000e+00,1.446900e+03,2.771605e-07
9.333333e+00,9.987450e-01,9.681236e-04,2.868514e-04,0.000000e+00,1.807113e+03,5.385622e-07
9.500000e+00,9.986375e-01,1.039836e-03,3.227079e-04,0.000000e+00,2.256410e+03,1.045015e-06
9.666667e+00,9.984940e-01,1.183262e-03,3.227079e-04,0.000000e+00,2.816530e+03,2.024227e-06
9.833333e+00,9.984223e-01,1.183262e-03,3.944207e-04,0.000000e+00,3.514292e+03,3.912486e-06
1.000000e+01,9.983865e-01,1.219119e-03,3.944207e-04,0.000000e+00,4.382698e+03,7.541877e-06
1.016667e+01,9.983147e-01,1.254975e-03,4.302772e-04,0.000000e+00,5.462664e+03,1.448938e-05
1.033333e+01,9.980996e-01,1.398401e-03,5.019900e-04,0.000000e+00,6.803361e+03,2.772146e-05
1.050000e+01,9.979920e-01,1.434257e-03,5.737029e-04,0.000000e+00,8.464955e+03,5.276574e-05
1.066667e+01,9.978486e-01,1.541827e-03,6.095593e-04,0.000000e+00,1.051988e+04,9.980173e-05
1.083333e+01,9.977410e-01,1.577683e-03,6.812722e-04,0.000000e+00,1.305466e+04,1.873035e-04
1.100000e+01,9.975976e-01,1.613539e-03,7.888415e-04,0.000000e+00,1.617145e+04,3.481932e-04
1.116667e+01,9.974900e-01,1.685252e-03,8.246979e-04,0.000000e+00,1.998902e+04,6.398256e-04
1.133333e+01,9.974183e-01,1.756965e-03,8.246979e-04,0.000000e+00,2.464491e+04,1.159339e-03
1.150000e+01,9.973466e-01,1.792822e-03,8.605543e-04,0.000000e+00,3.028877e+04,2.065557e-03
1.166667e+01,9.972391e-01,1.756965e-03,1.003980e-03,0.000000e+00,3.708431e+04,3.606891e-03
1.183333e+01,9.970956e-01,1.828678e-03,1.075693e-03,0.000000e+00,4.520260e+04,6.150724e-03
1.200000e+01,9.969163e-01,1.972104e-03,1.111549e-03,0.000000e+00,5.481203e+04,1.020218e-02
1.216667e+01,9.967729e-01,2.079673e-03,1.147406e-03,0.000000e+00,6.606288e+04,1.639153e-02
1.233333e+01,9.966295e-01,2.187242e-03,1.183262e-03,0.000000e+00,7.907656e+04,2.540265e-02
1.250000e+01,9.965219e-01,2.151386e-03,1.326688e-03,0.000000e+00,9.392573e+04,3.782359e-02
1.266667e+01,9.962351e-01,2.402381e-03,1.362544e-03,0.000000e+00,1.106190e+05,5.392710e-02
1.283333e+01,9.960916e-01,2.545807e-03,1.362544e-03,0.000000e+00,1.290899e+05,7.344832e-02
1.300000e+01,9.959482e-01,2.545807e-03,1.505970e-03,0.000000e+00,1.491847e+05,9.546749e-02
1.316667e+01,9.958765e-01,2.581663e-03,1.505970e-03,3.585643e-05,1.706706e+05,1.185077e-01
1.333333e+01,9.956972e-01,2.725089e-03,1.541827e-03,3.585643e-05,1.932474e+05,6.959587e-02
1.350000e+01,9.954462e-01,2.940227e-03,1.577683e-03,3.585643e-05,1.767392e+05,4.636817e-02
1.366667e+01,9.951952e-01,3.119509e-03,1.649396e-03,3.585643e-05,1.617483e+05,3.841484e-02
1.383333e+01,9.950160e-01,3.262935e-03,1.685252e-03,3.585643e-05,1.481625e+05,4.039058e-02
1.400000e+01,9.948008e-01,3.442217e-03,1.721109e-03,3.585643e-05,1.358842e+05,4.954355e-02
1.416667e+01,9.946932e-01,3.442217e-03,1.828678e-03,3.585643e-05,1.248341e+05,6.447218e-02
1.433333e+01,9.944423e-01,3.621500e-03,1.900391e-03,3.585643e-05,1.149410e+05,8.454879e-02
1.450000e+01,9.942271e-01,3.729069e-03,2.007960e-03,3.585643e-05,1.061528e+05,1.096761e-01
1.466667e+01,9.940120e-01,3.836638e-03,2.115529e-03,3.585643e-05,9.843332e+04,1.402005e-01
1.483333e+01,9.937610e-01,4.051777e-03,2.151386e-03,3.585643e-05,9.176646e+04,1.768959e-01
1.500000e+01,9.935458e-01,4.195202e-03,2.223099e-03,3.585643e-05,8.615181e+04,2.209790e-01
1.516667e+01,9.932590e-01,4.231059e-03,2.474094e-03,3.585643e-05,8.161287e+04,2.741403e-01
1.533333e+01,9.929721e-01,4.446197e-03,2.545807e-03,3.585643e-05,7.823211e+04,3.385902e-01
1.550000e+01,9.927211e-01,4.517910e-03,2.725089e-03,3.585643e-05,7.610601e+04,4.171188e-01
1.566667e+01,9.925060e-01,4.625480e-03,2.832658e-03,3.585643e-05,7.530909e+04,5.131773e-01
1.583333e+01,9.922909e-01,4.661336e-03,3.011940e-03,3.585643e-05,7.599992e+04,6.309835e-01
1.600000e+01,9.920757e-01,4.589623e-03,3.298792e-03,3.585643e-05,7.837789e+04,7.756569e-01
1.616667e+01,9.918964e-01,4.697192e-03,3.370504e-03,3.585643e-05,8.269943e+04,9.533871e-01
1.633333e+01,9.917530e-01,4.625480e-03,3.585643e-03,3.585643e-05,8.928033e+04,1.171638e+00
1.650000e+01,9.915379e-01,4.697192e-03,3.729069e-03,3.585643e-05,9.850641e+04,1.439388e+00
1.666667e+01,9.915379e-01,4.589623e-03,3.836638e-03,3.585643e-05,1.108416e+05,1.767399e+00
1.683333e+01,9.913227e-01,4.697192e-03,3.944207e-03,3.585643e-05,1.268417e+05,2.168499e+00
1.700000e+01,9.911435e-01,4.733049e-03,4.087633e-03,3.585643e-05,1.471378e+05,2.657870e+00
1.716667e+01,9.910000e-01,4.804762e-03,4.159346e-03,3.585643e-05,1.724642e+05,3.253262e+00
1.733333e+01,9.907849e-01,4.948187e-03,4.231059e-03,3.585643e-05,2.036717e+05,3.975117e+00
1.750000e+01,9.904622e-01,5.199182e-03,4.302772e-03,3.585643e-05,2.416895e+05,4.846496e+00
1.766667e+01,9.902829e-01,5.055757e-03,4.589623e-03,7.171286e-05,2.875732e+05,5.892792e+00
1.783333e+01,9.902112e-01,4.876475e-03,4.840618e-03,7.171286e-05,3.424953e+05,7.079150e+00
1.800000e+01,9.901036e-01,4.912331e-03,4.912331e-03,7.171286e-05,3.766058e+05,8.513495e+00
1.816667e+01,9.899602e-01,5.055757e-03,4.912331e-03,7.171286e-05,4.221913e+05,1.021729e+01
1.833333e+01,9.897451e-01,5.019900e-03,5.163326e-03,7.171286e-05,4.810599e+05,1.221504e+01
1.850000e+01,9.897092e-01,4.876475e-03,5.342608e-03,7.171286e-05,5.552888e+05,1.453057e+01
1.866667e+01,9.895299e-01,4.804762e-03,5.593603e-03,7.171286e-05,6.540527e+05,1.718401e+01
1.883333e+01,9.894224e-01,4.661336e-03,5.808742e-03,1.075693e-04,8.049827e+05,2.018951e+01
1.900000e+01,9.892789e-01,4.733049e-03,5.844598e-03,1.434257e-04,9.800197e+05,2.351155e+01
1.916667e+01,9.890996e-01,4.625480e-03,6.131450e-03,1.434257e-04,1.165767e+06,2.711479e+01
1.933333e+01,9.889921e-01,4.589623e-03,6.239019e-03,1.792822e-04,1.339768e+06,3.110334e+01
1.950000e+01,9.888845e-01,4.589623e-03,6.310732e-03,2.151386e-04,1.548529e+06,3.495934e+01
1.966667e+01,9.885618e-01,4.840618e-03,6.382445e-03,2.151386e-04,1.782068e+06,3.854706e+01
1.983333e+01,9.884184e-01,4.804762e-03,6.561727e-03,2.151386e-04,2.011199e+06,4.286463e+01
2.000000e+01,9.882032e-01,4.948187e-03,6.633440e-03,2.151386e-04,2.278233e+06,4.766854e+01
2.016667e+01,9.880957e-01,4.804762e-03,6.812722e-03,2.868514e-04,2.584644e+06,5.280202e+01
2.033333e+01,9.878805e-01,4.948187e-03,6.812722e-03,3.585643e-04,2.931464e+06,5.670861e+01
2.050000e+01,9.876295e-01,4.984044e-03,6.992004e-03,3.944207e-04,3.238496e+06,5.870457e+01
2.066667e+01,9.874144e-01,5.127470e-03,7.027860e-03,4.302772e-04,3.571042e+06,6.194694e+01
2.083333e+01,9.871993e-01,5.199182e-03,7.135430e-03,4.661336e-04,3.906307e+06,6.488583e+01
2.100000e+01,9.869483e-01,5.306752e-03,7.242999e-03,5.019900e-04,4.242819e+06,6.867501e+01
2.116667e+01,9.866256e-01,5.378465e-03,7.458138e-03,5.378465e-04,4.588941e+06,7.301911e+01
2.133333e+01,9.862311e-01,5.521890e-03,7.709133e-03,5.378465e-04,4.931330e+06,7.757317e+01
2.150000e+01,9.861236e-01,5.486034e-03,7.780845e-03,6.095593e-04,5.272623e+06,8.290739e+01
2.166667e+01,9.858009e-01,5.737029e-03,7.852558e-03,6.095593e-04,5.663834e+06,8.715660e+01
2.183333e+01,9.855499e-01,5.952168e-03,7.816702e-03,6.812722e-04,6.012339e+06,9.270195e+01
2.200000e+01,9.853347e-01,5.880455e-03,7.995984e-03,7.888415e-04,6.413580e+06,9.771865e+01
2.216667e+01,9.852630e-01,5.844598e-03,8.103553e-03,7.888415e-04,6.773573e+06,1.035235e+02
2.233333e+01,9.851196e-01,5.880455e-03,8.139410e-03,8.605543e-04,7.079479e+06,1.105336e+02
2.250000e+01,9.848686e-01,6.023880e-03,8.211123e-03,8.964108e-04,7.452634e+06,1.169969e+02
2.266667e+01,9.845459e-01,6.274875e-03,8.211123e-03,9.681236e-04,7.837386e+06,1.244907e+02
2.283333e+01,9.841873e-01,6.418301e-03,8.390405e-03,1.003980e-03,8.254460e+06,1.318708e+02
2.300000e+01,9.837929e-01,6.561727e-03,8.569687e-03,1.075693e-03,8.645052e+06,1.368037e+02
2.316667e+01,9.835060e-01,6.705153e-03,8.677256e-03,1.111549e-03,9.069985e+06,1.437806e+02
2.333333e+01,9.830758e-01,7.063717e-03,8.677256e-03,1.183262e-03,9.497408e+06,1.518761e+02
2.350000e+01,9.827172e-01,7.207143e-03,8.820682e-03,1.254975e-03,9.957330e+06,1.576910e+02
2.366667e+01,9.825021e-01,7.135430e-03,8.999964e-03,1.362544e-03,1.043419e+07,1.661103e+02
2.383333e+01,9.821794e-01,7.350568e-03,8.892395e-03,1.577683e-03,1.089752e+07,1.752070e+02
2.400000e+01,9.818208e-01,7.565707e-03,9.035821e-03,1.577683e-03,1.135400e+07,1.766920e+02
2.416667e+01,9.814622e-01,7.780845e-03,9.179246e-03,1.577683e-03,1.167655e+07,1.840547e+02
2.433333e+01,9.812112e-01,7.816702e-03,9.286816e-03,1.685252e-03,1.209514e+07,1.949312e+02
2.450000e+01,9.807092e-01,7.960128e-03,9.609523e-03,1.721109e-03,1.260800e+07,2.062511e+02
2.466667e+01,9.803148e-01,8.282836e-03,9.609523e-03,1.792822e-03,1.308163e+07,2.198188e+02
2.483333e+01,9.803148e-01,8.067697e-03,9.788806e-03,1.828678e-03,1.361366e+07,2.347173e+02
2.500000e+01,9.796335e-01,8.569687e-03,9.932231e-03,1.864534e-03,1.415467e+07,2.507337e+02
2.516667e+01,9.792033e-01,8.569687e-03,1.029080e-02,1.936247e-03,1.477409e+07,2.677385e+02
2.533333e+01,9.788088e-01,8.713113e-03,1.032665e-02,2.151386e-03,1.552295e+07,2.823425e+02
2.550000e+01,9.785937e-01,8.748969e-03,1.032665e-02,2.330668e-03,1.638035e+07,2.927566e+02
2.566667e+01,9.780559e-01,8.999964e-03,1.036251e-02,2.581663e-03,1.711979e+07,3.052940e+02
2.583333e+01,9.775897e-01,9.286816e-03,1.047008e-02,2.653376e-03,1.779085e+07,3.172642e+02
2.600000e+01,9.771236e-01,9.466098e-03,1.057765e-02,2.832658e-03,1.831798e+07,3.283480e+02
2.616667e+01,9.766933e-01,9.573667e-03,1.072107e-02,3.011940e-03,1.889360e+07,3.404368e+02
2.633333e+01,9.761555e-01,9.752949e-03,1.086450e-02,3.227079e-03,1.937926e+07,3.477544e+02
2.650000e+01,9.758328e-01,9.824662e-03,1.097207e-02,3.370504e-03,1.989540e+07,3.563529e+02
2.666667e+01,9.755101e-01,9.824662e-03,1.111549e-02,3.549787e-03,2.029710e+07,3.673315e+02
2.683333e+01,9.748646e-01,1.021908e-02,1.122306e-02,3.693212e-03,2.076897e+07,3.735690e+02
2.700000e+01,9.742551e-01,1.043422e-02,1.150991e-02,3.800782e-03,2.124211e+07,3.769524e+02
2.716667e+01,9.739682e-01,1.054179e-02,1.154577e-02,3.944207e-03,2.177554e+07,3.863096e+02
2.733333e+01,9.733587e-01,1.079279e-02,1.168920e-02,4.159346e-03,2.235395e+07,3.986964e+02
