Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.633285e-29
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.052668e-28
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.175562e-28
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027438e-27
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.883863e-27
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.160035e-26
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.732873e-26
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.404753e-26
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.495723e-25
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.484432e-25
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.103102e-25
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.881973e-24
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.366739e-24
2.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.012460e-23
2.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,2.346082e-23
2.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.454532e-02,5.433779e-23
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.396225e-01,1.258028e-22
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.283564e-01,2.911624e-22
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.346115e-01,6.736876e-22
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.631801e-01,1.558391e-21
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.200184e-01,3.604144e-21
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.125405e-01,8.333872e-21
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.049986e+00,1.926725e-20
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.343881e+00,4.453780e-20
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.708608e+00,1.029391e-19
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.162129e+00,2.378925e-19
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.726880e+00,5.497107e-19
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.430891e+00,1.270121e-18
4.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.309188e+00,2.934387e-18
5.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,5.405548e+00,6.778814e-18
5.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,6.774686e+00,1.565874e-17
5.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,8.484993e+00,3.616838e-17
5.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.062196e+01,8.353563e-17
5.666667e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.329246e+01,1.929241e-16
5.833333e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.663009e+01,4.455271e-16
6.000000e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,2.080186e+01,1.028809e-15
6.166667e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,2.601653e+01,2.375575e-15
6.333333e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,3.253509e+01,5.484980e-15
6.500000e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,4.068378e+01,1.266346e-14
6.666667e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,5.087038e+01,2.911250e-14
6.833333e+00,9.997490e-01,2.151386e-04,3.585643e-05,0.000000e+00,6.360465e+01,6.672172e-14
7.000000e+00,9.996773e-01,2.868514e-04,3.585643e-05,0.000000e+00,7.952368e+01,1.527747e-13
7.166667e+00,9.995697e-01,3.944207e-04,3.585643e-05,0.000000e+00,9.942377e+01,3.511565e-13
7.333333e+00,9.994980e-01,4.661336e-04,3.585643e-05,0.000000e+00,1.243000e+02,8.091042e-13
7.500000e+00,9.994263e-01,5.378465e-04,3.585643e-05,0.000000e+00,1.553959e+02,1.991322e-12
7.666667e+00,9.993546e-01,6.095593e-04,3.585643e-05,0.000000e+00,1.942651e+02,4.799721e-12
7.833333e+00,9.993546e-01,5.737029e-04,7.171286e-05,0.000000e+00,2.428483e+02,1.141804e-11
8.000000e+00,9.993546e-01,5.737029e-04,7.171286e-05,0.000000e+00,3.035696e+02,2.680227e-11
8.166667e+00,9.991394e-01,7.888415e-04,7.171286e-05,0.000000e+00,3.794592e+02,6.226468e-11
8.333333e+00,9.991036e-01,7.888415e-04,1.075693e-04,0.000000e+00,4.742920e+02,1.434089e-10
8.500000e+00,9.990677e-01,8.246979e-04,1.075693e-04,0.000000e+00,5.927824e+02,3.297725e-10
8.666667e+00,9.990677e-01,8.246979e-04,1.075693e-04,0.000000e+00,7.408127e+02,7.580131e-10
8.833333e+00,9.990319e-01,7.888415e-04,1.792822e-04,0.000000e+00,9.257071e+02,1.741798e-09
9.000000e+00,9.989243e-01,8.605543e-04,2.151386e-04,0.000000e+00,1.156591e+03,3.998861e-09
9.166667e+00,9.988526e-01,8.246979e-04,3.227079e-04,0.000000e+00,1.444830e+03,9.166270e-09
9.333333e+00,9.987809e-01,8.964108e-04,3.227079e-04,0.000000e+00,1.804528e+03,2.101996e-08
9.500000e+00,9.986733e-01,1.003980e-03,3.227079e-04,0.000000e+00,2.253594e+03,4.814417e-08
9.666667e+00,9.986016e-01,1.039836e-03,3.585643e-04,0.000000e+00,2.813357e+03,1.100336e-07
9.833333e+00,9.985299e-01,1.075693e-03,3.944207e-04,0.000000e+00,3.510609e+03,2.508562e-07
1.000000e+01,9.983865e-01,1.147406e-03,4.661336e-04,0.000000e+00,4.378373e+03,5.700090e-07
1.016667e+01,9.983506e-01,1.147406e-03,5.019900e-04,0.000000e+00,5.457205e+03,1.289991e-06
1.033333e+01,9.982430e-01,1.219119e-03,5.378465e-04,0.000000e+00,6.797034e+03,2.904666e-06
1.050000e+01,9.981355e-01,1.326688e-03,5.378465e-04,0.000000e+00,8.457460e+03,6.499738e-06
1.066667e+01,9.979203e-01,1.541827e-03,5.378465e-04,0.000000e+00,1.051091e+04,1.443291e-05
1.083333e+01,9.977410e-01,1.685252e-03,5.737029e-04,0.000000e+00,1.304378e+04,3.174744e-05
1.100000e+01,9.974900e-01,1.900391e-03,6.095593e-04,0.000000e+00,1.615810e+04,6.903155e-05
1.116667e+01,9.973825e-01,1.936247e-03,6.812722e-04,0.000000e+00,1.997252e+04,1.480059e-04
1.133333e+01,9.972391e-01,2.043817e-03,7.171286e-04,0.000000e+00,2.462254e+04,3.119834e-04
1.150000e+01,9.971673e-01,2.115529e-03,7.171286e-04,0.000000e+00,3.025923e+04,6.443529e-04
1.166667e+01,9.970956e-01,2.187242e-03,7.171286e-04,0.000000e+00,3.704602e+04,1.298874e-03
1.183333e+01,9.969522e-01,2.294812e-03,7.529850e-04,0.000000e+00,4.515257e+04,2.544390e-03
1.200000e+01,9.968088e-01,2.366524e-03,8.246979e-04,0.000000e+00,5.474560e+04,4.820656e-03
1.216667e+01,9.966654e-01,2.474094e-03,8.605543e-04,0.000000e+00,6.597627e+04,8.789099e-03
1.233333e+01,9.965936e-01,2.438237e-03,9.681236e-04,0.000000e+00,7.896578e+04,1.534141e-02
1.250000e+01,9.964144e-01,2.545807e-03,1.039836e-03,0.000000e+00,9.378731e+04,2.551014e-02
1.266667e+01,9.961634e-01,2.760945e-03,1.039836e-03,3.585643e-05,1.104462e+05,4.023076e-02
1.283333e+01,9.959124e-01,2.976084e-03,1.075693e-03,3.585643e-05,1.288725e+05,2.236514e-02
1.300000e+01,9.956255e-01,3.227079e-03,1.111549e-03,3.585643e-05,1.177376e+05,1.329548e-02
1.316667e+01,9.955897e-01,3.262935e-03,1.111549e-03,3.585643e-05,1.075939e+05,9.393171e-03
1.333333e+01,9.954462e-01,3.262935e-03,1.254975e-03,3.585643e-05,9.836065e+04,8.831412e-03
1.350000e+01,9.953028e-01,3.227079e-03,1.434257e-03,3.585643e-05,8.996530e+04,1.068115e-02
1.366667e+01,9.950518e-01,3.406361e-03,1.505970e-03,3.585643e-05,8.235274e+04,1.445952e-02
1.383333e+01,9.949442e-01,3.406361e-03,1.613539e-03,3.585643e-05,7.546824e+04,1.992995e-02
1.400000e+01,9.947650e-01,3.478074e-03,1.721109e-03,3.585643e-05,6.925645e+04,2.702718e-02
1.416667e+01,9.945498e-01,3.513930e-03,1.900391e-03,3.585643e-05,6.367557e+04,3.583913e-02
1.433333e+01,9.942630e-01,3.800782e-03,1.900391e-03,3.585643e-05,5.869324e+04,4.661237e-02
1.450000e+01,9.940478e-01,3.944207e-03,1.972104e-03,3.585643e-05,5.428649e+04,5.976664e-02
1.466667e+01,9.938327e-01,4.123490e-03,2.007960e-03,3.585643e-05,5.043918e+04,7.591386e-02
1.483333e+01,9.936534e-01,4.087633e-03,2.223099e-03,3.585643e-05,4.714634e+04,9.588149e-02
1.500000e+01,9.935458e-01,4.159346e-03,2.258955e-03,3.585643e-05,4.441458e+04,1.207425e-01
1.516667e+01,9.934383e-01,4.195202e-03,2.330668e-03,3.585643e-05,4.226382e+04,1.518553e-01
1.533333e+01,9.933307e-01,4.231059e-03,2.402381e-03,3.585643e-05,4.085512e+04,1.909162e-01
1.550000e+01,9.931514e-01,4.195202e-03,2.617519e-03,3.585643e-05,4.013335e+04,2.400290e-01
1.566667e+01,9.928646e-01,4.446197e-03,2.653376e-03,3.585643e-05,4.018179e+04,3.017931e-01
1.583333e+01,9.926494e-01,4.482054e-03,2.832658e-03,3.585643e-05,4.485793e+04,3.794142e-01
1.600000e+01,9.924701e-01,4.589623e-03,2.904371e-03,3.585643e-05,5.109530e+04,4.768387e-01
1.616667e+01,9.923267e-01,4.625480e-03,3.011940e-03,3.585643e-05,5.952176e+04,5.989161e-01
1.633333e+01,9.921833e-01,4.446197e-03,3.334648e-03,3.585643e-05,7.025805e+04,7.515904e-01
1.650000e+01,9.920040e-01,4.517910e-03,3.442217e-03,3.585643e-05,8.380198e+04,9.421235e-01
1.666667e+01,9.918606e-01,4.482054e-03,3.621500e-03,3.585643e-05,1.014431e+05,1.179354e+00
1.683333e+01,9.918247e-01,4.338628e-03,3.800782e-03,3.585643e-05,1.231959e+05,1.473992e+00
1.700000e+01,9.915737e-01,4.446197e-03,3.944207e-03,3.585643e-05,1.499044e+05,1.838941e+00
1.716667e+01,9.913586e-01,4.482054e-03,4.123490e-03,3.585643e-05,1.824246e+05,2.289630e+00
1.733333e+01,9.912510e-01,4.374485e-03,4.338628e-03,3.585643e-05,2.217490e+05,2.844314e+00
1.750000e+01,9.912152e-01,4.159346e-03,4.589623e-03,3.585643e-05,2.689976e+05,3.524263e+00
1.766667e+01,9.910000e-01,4.302772e-03,4.661336e-03,3.585643e-05,3.254958e+05,4.353773e+00
1.783333e+01,9.908208e-01,4.159346e-03,4.984044e-03,3.585643e-05,3.925747e+05,5.359937e+00
1.800000e+01,9.906415e-01,4.195202e-03,5.127470e-03,3.585643e-05,4.716125e+05,6.572205e+00
1.816667e+01,9.905339e-01,4.159346e-03,5.270895e-03,3.585643e-05,5.641907e+05,8.021811e+00
1.833333e+01,9.903188e-01,4.231059e-03,5.414321e-03,3.585643e-05,6.721273e+05,9.741104e+00
1.850000e+01,9.901395e-01,4.195202e-03,5.629460e-03,3.585643e-05,7.971192e+05,1.176269e+01
1.866667e+01,9.899961e-01,4.231059e-03,5.737029e-03,3.585643e-05,9.524303e+05,1.411817e+01
1.883333e+01,9.898168e-01,4.374485e-03,5.772885e-03,3.585643e-05,1.130063e+06,1.683649e+01
1.900000e+01,9.894941e-01,4.625480e-03,5.844598e-03,3.585643e-05,1.332328e+06,1.994221e+01
1.916667e+01,9.894582e-01,4.553767e-03,5.952168e-03,3.585643e-05,1.561583e+06,2.345410e+01
1.933333e+01,9.891355e-01,4.517910e-03,6.274875e-03,7.171286e-05,1.820114e+06,2.738474e+01
1.950000e+01,9.889921e-01,4.517910e-03,6.418301e-03,7.171286e-05,2.110948e+06,3.146426e+01
1.966667e+01,9.888845e-01,4.553767e-03,6.490014e-03,7.171286e-05,2.389925e+06,3.612734e+01
1.983333e+01,9.886335e-01,4.697192e-03,6.597583e-03,7.171286e-05,2.706943e+06,4.130853e+01
2.000000e+01,9.884542e-01,4.768905e-03,6.669296e-03,1.075693e-04,3.062472e+06,4.697433e+01
2.016667e+01,9.882032e-01,4.733049e-03,6.920291e-03,1.434257e-04,3.456804e+06,5.133642e+01
2.033333e+01,9.880240e-01,4.553767e-03,7.207143e-03,2.151386e-04,3.863662e+06,5.679800e+01
2.050000e+01,9.878088e-01,4.625480e-03,7.350568e-03,2.151386e-04,4.265556e+06,6.242967e+01
2.066667e+01,9.874502e-01,4.948187e-03,7.278855e-03,3.227079e-04,4.628819e+06,6.930859e+01
2.083333e+01,9.873068e-01,5.019900e-03,7.350568e-03,3.227079e-04,5.032762e+06,7.613142e+01
2.100000e+01,9.869841e-01,5.127470e-03,7.493994e-03,3.944207e-04,5.353381e+06,8.447673e+01
2.116667e+01,9.865180e-01,5.414321e-03,7.565707e-03,5.019900e-04,5.718791e+06,9.304217e+01
2.133333e+01,9.861953e-01,5.629460e-03,7.637420e-03,5.378465e-04,6.046653e+06,1.027232e+02
2.150000e+01,9.859801e-01,5.701173e-03,7.744989e-03,5.737029e-04,6.317195e+06,1.135271e+02
2.166667e+01,9.857650e-01,5.844598e-03,7.816702e-03,5.737029e-04,6.595287e+06,1.249221e+02
2.183333e+01,9.853706e-01,6.059737e-03,7.960128e-03,6.095593e-04,6.892005e+06,1.386623e+02
2.200000e+01,9.851196e-01,6.274875e-03,7.995984e-03,6.095593e-04,7.251140e+06,1.539149e+02
2.216667e+01,9.847610e-01,6.597583e-03,7.888415e-03,7.529850e-04,7.628257e+06,1.711726e+02
2.233333e+01,9.844025e-01,6.705153e-03,8.031841e-03,8.605543e-04,8.072659e+06,1.881250e+02
2.250000e+01,9.842232e-01,6.525870e-03,8.390405e-03,8.605543e-04,8.402436e+06,2.060750e+02
2.266667e+01,9.840439e-01,6.525870e-03,8.533831e-03,8.964108e-04,8.694997e+06,2.274540e+02
2.283333e+01,9.836853e-01,6.848578e-03,8.426261e-03,1.039836e-03,9.077939e+06,2.513254e+02
2.300000e+01,9.833985e-01,6.884435e-03,8.641400e-03,1.075693e-03,9.511311e+06,2.710692e+02
2.316667e+01,9.830399e-01,7.135430e-03,8.641400e-03,1.183262e-03,9.907865e+06,2.926489e+02
