Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,6.468177e-23
5.000000e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.520656e-22
6.666667e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.424416e-03,3.276180e-22
8.333333e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.570903e-03,6.816858e-22
1.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.565377e-02,1.392948e-21
1.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.293787e-02,2.813724e-21
1.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.175193e-02,5.637717e-21
1.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.250423e-02,1.122829e-20
1.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.570306e-02,2.226147e-20
1.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.198187e-02,4.398392e-20
2.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.213080e-02,8.667273e-20
2.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.171360e-01,1.704434e-19
2.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.482290e-01,3.346439e-19
2.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.869479e-01,6.562036e-19
2.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.352145e-01,1.285464e-18
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.954305e-01,2.516132e-18
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.705973e-01,4.921815e-18
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.644666e-01,9.622488e-18
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.817279e-01,1.880444e-17
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.282435e-01,3.673463e-17
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.113418e-01,7.173960e-17
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.140184e+00,1.400654e-16
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.426224e+00,2.734058e-16
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.783782e+00,5.335848e-16
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.230757e+00,1.041188e-15
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.789532e+00,2.031392e-15
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.488087e+00,3.962829e-15
4.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.361404e+00,7.729835e-15
5.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.453217e+00,1.507627e-14
5.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,6.818204e+00,2.929094e-14
5.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,8.524723e+00,5.646404e-14
5.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.065823e+01,1.080781e-13
5.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.332558e+01,2.073817e-13
5.833333e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.666032e+01,3.993569e-13
6.000000e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,2.082945e+01,7.732588e-13
6.166667e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,2.604172e+01,1.554341e-12
6.333333e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,3.255808e+01,3.120744e-12
6.500000e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,4.070477e+01,6.223759e-12
6.666667e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,5.088955e+01,1.236902e-11
6.833333e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,6.362215e+01,2.432313e-11
7.000000e+00,9.997490e-01,2.151386e-04,3.585643e-05,0.000000e+00,7.953966e+01,4.790410e-11
7.166667e+00,9.997131e-01,2.151386e-04,7.171286e-05,0.000000e+00,9.943836e+01,9.362028e-11
7.333333e+00,9.996056e-01,3.227079e-04,7.171286e-05,0.000000e+00,1.243133e+02,1.825197e-10
7.500000e+00,9.996056e-01,2.868514e-04,1.075693e-04,0.000000e+00,1.554250e+02,3.558530e-10
7.666667e+00,9.995339e-01,3.585643e-04,1.075693e-04,0.000000e+00,1.943127e+02,6.939821e-10
7.833333e+00,9.994263e-01,4.302772e-04,1.434257e-04,0.000000e+00,2.429218e+02,1.349899e-09
8.000000e+00,9.994263e-01,4.302772e-04,1.434257e-04,0.000000e+00,3.036741e+02,2.632105e-09
8.166667e+00,9.993187e-01,5.378465e-04,1.434257e-04,0.000000e+00,3.796987e+02,5.126392e-09
8.333333e+00,9.992470e-01,5.737029e-04,1.792822e-04,0.000000e+00,4.746910e+02,9.988892e-09
8.500000e+00,9.992470e-01,5.737029e-04,1.792822e-04,0.000000e+00,5.933720e+02,1.947610e-08
8.666667e+00,9.992112e-01,6.095593e-04,1.792822e-04,0.000000e+00,7.416400e+02,3.796234e-08
8.833333e+00,9.990319e-01,7.888415e-04,1.792822e-04,0.000000e+00,9.268238e+02,7.394694e-08
9.000000e+00,9.989960e-01,8.246979e-04,1.792822e-04,0.000000e+00,1.158062e+03,1.439482e-07
9.166667e+00,9.988167e-01,1.003980e-03,1.792822e-04,0.000000e+00,1.446724e+03,2.799927e-07
9.333333e+00,9.986733e-01,1.147406e-03,1.792822e-04,0.000000e+00,1.806937e+03,5.440589e-07
9.500000e+00,9.984940e-01,1.290832e-03,2.151386e-04,0.000000e+00,2.256230e+03,1.055674e-06
9.666667e+00,9.984223e-01,1.362544e-03,2.151386e-04,0.000000e+00,2.816309e+03,2.044874e-06
9.833333e+00,9.983506e-01,1.362544e-03,2.868514e-04,0.000000e+00,3.513993e+03,3.952435e-06
1.000000e+01,9.983506e-01,1.362544e-03,2.868514e-04,0.000000e+00,4.382303e+03,7.618985e-06
1.016667e+01,9.982072e-01,1.434257e-03,3.585643e-04,0.000000e+00,5.461793e+03,1.463782e-05
1.033333e+01,9.980638e-01,1.505970e-03,4.302772e-04,0.000000e+00,6.801929e+03,2.800623e-05
1.050000e+01,9.979562e-01,1.613539e-03,4.302772e-04,0.000000e+00,8.462821e+03,5.330974e-05
1.066667e+01,9.978486e-01,1.685252e-03,4.661336e-04,0.000000e+00,1.051693e+04,1.008355e-04
1.083333e+01,9.978128e-01,1.649396e-03,5.378465e-04,0.000000e+00,1.305069e+04,1.892554e-04
1.100000e+01,9.976693e-01,1.685252e-03,6.454158e-04,0.000000e+00,1.616618e+04,3.518498e-04
1.116667e+01,9.975618e-01,1.577683e-03,8.605543e-04,0.000000e+00,1.998245e+04,6.466117e-04
1.133333e+01,9.975618e-01,1.577683e-03,8.605543e-04,0.000000e+00,2.463483e+04,1.171793e-03
1.150000e+01,9.974542e-01,1.685252e-03,8.605543e-04,0.000000e+00,3.027573e+04,2.088112e-03
1.166667e+01,9.974183e-01,1.649396e-03,9.322672e-04,0.000000e+00,3.706759e+04,3.647123e-03
1.183333e+01,9.972749e-01,1.721109e-03,1.003980e-03,0.000000e+00,4.518039e+04,6.221250e-03
1.200000e+01,9.971315e-01,1.864534e-03,1.003980e-03,0.000000e+00,5.478127e+04,1.032346e-02
1.216667e+01,9.968446e-01,2.043817e-03,1.111549e-03,0.000000e+00,6.602311e+04,1.659578e-02
1.233333e+01,9.967371e-01,1.972104e-03,1.290832e-03,0.000000e+00,7.902515e+04,2.573927e-02
1.250000e+01,9.964144e-01,2.258955e-03,1.326688e-03,0.000000e+00,9.386283e+04,3.836643e-02
1.266667e+01,9.963785e-01,2.151386e-03,1.470114e-03,0.000000e+00,1.105433e+05,5.478494e-02
1.283333e+01,9.963068e-01,2.079673e-03,1.613539e-03,0.000000e+00,1.290004e+05,7.477925e-02
1.300000e+01,9.962351e-01,1.972104e-03,1.792822e-03,0.000000e+00,1.490781e+05,9.750137e-02
1.316667e+01,9.961275e-01,2.043817e-03,1.828678e-03,0.000000e+00,1.705458e+05,1.215778e-01
1.333333e+01,9.958048e-01,2.258955e-03,1.936247e-03,0.000000e+00,1.931187e+05,1.454581e-01
1.350000e+01,9.955538e-01,2.474094e-03,1.972104e-03,0.000000e+00,2.164281e+05,1.679038e-01
1.366667e+01,9.954821e-01,2.438237e-03,2.043817e-03,3.585643e-05,2.400944e+05,1.884472e-01
1.383333e+01,9.953028e-01,2.581663e-03,2.079673e-03,3.585643e-05,2.637357e+05,1.300493e-01
1.400000e+01,9.949801e-01,2.796802e-03,2.187242e-03,3.585643e-05,2.413682e+05,1.114579e-01
1.416667e+01,9.948008e-01,2.904371e-03,2.258955e-03,3.585643e-05,2.211085e+05,1.188701e-01
1.433333e+01,9.946215e-01,3.011940e-03,2.330668e-03,3.585643e-05,2.028030e+05,1.457019e-01
1.450000e+01,9.942630e-01,3.334648e-03,2.366524e-03,3.585643e-05,1.863277e+05,1.891930e-01
1.466667e+01,9.941554e-01,3.406361e-03,2.402381e-03,3.585643e-05,1.715818e+05,2.488027e-01
1.483333e+01,9.937610e-01,3.800782e-03,2.402381e-03,3.585643e-05,1.584877e+05,3.255741e-01
1.500000e+01,9.935458e-01,3.872495e-03,2.545807e-03,3.585643e-05,1.469920e+05,4.219753e-01
1.516667e+01,9.932948e-01,4.051777e-03,2.617519e-03,3.585643e-05,1.370683e+05,5.419685e-01
1.533333e+01,9.931873e-01,4.087633e-03,2.689232e-03,3.585643e-05,1.287192e+05,6.911907e-01
1.550000e+01,9.930439e-01,4.159346e-03,2.760945e-03,3.585643e-05,1.219805e+05,8.772058e-01
1.566667e+01,9.927211e-01,4.410341e-03,2.832658e-03,3.585643e-05,1.169254e+05,1.109822e+00
1.583333e+01,9.925419e-01,4.482054e-03,2.940227e-03,3.585643e-05,1.136702e+05,1.401487e+00
1.600000e+01,9.923267e-01,4.517910e-03,3.119509e-03,3.585643e-05,1.123817e+05,1.767772e+00
1.616667e+01,9.921474e-01,4.625480e-03,3.191222e-03,3.585643e-05,1.132808e+05,2.227975e+00
1.633333e+01,9.919682e-01,4.661336e-03,3.334648e-03,3.585643e-05,1.166732e+05,2.805836e+00
1.650000e+01,9.918964e-01,4.625480e-03,3.442217e-03,3.585643e-05,1.229058e+05,3.530396e+00
1.666667e+01,9.917530e-01,4.589623e-03,3.621500e-03,3.585643e-05,1.325923e+05,4.436972e+00
1.683333e+01,9.915020e-01,4.804762e-03,3.657356e-03,3.585643e-05,1.461289e+05,5.568248e+00
1.700000e+01,9.912869e-01,4.804762e-03,3.872495e-03,3.585643e-05,1.641605e+05,6.975454e+00
1.716667e+01,9.911435e-01,4.804762e-03,4.015920e-03,3.585643e-05,1.874377e+05,8.719578e+00
1.733333e+01,9.909642e-01,4.804762e-03,4.159346e-03,7.171286e-05,2.168298e+05,1.087254e+01
1.750000e+01,9.908566e-01,4.733049e-03,4.338628e-03,7.171286e-05,2.533007e+05,1.263931e+01
1.766667e+01,9.906056e-01,4.876475e-03,4.446197e-03,7.171286e-05,2.916170e+05,1.522865e+01
1.783333e+01,9.903905e-01,4.984044e-03,4.553767e-03,7.171286e-05,3.384575e+05,1.862147e+01
1.800000e+01,9.900319e-01,5.199182e-03,4.697192e-03,7.171286e-05,3.949336e+05,2.287227e+01
1.816667e+01,9.899243e-01,5.199182e-03,4.804762e-03,7.171286e-05,4.622439e+05,2.808146e+01
1.833333e+01,9.895658e-01,5.450177e-03,4.912331e-03,7.171286e-05,5.416988e+05,3.438059e+01
1.850000e+01,9.895299e-01,5.378465e-03,4.984044e-03,1.075693e-04,6.346962e+05,4.192395e+01
1.866667e+01,9.894224e-01,5.306752e-03,5.163326e-03,1.075693e-04,7.427693e+05,4.943138e+01
1.883333e+01,9.892072e-01,5.270895e-03,5.378465e-03,1.434257e-04,8.366979e+05,5.918866e+01
1.900000e+01,9.890996e-01,5.270895e-03,5.486034e-03,1.434257e-04,9.488419e+05,7.080075e+01
1.916667e+01,9.888845e-01,5.235039e-03,5.737029e-03,1.434257e-04,1.037849e+06,8.476857e+01
1.933333e+01,9.888128e-01,5.270895e-03,5.772885e-03,1.434257e-04,1.152925e+06,1.010748e+02
1.950000e+01,9.886694e-01,5.306752e-03,5.880455e-03,1.434257e-04,1.296409e+06,1.197346e+02
1.966667e+01,9.884901e-01,5.342608e-03,6.023880e-03,1.434257e-04,1.470869e+06,1.407599e+02
1.983333e+01,9.884542e-01,5.163326e-03,6.239019e-03,1.434257e-04,1.678746e+06,1.641440e+02
2.000000e+01,9.883108e-01,5.163326e-03,6.346588e-03,1.792822e-04,1.922219e+06,1.898605e+02
2.016667e+01,9.880240e-01,5.235039e-03,6.454158e-03,2.868514e-04,2.203178e+06,2.081070e+02
2.033333e+01,9.877730e-01,5.306752e-03,6.597583e-03,3.227079e-04,2.493699e+06,2.232564e+02
2.050000e+01,9.875220e-01,5.521890e-03,6.561727e-03,3.944207e-04,2.753948e+06,2.459088e+02
2.066667e+01,9.873427e-01,5.450177e-03,6.812722e-03,3.944207e-04,3.010378e+06,2.689899e+02
2.083333e+01,9.872351e-01,5.450177e-03,6.848578e-03,4.661336e-04,3.258250e+06,2.993522e+02
2.100000e+01,9.871275e-01,5.450177e-03,6.920291e-03,5.019900e-04,3.552046e+06,3.226294e+02
2.116667e+01,9.869124e-01,5.450177e-03,7.135430e-03,5.019900e-04,3.811780e+06,3.551195e+02
2.133333e+01,9.866256e-01,5.629460e-03,7.242999e-03,5.019900e-04,4.075393e+06,3.960778e+02
2.150000e+01,9.863387e-01,5.808742e-03,7.314712e-03,5.378465e-04,4.390726e+06,4.432880e+02
2.166667e+01,9.859443e-01,6.131450e-03,7.350568e-03,5.737029e-04,4.758793e+06,4.941039e+02
2.183333e+01,9.857650e-01,6.274875e-03,7.386425e-03,5.737029e-04,5.132937e+06,5.428658e+02
2.200000e+01,9.855857e-01,6.346588e-03,7.458138e-03,6.095593e-04,5.523131e+06,5.997481e+02
2.216667e+01,9.854423e-01,6.382445e-03,7.493994e-03,6.812722e-04,5.972265e+06,6.621363e+02
2.233333e+01,9.851554e-01,6.633440e-03,7.458138e-03,7.529850e-04,6.459659e+06,7.253745e+02
2.250000e+01,9.848327e-01,6.920291e-03,7.386425e-03,8.605543e-04,6.911879e+06,7.817243e+02
2.266667e+01,9.843307e-01,7.278855e-03,7.529850e-03,8.605543e-04,7.347295e+06,8.442888e+02
2.283333e+01,9.841515e-01,7.207143e-03,7.709133e-03,9.322672e-04,7.715029e+06,9.173564e+02
2.300000e+01,9.836495e-01,7.350568e-03,7.960128e-03,1.039836e-03,8.153358e+06,9.876975e+02
2.316667e+01,9.832550e-01,7.637420e-03,7.995984e-03,1.111549e-03,8.614933e+06,1.056885e+03
2.333333e+01,9.829323e-01,7.816702e-03,7.995984e-03,1.254975e-03,9.016368e+06,1.108330e+03
2.350000e+01,9.824662e-01,8.175266e-03,8.103553e-03,1.254975e-03,9.419789e+06,1.169917e+03
2.366667e+01,9.823586e-01,8.031841e-03,8.318692e-03,1.290832e-03,9.737668e+06,1.258172e+03
2.383333e+01,9.818925e-01,8.354548e-03,8.426261e-03,1.326688e-03,1.013790e+07,1.344644e+03
2.400000e+01,9.814622e-01,8.426261e-03,8.641400e-03,1.470114e-03,1.061956e+07,1.456176e+03
2.416667e+01,9.809961e-01,8.713113e-03,8.748969e-03,1.541827e-03,1.113375e+07,1.548105e+03
2.433333e+01,9.805658e-01,8.999964e-03,8.856538e-03,1.577683e-03,1.160457e+07,1.658933e+03
2.450000e+01,9.801355e-01,9.035821e-03,9.250959e-03,1.577683e-03,1.210532e+07,1.806624e+03
2.466667e+01,9.798845e-01,8.999964e-03,9.358528e-03,1.756965e-03,1.266609e+07,1.984391e+03
2.483333e+01,9.795977e-01,8.964108e-03,9.645380e-03,1.792822e-03,1.331357e+07,2.108431e+03
2.500000e+01,9.793108e-01,8.856538e-03,9.968088e-03,1.864534e-03,1.386862e+07,2.292872e+03
2.516667e+01,9.789881e-01,8.892395e-03,1.007566e-02,2.043817e-03,1.447187e+07,2.492210e+03
2.533333e+01,9.785579e-01,9.286816e-03,1.007566e-02,2.079673e-03,1.514656e+07,2.713203e+03
2.550000e+01,9.780917e-01,9.645380e-03,1.011151e-02,2.151386e-03,1.575442e+07,2.966560e+03
2.566667e+01,9.778049e-01,9.681236e-03,1.029080e-02,2.223099e-03,1.645640e+07,3.237092e+03
2.583333e+01,9.776614e-01,9.430241e-03,1.054179e-02,2.366524e-03,1.717300e+07,3.542675e+03
2.600000e+01,9.771953e-01,9.573667e-03,1.068522e-02,2.545807e-03,1.792886e+07,3.866887e+03
2.616667e+01,9.770160e-01,9.537811e-03,1.061350e-02,2.832658e-03,1.865031e+07,4.177472e+03
2.633333e+01,9.764423e-01,9.681236e-03,1.097207e-02,2.904371e-03,1.927413e+07,4.470979e+03
2.650000e+01,9.760479e-01,9.609523e-03,1.129478e-02,3.047797e-03,1.971043e+07,4.807400e+03
2.666667e+01,9.755818e-01,9.896375e-03,1.129478e-02,3.227079e-03,2.020536e+07,5.177195e+03
2.683333e+01,9.751156e-01,1.000394e-02,1.143820e-02,3.442217e-03,2.077632e+07,5.577984e+03
2.700000e+01,9.746495e-01,1.025494e-02,1.154577e-02,3.549787e-03,2.125434e+07,5.993144e+03
2.716667e+01,9.743627e-01,1.039836e-02,1.154577e-02,3.693212e-03,2.170158e+07,6.431434e+03
2.733333e+01,9.736455e-01,1.097207e-02,1.154577e-02,3.836638e-03,2.217466e+07,6.865785e+03
