Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.242048e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.426118e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.968076e-22
8.333333e-01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,5.975561e-22
1.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.187846e-21
1.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.647167e-03,2.348362e-21
1.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.870560e-02,4.630048e-21
1.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.059393e-02,9.113771e-21
1.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.482986e-02,1.791976e-20
1.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.205546e-02,3.520611e-20
2.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,8.306874e-02,6.912544e-20
2.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.088631e-01,1.356587e-19
2.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.406764e-01,2.661257e-19
2.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.800529e-01,5.218966e-19
2.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.289200e-01,1.023205e-18
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.896841e-01,2.005573e-18
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.653512e-01,3.930290e-18
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.596773e-01,7.700734e-18
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.773557e-01,1.508585e-17
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.242520e-01,2.954910e-17
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.076978e-01,5.787111e-17
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.136858e+00,1.133255e-16
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.423187e+00,2.218945e-16
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.781009e+00,4.344325e-16
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.228226e+00,8.504686e-16
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.787222e+00,1.664783e-15
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.485978e+00,3.258537e-15
4.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.359479e+00,6.377580e-15
5.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.451459e+00,1.248128e-14
5.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.816599e+00,2.442505e-14
5.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,8.523258e+00,4.784154e-14
5.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.065689e+01,9.378178e-14
5.666667e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.332435e+01,1.839964e-13
5.833333e+00,9.998207e-01,1.075693e-04,7.171286e-05,0.000000e+00,1.665921e+01,3.613369e-13
6.000000e+00,9.997849e-01,1.075693e-04,1.075693e-04,0.000000e+00,2.082844e+01,7.102457e-13
6.166667e+00,9.997849e-01,1.075693e-04,1.075693e-04,0.000000e+00,2.604633e+01,1.414346e-12
6.333333e+00,9.997849e-01,1.075693e-04,1.075693e-04,0.000000e+00,3.257363e+01,2.922256e-12
6.500000e+00,9.997849e-01,1.075693e-04,1.075693e-04,0.000000e+00,4.073314e+01,5.922152e-12
6.666667e+00,9.997131e-01,1.792822e-04,1.075693e-04,0.000000e+00,5.093318e+01,1.187947e-11
6.833333e+00,9.996414e-01,2.509950e-04,1.075693e-04,0.000000e+00,6.368414e+01,2.363851e-11
7.000000e+00,9.995697e-01,3.227079e-04,1.075693e-04,0.000000e+00,7.962397e+01,4.744485e-11
7.166667e+00,9.994980e-01,3.585643e-04,1.434257e-04,0.000000e+00,9.954997e+01,9.259662e-11
7.333333e+00,9.994622e-01,3.585643e-04,1.792822e-04,0.000000e+00,1.244585e+02,1.793482e-10
7.500000e+00,9.994263e-01,3.944207e-04,1.792822e-04,0.000000e+00,1.555983e+02,3.478387e-10
7.666667e+00,9.994263e-01,3.585643e-04,2.151386e-04,0.000000e+00,1.945255e+02,6.783602e-10
7.833333e+00,9.992470e-01,5.378465e-04,2.151386e-04,0.000000e+00,2.431807e+02,1.319430e-09
8.000000e+00,9.992112e-01,5.737029e-04,2.151386e-04,0.000000e+00,3.040021e+02,2.577639e-09
8.166667e+00,9.991753e-01,5.737029e-04,2.509950e-04,0.000000e+00,3.800119e+02,5.020941e-09
8.333333e+00,9.991394e-01,5.737029e-04,2.868514e-04,0.000000e+00,4.749940e+02,9.780213e-09
8.500000e+00,9.991394e-01,5.737029e-04,2.868514e-04,0.000000e+00,5.936744e+02,1.906903e-08
8.666667e+00,9.991036e-01,5.737029e-04,3.227079e-04,0.000000e+00,7.420182e+02,3.716885e-08
8.833333e+00,9.990319e-01,6.454158e-04,3.227079e-04,0.000000e+00,9.272968e+02,7.242153e-08
9.000000e+00,9.988167e-01,8.605543e-04,3.227079e-04,0.000000e+00,1.158662e+03,1.409855e-07
9.166667e+00,9.987809e-01,8.964108e-04,3.227079e-04,0.000000e+00,1.447482e+03,2.742320e-07
9.333333e+00,9.986016e-01,1.039836e-03,3.585643e-04,0.000000e+00,1.807893e+03,5.328674e-07
9.500000e+00,9.984223e-01,1.111549e-03,4.661336e-04,0.000000e+00,2.257432e+03,1.033942e-06
9.666667e+00,9.984223e-01,1.111549e-03,4.661336e-04,0.000000e+00,2.817868e+03,2.002799e-06
9.833333e+00,9.983506e-01,1.183262e-03,4.661336e-04,0.000000e+00,3.516023e+03,3.871072e-06
1.000000e+01,9.981713e-01,1.326688e-03,5.019900e-04,0.000000e+00,4.384915e+03,7.462109e-06
1.016667e+01,9.981355e-01,1.290832e-03,5.737029e-04,0.000000e+00,5.465094e+03,1.433625e-05
1.033333e+01,9.979562e-01,1.470114e-03,5.737029e-04,0.000000e+00,6.806099e+03,2.742876e-05
1.050000e+01,9.978486e-01,1.577683e-03,5.737029e-04,0.000000e+00,8.468073e+03,5.220924e-05
1.066667e+01,9.977410e-01,1.685252e-03,5.737029e-04,0.000000e+00,1.052347e+04,9.875056e-05
1.083333e+01,9.976335e-01,1.721109e-03,6.454158e-04,0.000000e+00,1.305884e+04,1.853335e-04
1.100000e+01,9.974542e-01,1.828678e-03,7.171286e-04,0.000000e+00,1.617633e+04,3.445356e-04
1.116667e+01,9.972391e-01,1.972104e-03,7.888415e-04,0.000000e+00,1.999481e+04,6.331102e-04
1.133333e+01,9.970956e-01,2.043817e-03,8.605543e-04,0.000000e+00,2.464999e+04,1.147169e-03
1.150000e+01,9.970239e-01,2.079673e-03,8.964108e-04,0.000000e+00,3.029320e+04,2.043825e-03
1.166667e+01,9.969163e-01,2.187242e-03,8.964108e-04,0.000000e+00,3.708811e+04,3.568721e-03
1.183333e+01,9.968446e-01,2.151386e-03,1.003980e-03,0.000000e+00,4.520484e+04,6.084855e-03
1.200000e+01,9.967371e-01,2.187242e-03,1.075693e-03,0.000000e+00,5.481063e+04,1.009052e-02
1.216667e+01,9.965936e-01,2.223099e-03,1.183262e-03,0.000000e+00,6.606437e+04,1.620529e-02
1.233333e+01,9.964144e-01,2.330668e-03,1.254975e-03,0.000000e+00,7.908109e+04,2.509623e-02
1.250000e+01,9.961634e-01,2.509950e-03,1.326688e-03,0.000000e+00,9.393393e+04,3.732312e-02
1.266667e+01,9.960558e-01,2.474094e-03,1.470114e-03,0.000000e+00,1.106335e+05,5.311170e-02
1.283333e+01,9.959841e-01,2.474094e-03,1.541827e-03,0.000000e+00,1.291099e+05,7.211633e-02
1.300000e+01,9.956255e-01,2.796802e-03,1.577683e-03,0.000000e+00,1.492121e+05,9.328272e-02
1.316667e+01,9.954104e-01,2.868514e-03,1.721109e-03,0.000000e+00,1.707071e+05,1.149214e-01
1.333333e+01,9.950877e-01,3.155366e-03,1.756965e-03,0.000000e+00,1.932927e+05,1.350115e-01
1.350000e+01,9.948725e-01,3.298792e-03,1.828678e-03,0.000000e+00,2.166219e+05,1.516565e-01
1.366667e+01,9.947650e-01,3.155366e-03,2.079673e-03,0.000000e+00,2.403127e+05,1.635093e-01
1.383333e+01,9.945140e-01,3.334648e-03,2.151386e-03,0.000000e+00,2.639879e+05,1.700256e-01
1.400000e+01,9.943347e-01,3.442217e-03,2.223099e-03,0.000000e+00,2.872923e+05,1.714768e-01
1.416667e+01,9.942271e-01,3.549787e-03,2.223099e-03,0.000000e+00,3.099165e+05,1.687757e-01
1.433333e+01,9.938686e-01,3.800782e-03,2.330668e-03,0.000000e+00,3.316183e+05,1.632124e-01
1.450000e+01,9.937968e-01,3.836638e-03,2.366524e-03,0.000000e+00,3.521832e+05,1.561877e-01
1.466667e+01,9.936176e-01,3.908351e-03,2.474094e-03,0.000000e+00,3.714835e+05,1.490082e-01
1.483333e+01,9.934024e-01,4.123490e-03,2.474094e-03,0.000000e+00,3.894539e+05,1.427651e-01
1.500000e+01,9.931514e-01,4.231059e-03,2.617519e-03,0.000000e+00,4.060971e+05,1.382839e-01
1.516667e+01,9.928646e-01,4.302772e-03,2.832658e-03,0.000000e+00,4.214712e+05,1.361277e-01
1.533333e+01,9.927211e-01,4.338628e-03,2.940227e-03,0.000000e+00,4.356996e+05,1.366345e-01
1.550000e+01,9.924343e-01,4.482054e-03,3.083653e-03,0.000000e+00,4.489966e+05,1.399660e-01
1.566667e+01,9.921833e-01,4.517910e-03,3.298792e-03,0.000000e+00,4.618075e+05,1.461605e-01
1.583333e+01,9.919682e-01,4.697192e-03,3.334648e-03,0.000000e+00,4.742153e+05,1.551799e-01
1.600000e+01,9.918964e-01,4.661336e-03,3.442217e-03,0.000000e+00,4.869758e+05,1.669514e-01
1.616667e+01,9.916813e-01,4.589623e-03,3.729069e-03,0.000000e+00,5.001991e+05,1.814023e-01
1.633333e+01,9.915020e-01,4.697192e-03,3.800782e-03,0.000000e+00,5.144997e+05,1.984917e-01
1.650000e+01,9.913227e-01,4.697192e-03,3.980064e-03,0.000000e+00,5.304355e+05,2.182419e-01
1.666667e+01,9.911076e-01,4.697192e-03,4.195202e-03,0.000000e+00,5.487404e+05,2.407776e-01
1.683333e+01,9.908925e-01,4.697192e-03,4.410341e-03,0.000000e+00,5.703103e+05,2.663771e-01
1.700000e+01,9.905339e-01,4.948187e-03,4.517910e-03,0.000000e+00,5.964948e+05,2.955433e-01
1.716667e+01,9.902829e-01,5.019900e-03,4.697192e-03,0.000000e+00,6.280921e+05,3.290968e-01
1.733333e+01,9.901753e-01,4.948187e-03,4.876475e-03,0.000000e+00,6.664443e+05,3.682845e-01
1.750000e+01,9.901753e-01,4.912331e-03,4.912331e-03,0.000000e+00,7.129009e+05,4.148821e-01
1.766667e+01,9.899961e-01,4.733049e-03,5.270895e-03,0.000000e+00,7.690676e+05,4.712464e-01
1.783333e+01,9.898168e-01,4.804762e-03,5.378465e-03,0.000000e+00,8.365661e+05,5.402537e-01
1.800000e+01,9.895299e-01,4.984044e-03,5.486034e-03,0.000000e+00,9.171489e+05,6.250582e-01
1.816667e+01,9.894224e-01,4.984044e-03,5.593603e-03,0.000000e+00,1.012620e+06,7.286508e-01
1.833333e+01,9.892789e-01,4.840618e-03,5.880455e-03,0.000000e+00,1.124811e+06,8.532763e-01
1.850000e+01,9.890638e-01,4.948187e-03,5.988024e-03,0.000000e+00,1.255534e+06,9.998643e-01
1.866667e+01,9.888487e-01,4.984044e-03,6.167306e-03,0.000000e+00,1.406620e+06,1.167739e+00
1.883333e+01,9.885618e-01,5.235039e-03,6.203163e-03,0.000000e+00,1.579833e+06,1.354815e+00
1.900000e+01,9.884542e-01,5.270895e-03,6.239019e-03,3.585643e-05,1.777226e+06,1.558362e+00
1.916667e+01,9.881315e-01,5.414321e-03,6.418301e-03,3.585643e-05,2.000116e+06,1.700712e+00
1.933333e+01,9.877371e-01,5.737029e-03,6.490014e-03,3.585643e-05,2.208009e+06,1.887950e+00
1.950000e+01,9.874502e-01,5.880455e-03,6.633440e-03,3.585643e-05,2.446372e+06,2.109674e+00
1.966667e+01,9.869841e-01,6.167306e-03,6.776865e-03,7.171286e-05,2.761035e+06,2.360673e+00
1.983333e+01,9.867690e-01,6.131450e-03,6.992004e-03,1.075693e-04,3.107407e+06,2.608389e+00
2.000000e+01,9.865897e-01,6.095593e-03,7.207143e-03,1.075693e-04,3.461872e+06,2.863890e+00
2.016667e+01,9.864463e-01,6.023880e-03,7.422281e-03,1.075693e-04,3.833756e+06,3.140953e+00
2.033333e+01,9.863028e-01,6.023880e-03,7.493994e-03,1.792822e-04,4.238822e+06,3.430464e+00
2.050000e+01,9.859084e-01,6.310732e-03,7.565707e-03,2.151386e-04,4.678241e+06,3.698169e+00
2.066667e+01,9.855499e-01,6.346588e-03,7.852558e-03,2.509950e-04,5.087341e+06,3.946212e+00
2.083333e+01,9.852630e-01,6.239019e-03,8.211123e-03,2.868514e-04,5.492346e+06,4.161477e+00
2.100000e+01,9.850120e-01,6.203163e-03,8.426261e-03,3.585643e-04,5.898814e+06,4.365277e+00
2.116667e+01,9.848327e-01,5.988024e-03,8.748969e-03,4.302772e-04,6.322679e+06,4.481136e+00
2.133333e+01,9.846176e-01,5.988024e-03,8.892395e-03,5.019900e-04,6.714823e+06,4.608375e+00
2.150000e+01,9.843307e-01,6.023880e-03,9.143390e-03,5.019900e-04,7.078815e+06,4.774427e+00
2.166667e+01,9.840439e-01,6.167306e-03,9.250959e-03,5.378465e-04,7.416409e+06,5.103555e+00
2.183333e+01,9.834702e-01,6.454158e-03,9.466098e-03,6.095593e-04,7.833867e+06,5.501858e+00
2.200000e+01,9.833268e-01,6.418301e-03,9.645380e-03,6.095593e-04,8.299678e+06,5.920525e+00
2.216667e+01,9.828965e-01,6.741009e-03,9.645380e-03,7.171286e-04,8.805812e+06,6.440021e+00
2.233333e+01,9.824303e-01,6.992004e-03,9.752949e-03,8.246979e-04,9.389590e+06,6.859988e+00
2.250000e+01,9.821794e-01,7.027860e-03,9.788806e-03,1.003980e-03,9.951195e+06,7.221150e+00
2.266667e+01,9.819642e-01,6.956148e-03,1.003980e-02,1.039836e-03,1.046727e+07,7.472242e+00
2.283333e+01,9.817849e-01,6.956148e-03,1.011151e-02,1.147406e-03,1.084598e+07,7.844737e+00
2.300000e+01,9.815339e-01,7.063717e-03,1.014737e-02,1.254975e-03,1.127229e+07,8.246196e+00
2.316667e+01,9.810319e-01,7.529850e-03,1.011151e-02,1.326688e-03,1.166837e+07,8.673841e+00
2.333333e+01,9.805658e-01,7.637420e-03,1.036251e-02,1.434257e-03,1.202714e+07,9.204398e+00
2.350000e+01,9.803148e-01,7.529850e-03,1.061350e-02,1.541827e-03,1.242749e+07,9.681590e+00
2.366667e+01,9.800280e-01,7.709133e-03,1.064936e-02,1.613539e-03,1.280496e+07,1.019286e+01
2.383333e+01,9.797053e-01,7.924271e-03,1.072107e-02,1.649396e-03,1.319428e+07,1.073199e+01
2.400000e+01,9.791316e-01,8.282836e-03,1.072107e-02,1.864534e-03,1.361193e+07,1.137670e+01
2.416667e+01,9.788447e-01,8.354548e-03,1.090035e-02,1.900391e-03,1.410106e+07,1.183054e+01
2.433333e+01,9.784861e-01,8.497974e-03,1.107964e-02,1.936247e-03,1.442663e+07,1.245821e+01
2.450000e+01,9.781276e-01,8.533831e-03,1.129478e-02,2.043817e-03,1.487645e+07,1.319777e+01
2.466667e+01,9.776973e-01,8.677256e-03,1.136649e-02,2.258955e-03,1.543279e+07,1.387368e+01
2.483333e+01,9.773029e-01,8.856538e-03,1.143820e-02,2.402381e-03,1.602457e+07,1.440105e+01
2.500000e+01,9.769802e-01,8.999964e-03,1.158163e-02,2.438237e-03,1.646915e+07,1.494228e+01
2.516667e+01,9.767292e-01,8.999964e-03,1.161748e-02,2.653376e-03,1.686158e+07,1.577694e+01
2.533333e+01,9.764065e-01,9.215103e-03,1.168920e-02,2.689232e-03,1.739180e+07,1.653094e+01
2.550000e+01,9.761196e-01,9.250959e-03,1.186848e-02,2.760945e-03,1.778109e+07,1.756885e+01
2.566667e+01,9.757252e-01,9.430241e-03,1.201190e-02,2.832658e-03,1.828741e+07,1.878553e+01
2.583333e+01,9.755101e-01,9.573667e-03,1.186848e-02,3.047797e-03,1.891144e+07,2.014049e+01
2.600000e+01,9.749722e-01,9.896375e-03,1.190434e-02,3.227079e-03,1.962780e+07,2.135364e+01
2.616667e+01,9.746854e-01,1.000394e-02,1.197605e-02,3.334648e-03,2.027218e+07,2.240055e+01
2.633333e+01,9.741117e-01,1.047008e-02,1.190434e-02,3.513930e-03,2.088830e+07,2.349068e+01
2.650000e+01,9.736455e-01,1.086450e-02,1.179677e-02,3.693212e-03,2.152891e+07,2.452098e+01
2.666667e+01,9.733945e-01,1.090035e-02,1.183262e-02,3.872495e-03,2.209558e+07,2.555526e+01
2.683333e+01,9.728567e-01,1.097207e-02,1.226290e-02,3.908351e-03,2.261206e+07,2.655788e+01
2.700000e+01,9.725698e-01,1.086450e-02,1.247804e-02,4.087633e-03,2.312057e+07,2.785098e+01
2.716667e+01,9.717810e-01,1.129478e-02,1.262146e-02,4.302772e-03,2.384483e+07,2.906671e+01
2.733333e+01,9.710280e-01,1.161748e-02,1.294417e-02,4.410341e-03,2.450294e+07,3.014380e+01
