Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.204251e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.412405e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.933893e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.901139e-22
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.172522e-21
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.317555e-21
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.568790e-21
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.992609e-21
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.768083e-20
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.473580e-20
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.820083e-20
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.338426e-19
2.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.625609e-19
2.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.149027e-19
2.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.009490e-18
2.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.978684e-18
3.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.008917e-01,3.877591e-18
3.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.182460e-01,7.597473e-18
3.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.569472e-01,1.488356e-17
3.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.230358e-01,2.915288e-17
3.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.240028e-01,5.709517e-17
3.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.691580e-01,1.118062e-16
4.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.270091e+00,2.189199e-16
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.641243e+00,4.286094e-16
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.100631e+00,8.390708e-16
4.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.670736e+00,1.642475e-15
4.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,3.379636e+00,3.214880e-15
4.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,4.262396e+00,6.292150e-15
5.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,5.362830e+00,1.231412e-14
5.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,6.735688e+00,2.409798e-14
5.333333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,8.449391e+00,4.719699e-14
5.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.058946e+01,9.250642e-14
5.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.326279e+01,1.814714e-13
5.833333e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.660300e+01,3.563432e-13
6.000000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.077713e+01,7.003836e-13
6.166667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,2.599395e+01,1.394456e-12
6.333333e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,3.251448e+01,2.882028e-12
6.500000e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,4.066496e+01,5.839907e-12
6.666667e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,5.085320e+01,1.171508e-11
6.833333e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,6.358896e+01,2.331130e-11
7.000000e+00,9.997490e-01,2.151386e-04,3.585643e-05,0.000000e+00,7.950937e+01,4.674753e-11
7.166667e+00,9.996414e-01,2.868514e-04,7.171286e-05,0.000000e+00,9.941071e+01,9.126335e-11
7.333333e+00,9.996056e-01,3.227079e-04,7.171286e-05,0.000000e+00,1.242881e+02,1.768025e-10
7.500000e+00,9.995339e-01,3.585643e-04,1.075693e-04,0.000000e+00,1.554859e+02,3.429484e-10
7.666667e+00,9.994263e-01,4.661336e-04,1.075693e-04,0.000000e+00,1.944734e+02,6.689269e-10
7.833333e+00,9.993187e-01,5.737029e-04,1.075693e-04,0.000000e+00,2.432006e+02,1.301160e-09
8.000000e+00,9.993187e-01,5.737029e-04,1.075693e-04,0.000000e+00,3.040939e+02,2.542186e-09
8.166667e+00,9.992829e-01,5.378465e-04,1.792822e-04,0.000000e+00,3.801877e+02,4.951865e-09
8.333333e+00,9.992829e-01,5.019900e-04,2.151386e-04,0.000000e+00,4.752696e+02,9.645463e-09
8.500000e+00,9.992112e-01,5.737029e-04,2.151386e-04,0.000000e+00,5.940768e+02,1.880650e-08
8.666667e+00,9.992112e-01,5.378465e-04,2.509950e-04,0.000000e+00,7.425002e+02,3.665841e-08
8.833333e+00,9.991394e-01,5.737029e-04,2.868514e-04,0.000000e+00,9.278803e+02,7.143154e-08
9.000000e+00,9.991036e-01,5.737029e-04,3.227079e-04,0.000000e+00,1.159369e+03,1.390677e-07
9.166667e+00,9.989602e-01,7.171286e-04,3.227079e-04,0.000000e+00,1.448378e+03,2.705182e-07
9.333333e+00,9.988526e-01,7.888415e-04,3.585643e-04,0.000000e+00,1.809057e+03,5.256747e-07
9.500000e+00,9.987450e-01,8.964108e-04,3.585643e-04,0.000000e+00,2.258928e+03,1.020010e-06
9.666667e+00,9.987092e-01,9.322672e-04,3.585643e-04,0.000000e+00,2.819882e+03,1.975819e-06
9.833333e+00,9.986375e-01,9.681236e-04,3.944207e-04,0.000000e+00,3.518637e+03,3.818868e-06
1.000000e+01,9.983865e-01,1.183262e-03,4.302772e-04,0.000000e+00,4.388271e+03,7.361242e-06
1.016667e+01,9.983147e-01,1.254975e-03,4.302772e-04,0.000000e+00,5.469376e+03,1.414176e-05
1.033333e+01,9.982072e-01,1.362544e-03,4.302772e-04,0.000000e+00,6.811531e+03,2.705476e-05
1.050000e+01,9.981355e-01,1.434257e-03,4.302772e-04,0.000000e+00,8.474914e+03,5.149263e-05
1.066667e+01,9.979203e-01,1.613539e-03,4.661336e-04,0.000000e+00,1.053207e+04,9.738367e-05
1.083333e+01,9.977410e-01,1.756965e-03,5.019900e-04,0.000000e+00,1.306963e+04,1.827409e-04
1.100000e+01,9.976693e-01,1.792822e-03,5.378465e-04,0.000000e+00,1.618986e+04,3.396524e-04
1.116667e+01,9.976693e-01,1.721109e-03,6.095593e-04,0.000000e+00,2.001173e+04,6.239911e-04
1.133333e+01,9.975976e-01,1.721109e-03,6.812722e-04,0.000000e+00,2.467170e+04,1.130317e-03
1.150000e+01,9.974900e-01,1.756965e-03,7.529850e-04,0.000000e+00,3.032081e+04,2.013073e-03
1.166667e+01,9.972391e-01,1.864534e-03,8.964108e-04,0.000000e+00,3.712314e+04,3.513453e-03
1.183333e+01,9.969881e-01,2.043817e-03,9.681236e-04,0.000000e+00,4.524911e+04,5.987307e-03
1.200000e+01,9.966654e-01,2.330668e-03,1.003980e-03,0.000000e+00,5.486667e+04,9.921982e-03
1.216667e+01,9.964861e-01,2.474094e-03,1.039836e-03,0.000000e+00,6.612890e+04,1.592125e-02
1.233333e+01,9.964144e-01,2.509950e-03,1.075693e-03,0.000000e+00,7.915653e+04,2.463099e-02
1.250000e+01,9.963068e-01,2.617519e-03,1.075693e-03,0.000000e+00,9.402334e+04,3.658513e-02
1.266667e+01,9.961275e-01,2.689232e-03,1.183262e-03,0.000000e+00,1.107400e+05,5.198185e-02
1.283333e+01,9.959841e-01,2.725089e-03,1.290832e-03,0.000000e+00,1.292382e+05,7.045137e-02
1.300000e+01,9.959482e-01,2.689232e-03,1.362544e-03,0.000000e+00,1.493675e+05,9.092551e-02
1.316667e+01,9.958048e-01,2.725089e-03,1.470114e-03,0.000000e+00,1.708974e+05,1.117162e-01
1.333333e+01,9.956972e-01,2.796802e-03,1.505970e-03,0.000000e+00,1.935270e+05,1.308215e-01
1.350000e+01,9.955897e-01,2.868514e-03,1.541827e-03,0.000000e+00,2.169176e+05,1.463760e-01
1.366667e+01,9.954104e-01,3.011940e-03,1.541827e-03,3.585643e-05,2.406844e+05,1.570652e-01
1.383333e+01,9.953028e-01,2.976084e-03,1.685252e-03,3.585643e-05,2.644526e+05,8.717716e-02
1.400000e+01,9.951952e-01,3.083653e-03,1.685252e-03,3.585643e-05,2.422514e+05,5.048340e-02
1.416667e+01,9.949084e-01,3.262935e-03,1.792822e-03,3.585643e-05,2.221885e+05,3.201186e-02
1.433333e+01,9.947291e-01,3.370504e-03,1.864534e-03,3.585643e-05,2.041276e+05,2.370006e-02
1.450000e+01,9.944423e-01,3.442217e-03,2.079673e-03,3.585643e-05,1.879577e+05,2.118216e-02
1.466667e+01,9.941554e-01,3.585643e-03,2.223099e-03,3.585643e-05,1.735903e+05,2.206945e-02
1.483333e+01,9.937610e-01,3.764925e-03,2.438237e-03,3.585643e-05,1.609658e+05,2.503604e-02
1.500000e+01,9.936176e-01,3.836638e-03,2.509950e-03,3.585643e-05,1.500520e+05,2.933432e-02
1.516667e+01,9.934383e-01,3.872495e-03,2.653376e-03,3.585643e-05,1.408604e+05,3.453870e-02
1.533333e+01,9.931514e-01,4.087633e-03,2.725089e-03,3.585643e-05,1.333981e+05,4.041121e-02
1.550000e+01,9.930080e-01,4.159346e-03,2.796802e-03,3.585643e-05,1.277944e+05,4.683278e-02
1.566667e+01,9.929004e-01,4.195202e-03,2.868514e-03,3.585643e-05,1.240909e+05,5.377190e-02
1.583333e+01,9.926136e-01,4.374485e-03,2.976084e-03,3.585643e-05,1.224282e+05,6.127629e-02
1.600000e+01,9.922909e-01,4.553767e-03,3.119509e-03,3.585643e-05,1.230044e+05,6.948020e-02
1.616667e+01,9.920757e-01,4.661336e-03,3.227079e-03,3.585643e-05,1.263488e+05,7.862281e-02
1.633333e+01,9.918964e-01,4.661336e-03,3.406361e-03,3.585643e-05,1.324745e+05,8.907144e-02
1.650000e+01,9.916813e-01,4.697192e-03,3.585643e-03,3.585643e-05,1.416953e+05,1.013348e-01
1.666667e+01,9.915737e-01,4.697192e-03,3.693212e-03,3.585643e-05,1.544119e+05,1.160479e-01
1.683333e+01,9.914662e-01,4.733049e-03,3.764925e-03,3.585643e-05,1.709881e+05,1.338987e-01
1.700000e+01,9.913227e-01,4.840618e-03,3.800782e-03,3.585643e-05,1.918516e+05,1.554784e-01
1.716667e+01,9.910717e-01,4.984044e-03,3.908351e-03,3.585643e-05,2.174592e+05,1.810644e-01
1.733333e+01,9.908925e-01,4.948187e-03,4.123490e-03,3.585643e-05,2.483013e+05,2.104017e-01
1.750000e+01,9.907490e-01,5.019900e-03,4.195202e-03,3.585643e-05,2.849180e+05,2.425927e-01
1.766667e+01,9.906773e-01,4.948187e-03,4.302772e-03,7.171286e-05,3.279190e+05,2.762063e-01
1.783333e+01,9.905339e-01,4.912331e-03,4.482054e-03,7.171286e-05,3.780204e+05,2.363728e-01
1.800000e+01,9.903546e-01,4.948187e-03,4.625480e-03,7.171286e-05,3.963475e+05,2.243871e-01
1.816667e+01,9.901753e-01,4.876475e-03,4.876475e-03,7.171286e-05,4.248649e+05,2.294984e-01
1.833333e+01,9.901395e-01,4.625480e-03,5.163326e-03,7.171286e-05,4.651413e+05,2.467879e-01
1.850000e+01,9.898885e-01,4.661336e-03,5.378465e-03,7.171286e-05,5.225450e+05,2.747853e-01
1.866667e+01,9.897451e-01,4.733049e-03,5.450177e-03,7.171286e-05,5.961088e+05,3.141841e-01
1.883333e+01,9.895299e-01,4.768905e-03,5.629460e-03,7.171286e-05,6.882705e+05,3.670848e-01
1.900000e+01,9.893865e-01,4.768905e-03,5.772885e-03,7.171286e-05,8.016666e+05,4.364530e-01
1.916667e+01,9.890996e-01,4.876475e-03,5.952168e-03,7.171286e-05,9.670750e+05,5.256700e-01
1.933333e+01,9.888845e-01,4.912331e-03,6.059737e-03,1.434257e-04,1.160104e+06,6.381562e-01
1.950000e+01,9.888128e-01,4.733049e-03,6.310732e-03,1.434257e-04,1.383415e+06,7.306890e-01
1.966667e+01,9.887052e-01,4.697192e-03,6.454158e-03,1.434257e-04,1.609847e+06,8.663133e-01
1.983333e+01,9.885618e-01,4.804762e-03,6.490014e-03,1.434257e-04,1.869637e+06,1.036971e+00
2.000000e+01,9.883825e-01,4.768905e-03,6.669296e-03,1.792822e-04,2.162817e+06,1.235970e+00
2.016667e+01,9.881674e-01,4.876475e-03,6.776865e-03,1.792822e-04,2.490255e+06,1.377704e+00
2.033333e+01,9.878805e-01,5.091613e-03,6.848578e-03,1.792822e-04,2.806787e+06,1.571058e+00
2.050000e+01,9.875937e-01,5.342608e-03,6.848578e-03,2.151386e-04,3.160920e+06,1.788710e+00
2.066667e+01,9.874144e-01,5.414321e-03,6.956148e-03,2.151386e-04,3.552827e+06,1.963608e+00
2.083333e+01,9.873068e-01,5.306752e-03,7.171286e-03,2.151386e-04,3.950866e+06,2.138708e+00
2.100000e+01,9.871275e-01,5.127470e-03,7.350568e-03,3.944207e-04,4.385497e+06,2.300269e+00
2.116667e+01,9.869124e-01,5.235039e-03,7.458138e-03,3.944207e-04,4.858954e+06,2.180169e+00
2.133333e+01,9.866614e-01,5.378465e-03,7.565707e-03,3.944207e-04,5.204445e+06,2.159567e+00
2.150000e+01,9.864104e-01,5.450177e-03,7.709133e-03,4.302772e-04,5.597014e+06,2.201349e+00
2.166667e+01,9.863028e-01,5.450177e-03,7.744989e-03,5.019900e-04,6.037446e+06,2.245039e+00
2.183333e+01,9.860160e-01,5.557747e-03,7.888415e-03,5.378465e-04,6.480496e+06,2.224031e+00
2.200000e+01,9.857650e-01,5.772885e-03,7.888415e-03,5.737029e-04,6.887186e+06,2.256945e+00
2.216667e+01,9.854781e-01,5.988024e-03,7.888415e-03,6.454158e-04,7.314772e+06,2.360783e+00
2.233333e+01,9.851554e-01,6.059737e-03,8.067697e-03,7.171286e-04,7.759831e+06,2.484406e+00
2.250000e+01,9.849044e-01,6.203163e-03,8.139410e-03,7.529850e-04,8.187527e+06,2.640549e+00
2.266667e+01,9.845459e-01,6.490014e-03,8.139410e-03,8.246979e-04,8.611465e+06,2.848852e+00
2.283333e+01,9.843666e-01,6.490014e-03,8.246979e-03,8.964108e-04,9.081890e+06,3.061614e+00
2.300000e+01,9.840439e-01,6.705153e-03,8.211123e-03,1.039836e-03,9.570861e+06,3.228930e+00
2.316667e+01,9.836495e-01,6.956148e-03,8.318692e-03,1.075693e-03,1.004743e+07,3.262402e+00
2.333333e+01,9.834343e-01,7.027860e-03,8.354548e-03,1.183262e-03,1.049432e+07,3.412225e+00
2.350000e+01,9.828965e-01,7.350568e-03,8.462118e-03,1.290832e-03,1.099059e+07,3.639375e+00
2.366667e+01,9.825738e-01,7.493994e-03,8.641400e-03,1.290832e-03,1.149519e+07,3.738504e+00
2.383333e+01,9.821076e-01,7.673276e-03,8.748969e-03,1.470114e-03,1.195628e+07,3.994440e+00
2.400000e+01,9.817132e-01,7.816702e-03,8.892395e-03,1.577683e-03,1.253126e+07,4.141093e+00
2.416667e+01,9.813547e-01,7.924271e-03,9.071677e-03,1.649396e-03,1.307187e+07,4.364445e+00
2.433333e+01,9.811395e-01,8.103553e-03,9.035821e-03,1.721109e-03,1.359317e+07,4.578864e+00
2.450000e+01,9.806734e-01,8.354548e-03,9.179246e-03,1.792822e-03,1.414718e+07,4.896607e+00
2.466667e+01,9.802431e-01,8.462118e-03,9.430241e-03,1.864534e-03,1.477696e+07,5.199137e+00
2.483333e+01,9.798487e-01,8.641400e-03,9.430241e-03,2.079673e-03,1.544666e+07,5.520264e+00
2.500000e+01,9.793826e-01,8.820682e-03,9.609523e-03,2.187242e-03,1.612920e+07,5.652055e+00
2.516667e+01,9.790240e-01,8.999964e-03,9.717093e-03,2.258955e-03,1.668358e+07,5.743078e+00
2.533333e+01,9.788088e-01,9.107533e-03,9.788806e-03,2.294812e-03,1.722929e+07,5.919642e+00
2.550000e+01,9.783069e-01,9.466098e-03,9.788806e-03,2.438237e-03,1.780554e+07,6.186574e+00
2.566667e+01,9.778407e-01,9.501954e-03,1.011151e-02,2.545807e-03,1.844974e+07,6.234295e+00
2.583333e+01,9.773746e-01,9.466098e-03,1.047008e-02,2.689232e-03,1.903309e+07,6.286253e+00
2.600000e+01,9.770877e-01,9.430241e-03,1.068522e-02,2.796802e-03,1.959919e+07,6.282554e+00
2.616667e+01,9.767292e-01,9.681236e-03,1.068522e-02,2.904371e-03,2.010678e+07,6.261686e+00
2.633333e+01,9.763706e-01,9.681236e-03,1.086450e-02,3.083653e-03,2.062155e+07,6.269466e+00
2.650000e+01,9.759045e-01,9.788806e-03,1.104378e-02,3.262935e-03,2.113765e+07,6.142377e+00
2.666667e+01,9.754383e-01,9.968088e-03,1.118721e-02,3.406361e-03,2.158387e+07,6.021552e+00
2.683333e+01,9.748646e-01,1.007566e-02,1.147406e-02,3.585643e-03,2.194815e+07,5.942490e+00
2.700000e+01,9.745061e-01,1.003980e-02,1.176091e-02,3.693212e-03,2.228591e+07,5.944919e+00
2.716667e+01,9.742192e-01,1.014737e-02,1.179677e-02,3.836638e-03,2.263167e+07,6.204410e+00
2.733333e+01,9.738248e-01,1.032665e-02,1.201190e-02,3.836638e-03,2.305809e+07,6.513134e+00
