Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.242048e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.426261e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.968692e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.977409e-22
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.188320e-21
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.349474e-21
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.632520e-21
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.119071e-21
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.793085e-20
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.522892e-20
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.917177e-20
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.357520e-19
2.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.663122e-19
2.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.222676e-19
2.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.023940e-18
2.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.007024e-18
3.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.933147e-18
3.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.706346e-18
3.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.509685e-17
3.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.957062e-17
3.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.791315e-17
3.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.134075e-16
4.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.220542e-16
4.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.347430e-16
4.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.510718e-16
4.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.665953e-15
4.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.260805e-15
4.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.381969e-15
5.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.248977e-14
5.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.444143e-14
5.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.786953e-14
5.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.382667e-14
5.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.840675e-13
5.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.614513e-13
6.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.104359e-13
6.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.414672e-12
6.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.922832e-12
6.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.922541e-12
6.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.188007e-11
6.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.363923e-11
7.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.744632e-11
7.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.260018e-11
7.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.793555e-10
7.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.478524e-10
7.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.783841e-10
7.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.319471e-09
8.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.577709e-09
8.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.021062e-09
8.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.780424e-09
8.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.906941e-08
8.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.716951e-08
8.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.242272e-08
9.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.409876e-07
9.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.742357e-07
9.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.328742e-07
9.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.033955e-06
9.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.002822e-06
9.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.871114e-06
1.000000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.462188e-06
1.016667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.433640e-05
1.033333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.742905e-05
1.050000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.220978e-05
1.066667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.875158e-05
1.083333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.853354e-04
1.100000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.445392e-04
1.116667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.331168e-04
1.133333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.147181e-03
1.150000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.043848e-03
1.166667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.568762e-03
1.183333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.084927e-03
1.200000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.009064e-02
1.216667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.620551e-02
1.233333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.509661e-02
1.250000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.732376e-02
1.266667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.311277e-02
1.283333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.211811e-02
1.300000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.328567e-02
1.316667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.149263e-01
1.333333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.350195e-01
1.350000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.516696e-01
1.366667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.635307e-01
1.383333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.700599e-01
1.400000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.715309e-01
1.416667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.688598e-01
1.433333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.633407e-01
1.450000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.563798e-01
1.466667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.492901e-01
1.483333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.431710e-01
1.500000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.388577e-01
1.516667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.369247e-01
1.533333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.377228e-01
1.550000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.414287e-01
1.566667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.480962e-01
1.583333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.577027e-01
1.600000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.701883e-01
1.616667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.854852e-01
1.633333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.035399e-01
1.650000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.243278e-01
1.666667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.478637e-01
1.683333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.742073e-01
1.700000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.034675e-01
1.716667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.358033e-01
1.733333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.714249e-01
1.750000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.105938e-01
1.766667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.536233e-01
1.783333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.008787e-01
1.800000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.527782e-01
1.816667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.097947e-01
1.833333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.724578e-01
1.850000e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.413571e-01
1.866667e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.171456e-01
1.883333e+01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.005445e-01
1.900000e+01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,9.923493e-01
1.916667e+01,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.093436e+00
1.933333e+01,9.996056e-01,3.585643e-04,3.585643e-05,0.000000e+00,2.431995e+04,1.204767e+00
1.950000e+01,9.992112e-01,7.529850e-04,3.585643e-05,0.000000e+00,4.576354e+04,1.327404e+00
1.966667e+01,9.988526e-01,1.075693e-03,7.171286e-05,0.000000e+00,6.460300e+04,1.462512e+00
1.983333e+01,9.984223e-01,1.505970e-03,7.171286e-05,0.000000e+00,8.108647e+04,1.611375e+00
2.000000e+01,9.982430e-01,1.649396e-03,1.075693e-04,0.000000e+00,9.544008e+04,1.775403e+00
2.016667e+01,9.981355e-01,1.721109e-03,1.434257e-04,0.000000e+00,1.078699e+05,1.956152e+00
2.033333e+01,9.978845e-01,1.900391e-03,2.151386e-04,0.000000e+00,1.185634e+05,2.155330e+00
2.050000e+01,9.975259e-01,2.258955e-03,2.151386e-04,0.000000e+00,1.276916e+05,2.374822e+00
2.066667e+01,9.973466e-01,2.438237e-03,2.151386e-04,0.000000e+00,1.354099e+05,2.616699e+00
2.083333e+01,9.970239e-01,2.725089e-03,2.509950e-04,0.000000e+00,1.418597e+05,2.883247e+00
2.100000e+01,9.967729e-01,2.832658e-03,3.944207e-04,0.000000e+00,1.471697e+05,3.176980e+00
2.116667e+01,9.964144e-01,3.119509e-03,4.661336e-04,0.000000e+00,1.514570e+05,3.500670e+00
2.133333e+01,9.962351e-01,3.298792e-03,4.661336e-04,0.000000e+00,1.548278e+05,3.857370e+00
2.150000e+01,9.959482e-01,3.549787e-03,4.661336e-04,3.585643e-05,1.573789e+05,4.250445e+00
2.166667e+01,9.957331e-01,3.657356e-03,5.737029e-04,3.585643e-05,1.591977e+05,4.683573e+00
2.183333e+01,9.955179e-01,3.836638e-03,6.095593e-04,3.585643e-05,1.453358e+05,5.160883e+00
2.200000e+01,9.951594e-01,4.123490e-03,6.812722e-04,3.585643e-05,1.326811e+05,5.686867e+00
2.216667e+01,9.949442e-01,4.231059e-03,7.888415e-04,3.585643e-05,1.211284e+05,6.266481e+00
2.233333e+01,9.948008e-01,4.087633e-03,1.075693e-03,3.585643e-05,1.105819e+05,6.905187e+00
2.250000e+01,9.944423e-01,4.338628e-03,1.183262e-03,3.585643e-05,1.009542e+05,7.609007e+00
2.266667e+01,9.941195e-01,4.374485e-03,1.470114e-03,3.585643e-05,9.216600e+04,8.384574e+00
2.283333e+01,9.939044e-01,4.482054e-03,1.577683e-03,3.585643e-05,8.414377e+04,9.239201e+00
2.300000e+01,9.935817e-01,4.517910e-03,1.864534e-03,3.585643e-05,7.682118e+04,1.018095e+01
2.316667e+01,9.934024e-01,4.482054e-03,2.079673e-03,3.585643e-05,7.013735e+04,1.121868e+01
2.333333e+01,9.931873e-01,4.446197e-03,2.330668e-03,3.585643e-05,6.403766e+04,1.236220e+01
2.350000e+01,9.929363e-01,4.589623e-03,2.438237e-03,3.585643e-05,5.847156e+04,1.362227e+01
2.366667e+01,9.927570e-01,4.697192e-03,2.509950e-03,3.585643e-05,5.339416e+04,1.501077e+01
2.383333e+01,9.925419e-01,4.733049e-03,2.689232e-03,3.585643e-05,4.876391e+04,1.654079e+01
2.400000e+01,9.923267e-01,4.840618e-03,2.796802e-03,3.585643e-05,4.454173e+04,1.822675e+01
2.416667e+01,9.921833e-01,4.661336e-03,3.119509e-03,3.585643e-05,4.069345e+04,2.008453e+01
2.433333e+01,9.920757e-01,4.553767e-03,3.334648e-03,3.585643e-05,3.718904e+04,2.213163e+01
2.450000e+01,9.918247e-01,4.697192e-03,3.442217e-03,3.585643e-05,3.400285e+04,2.438734e+01
2.466667e+01,9.917530e-01,4.661336e-03,3.549787e-03,3.585643e-05,3.110975e+04,2.687289e+01
2.483333e+01,9.915737e-01,4.661336e-03,3.729069e-03,3.585643e-05,2.849000e+04,2.961168e+01
2.500000e+01,9.913945e-01,4.733049e-03,3.836638e-03,3.585643e-05,2.612091e+04,3.262950e+01
2.516667e+01,9.911435e-01,4.768905e-03,4.051777e-03,3.585643e-05,2.398915e+04,3.595473e+01
2.533333e+01,9.910000e-01,4.697192e-03,4.266915e-03,3.585643e-05,2.208234e+04,3.961865e+01
2.550000e+01,9.908566e-01,4.697192e-03,4.410341e-03,3.585643e-05,2.039388e+04,4.365569e+01
2.566667e+01,9.906056e-01,4.804762e-03,4.553767e-03,3.585643e-05,1.891185e+04,4.810379e+01
2.583333e+01,9.904622e-01,4.804762e-03,4.697192e-03,3.585643e-05,1.763489e+04,5.300471e+01
2.600000e+01,9.902829e-01,4.804762e-03,4.876475e-03,3.585643e-05,1.656291e+04,5.840442e+01
2.616667e+01,9.901395e-01,4.697192e-03,5.127470e-03,3.585643e-05,1.570252e+04,6.435353e+01
2.633333e+01,9.899961e-01,4.768905e-03,5.199182e-03,3.585643e-05,1.506274e+04,7.090774e+01
2.650000e+01,9.898526e-01,4.733049e-03,5.378465e-03,3.585643e-05,1.467725e+04,7.812834e+01
2.666667e+01,9.897451e-01,4.625480e-03,5.593603e-03,3.585643e-05,1.456005e+04,8.608273e+01
2.683333e+01,9.895658e-01,4.625480e-03,5.772885e-03,3.585643e-05,1.474701e+04,9.484503e+01
2.700000e+01,9.894224e-01,4.733049e-03,5.808742e-03,3.585643e-05,1.528163e+04,1.044967e+02
2.716667e+01,9.893148e-01,4.697192e-03,5.952168e-03,3.585643e-05,1.622550e+04,1.151272e+02
2.733333e+01,9.892789e-01,4.625480e-03,6.059737e-03,3.585643e-05,1.765546e+04,1.268348e+02
