Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.242048e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.426118e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.968076e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.975561e-22
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.187846e-21
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.348362e-21
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.630048e-21
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.113771e-21
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.791976e-20
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.520611e-20
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.912544e-20
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.356587e-19
2.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.661257e-19
2.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.218966e-19
2.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.023205e-18
2.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.005573e-18
3.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.930290e-18
3.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.700734e-18
3.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.508585e-17
3.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.954910e-17
3.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.787111e-17
3.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.133255e-16
4.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.218945e-16
4.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.344325e-16
4.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.504686e-16
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,1.664783e-15
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,3.258537e-15
4.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.177046e+00,6.377580e-15
5.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.546140e+00,1.248128e-14
5.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,4.164264e+00,2.442505e-14
5.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,6.101878e+00,4.784154e-14
5.500000e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,8.446359e+00,9.378178e-14
5.666667e+00,9.999283e-01,3.585643e-05,3.585643e-05,0.000000e+00,1.130630e+01,1.839964e-13
5.833333e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,1.481688e+01,3.613369e-13
6.000000e+00,9.998207e-01,1.075693e-04,7.171286e-05,0.000000e+00,1.914653e+01,7.102457e-13
6.166667e+00,9.997849e-01,1.434257e-04,7.171286e-05,0.000000e+00,2.450534e+01,1.414346e-12
6.333333e+00,9.997490e-01,1.792822e-04,7.171286e-05,0.000000e+00,3.116102e+01,2.922256e-12
6.500000e+00,9.997490e-01,1.792822e-04,7.171286e-05,0.000000e+00,3.943627e+01,5.922152e-12
6.666667e+00,9.997131e-01,2.151386e-04,7.171286e-05,0.000000e+00,4.974015e+01,1.187947e-11
6.833333e+00,9.997131e-01,2.151386e-04,7.171286e-05,0.000000e+00,6.258365e+01,2.363851e-11
7.000000e+00,9.996056e-01,3.227079e-04,7.171286e-05,0.000000e+00,7.860511e+01,4.744485e-11
7.166667e+00,9.995697e-01,3.227079e-04,1.075693e-04,0.000000e+00,9.860208e+01,9.259661e-11
7.333333e+00,9.995697e-01,3.227079e-04,1.075693e-04,0.000000e+00,1.235710e+02,1.793482e-10
7.500000e+00,9.995339e-01,3.227079e-04,1.434257e-04,0.000000e+00,1.547603e+02,3.478387e-10
7.666667e+00,9.994980e-01,2.868514e-04,2.151386e-04,0.000000e+00,1.937223e+02,6.783602e-10
7.833333e+00,9.994622e-01,2.868514e-04,2.509950e-04,0.000000e+00,2.424082e+02,1.319430e-09
8.000000e+00,9.994622e-01,2.868514e-04,2.509950e-04,0.000000e+00,3.032871e+02,2.577639e-09
8.166667e+00,9.993546e-01,3.944207e-04,2.509950e-04,0.000000e+00,3.793882e+02,5.020941e-09
8.333333e+00,9.993546e-01,3.585643e-04,2.868514e-04,0.000000e+00,4.744609e+02,9.780213e-09
8.500000e+00,9.993546e-01,3.227079e-04,3.227079e-04,0.000000e+00,5.932287e+02,1.906903e-08
8.666667e+00,9.992470e-01,4.302772e-04,3.227079e-04,0.000000e+00,7.416334e+02,3.716885e-08
8.833333e+00,9.991753e-01,5.019900e-04,3.227079e-04,0.000000e+00,9.269776e+02,7.242153e-08
9.000000e+00,9.990319e-01,6.095593e-04,3.585643e-04,0.000000e+00,1.158402e+03,1.409855e-07
9.166667e+00,9.989602e-01,6.454158e-04,3.944207e-04,0.000000e+00,1.447284e+03,2.742320e-07
9.333333e+00,9.988526e-01,7.529850e-04,3.944207e-04,0.000000e+00,1.807765e+03,5.328674e-07
9.500000e+00,9.986733e-01,8.605543e-04,4.661336e-04,0.000000e+00,2.257384e+03,1.033942e-06
9.666667e+00,9.984582e-01,1.075693e-03,4.661336e-04,0.000000e+00,2.817860e+03,2.002799e-06
9.833333e+00,9.983506e-01,1.147406e-03,5.019900e-04,0.000000e+00,3.516110e+03,3.871072e-06
1.000000e+01,9.982072e-01,1.254975e-03,5.378465e-04,0.000000e+00,4.385111e+03,7.462109e-06
1.016667e+01,9.980638e-01,1.398401e-03,5.378465e-04,0.000000e+00,5.465434e+03,1.433625e-05
1.033333e+01,9.980638e-01,1.398401e-03,5.378465e-04,0.000000e+00,6.806606e+03,2.742876e-05
1.050000e+01,9.979920e-01,1.434257e-03,5.737029e-04,0.000000e+00,8.468761e+03,5.220924e-05
1.066667e+01,9.978845e-01,1.505970e-03,6.095593e-04,0.000000e+00,1.052438e+04,9.875056e-05
1.083333e+01,9.977410e-01,1.649396e-03,6.095593e-04,0.000000e+00,1.306002e+04,1.853335e-04
1.100000e+01,9.976693e-01,1.685252e-03,6.454158e-04,0.000000e+00,1.617786e+04,3.445356e-04
1.116667e+01,9.974542e-01,1.792822e-03,7.529850e-04,0.000000e+00,1.999674e+04,6.331102e-04
1.133333e+01,9.973466e-01,1.864534e-03,7.888415e-04,0.000000e+00,2.465239e+04,1.147169e-03
1.150000e+01,9.972391e-01,1.900391e-03,8.605543e-04,0.000000e+00,3.029644e+04,2.043825e-03
1.166667e+01,9.971673e-01,1.900391e-03,8.964108e-04,3.585643e-05,3.709235e+04,3.568721e-03
1.183333e+01,9.971315e-01,1.864534e-03,9.681236e-04,3.585643e-05,4.521080e+04,1.999998e-03
1.200000e+01,9.970598e-01,1.900391e-03,1.003980e-03,3.585643e-05,4.131465e+04,1.130309e-03
1.216667e+01,9.969163e-01,2.043817e-03,1.003980e-03,3.585643e-05,3.776811e+04,6.557506e-04
1.233333e+01,9.967371e-01,2.187242e-03,1.039836e-03,3.585643e-05,3.454318e+04,4.081066e-04
1.250000e+01,9.965578e-01,2.294812e-03,1.111549e-03,3.585643e-05,3.161501e+04,2.937350e-04
1.266667e+01,9.963068e-01,2.545807e-03,1.111549e-03,3.585643e-05,2.896188e+04,2.598836e-04
1.283333e+01,9.960558e-01,2.760945e-03,1.147406e-03,3.585643e-05,2.656476e+04,2.763158e-04
1.300000e+01,9.958765e-01,2.940227e-03,1.147406e-03,3.585643e-05,2.440757e+04,3.253223e-04
1.316667e+01,9.956614e-01,3.083653e-03,1.219119e-03,3.585643e-05,2.247871e+04,3.962859e-04
1.333333e+01,9.955538e-01,3.155366e-03,1.254975e-03,3.585643e-05,2.076694e+04,4.827137e-04
1.350000e+01,9.952670e-01,3.191222e-03,1.505970e-03,3.585643e-05,1.926601e+04,5.806051e-04
1.366667e+01,9.951594e-01,3.191222e-03,1.613539e-03,3.585643e-05,1.797267e+04,6.875400e-04
1.383333e+01,9.949801e-01,3.298792e-03,1.685252e-03,3.585643e-05,1.688839e+04,8.021600e-04
1.400000e+01,9.949084e-01,3.334648e-03,1.721109e-03,3.585643e-05,1.601903e+04,9.238631e-04
1.416667e+01,9.948008e-01,3.442217e-03,1.721109e-03,3.585643e-05,1.537745e+04,1.052615e-03
1.433333e+01,9.945498e-01,3.549787e-03,1.864534e-03,3.585643e-05,1.497983e+04,1.188830e-03
1.450000e+01,9.944064e-01,3.478074e-03,2.079673e-03,3.585643e-05,1.485170e+04,1.333287e-03
1.466667e+01,9.942630e-01,3.549787e-03,2.151386e-03,3.585643e-05,1.502969e+04,1.487085e-03
1.483333e+01,9.941195e-01,3.513930e-03,2.330668e-03,3.585643e-05,1.556034e+04,1.651620e-03
1.500000e+01,9.938686e-01,3.621500e-03,2.474094e-03,3.585643e-05,1.650283e+04,1.828599e-03
1.516667e+01,9.936893e-01,3.657356e-03,2.617519e-03,3.585643e-05,1.793466e+04,2.020106e-03
1.533333e+01,9.935817e-01,3.693212e-03,2.689232e-03,3.585643e-05,1.996111e+04,2.228766e-03
1.550000e+01,9.935100e-01,3.693212e-03,2.760945e-03,3.585643e-05,2.270581e+04,2.458068e-03
1.566667e+01,9.933666e-01,3.729069e-03,2.868514e-03,3.585643e-05,2.632055e+04,2.713001e-03
1.583333e+01,9.932590e-01,3.764925e-03,2.940227e-03,3.585643e-05,3.112348e+04,3.001248e-03
1.600000e+01,9.931873e-01,3.693212e-03,3.083653e-03,3.585643e-05,3.724604e+04,3.335389e-03
1.616667e+01,9.931514e-01,3.729069e-03,3.083653e-03,3.585643e-05,4.537662e+04,3.736931e-03
1.633333e+01,9.930080e-01,3.657356e-03,3.298792e-03,3.585643e-05,5.557239e+04,4.243501e-03
1.650000e+01,9.927929e-01,3.836638e-03,3.334648e-03,3.585643e-05,6.828200e+04,4.921395e-03
1.666667e+01,9.926494e-01,3.872495e-03,3.442217e-03,3.585643e-05,8.467162e+04,5.886916e-03
1.683333e+01,9.925060e-01,3.908351e-03,3.549787e-03,3.585643e-05,1.049003e+05,7.341264e-03
1.700000e+01,9.923984e-01,3.872495e-03,3.693212e-03,3.585643e-05,1.298306e+05,9.625004e-03
1.716667e+01,9.921833e-01,3.908351e-03,3.872495e-03,3.585643e-05,1.603837e+05,1.329799e-02
1.733333e+01,9.920757e-01,3.908351e-03,3.980064e-03,3.585643e-05,1.976637e+05,1.924709e-02
1.750000e+01,9.919323e-01,3.944207e-03,4.087633e-03,3.585643e-05,2.429234e+05,2.881387e-02
1.766667e+01,9.918606e-01,3.980064e-03,4.123490e-03,3.585643e-05,2.975531e+05,4.391660e-02
1.783333e+01,9.917172e-01,3.908351e-03,4.338628e-03,3.585643e-05,3.631382e+05,6.711390e-02
1.800000e+01,9.915379e-01,4.015920e-03,4.410341e-03,3.585643e-05,4.412001e+05,1.015358e-01
1.816667e+01,9.913586e-01,4.123490e-03,4.482054e-03,3.585643e-05,5.333910e+05,1.506019e-01
1.833333e+01,9.911793e-01,4.266915e-03,4.517910e-03,3.585643e-05,6.413145e+05,2.174946e-01
1.850000e+01,9.910717e-01,4.338628e-03,4.517910e-03,7.171286e-05,7.665140e+05,3.044469e-01
1.866667e+01,9.908925e-01,4.338628e-03,4.697192e-03,7.171286e-05,9.104084e+05,3.887028e-01
1.883333e+01,9.907490e-01,4.374485e-03,4.804762e-03,7.171286e-05,1.049526e+06,4.934249e-01
1.900000e+01,9.906773e-01,4.410341e-03,4.804762e-03,1.075693e-04,1.208587e+06,6.131886e-01
1.916667e+01,9.904263e-01,4.482054e-03,4.948187e-03,1.434257e-04,1.389679e+06,6.729682e-01
1.933333e+01,9.900319e-01,4.768905e-03,5.055757e-03,1.434257e-04,1.552782e+06,6.890458e-01
1.950000e+01,9.897809e-01,4.876475e-03,5.199182e-03,1.434257e-04,1.694234e+06,7.620711e-01
1.966667e+01,9.895658e-01,4.840618e-03,5.414321e-03,1.792822e-04,1.863271e+06,8.710008e-01
1.983333e+01,9.892789e-01,4.984044e-03,5.557747e-03,1.792822e-04,2.060931e+06,9.315539e-01
2.000000e+01,9.892431e-01,4.804762e-03,5.772885e-03,1.792822e-04,2.241083e+06,1.043812e+00
2.016667e+01,9.889921e-01,5.019900e-03,5.808742e-03,1.792822e-04,2.454477e+06,1.186318e+00
2.033333e+01,9.887052e-01,5.019900e-03,6.095593e-03,1.792822e-04,2.702036e+06,1.345397e+00
2.050000e+01,9.884184e-01,5.235039e-03,6.167306e-03,1.792822e-04,2.984398e+06,1.512734e+00
2.066667e+01,9.881674e-01,5.342608e-03,6.310732e-03,1.792822e-04,3.302460e+06,1.684410e+00
2.083333e+01,9.879881e-01,5.306752e-03,6.454158e-03,2.509950e-04,3.661479e+06,1.860437e+00
2.100000e+01,9.877730e-01,5.414321e-03,6.525870e-03,2.868514e-04,4.059038e+06,2.034803e+00
2.116667e+01,9.874502e-01,5.593603e-03,6.561727e-03,3.944207e-04,4.476730e+06,2.169519e+00
2.133333e+01,9.870917e-01,5.701173e-03,6.669296e-03,5.378465e-04,4.900335e+06,2.198770e+00
2.150000e+01,9.868407e-01,5.701173e-03,6.920291e-03,5.378465e-04,5.264392e+06,2.076372e+00
2.166667e+01,9.866614e-01,5.737029e-03,6.992004e-03,6.095593e-04,5.497477e+06,2.165234e+00
2.183333e+01,9.862311e-01,6.023880e-03,7.063717e-03,6.812722e-04,5.793937e+06,2.349887e+00
2.200000e+01,9.859801e-01,6.131450e-03,7.171286e-03,7.171286e-04,6.082683e+06,2.630825e+00
2.216667e+01,9.857650e-01,6.203163e-03,7.278855e-03,7.529850e-04,6.434970e+06,2.982505e+00
2.233333e+01,9.854423e-01,6.346588e-03,7.422281e-03,7.888415e-04,6.811224e+06,3.396241e+00
2.250000e+01,9.852272e-01,6.418301e-03,7.458138e-03,8.964108e-04,7.232143e+06,3.807203e+00
2.266667e+01,9.849044e-01,6.561727e-03,7.565707e-03,9.681236e-04,7.681905e+06,4.148859e+00
2.283333e+01,9.846534e-01,6.490014e-03,7.852558e-03,1.003980e-03,8.142232e+06,4.484250e+00
2.300000e+01,9.842232e-01,6.597583e-03,8.067697e-03,1.111549e-03,8.587551e+06,4.816605e+00
2.316667e+01,9.839722e-01,6.669296e-03,8.103553e-03,1.254975e-03,9.098192e+06,4.991050e+00
2.333333e+01,9.837212e-01,6.669296e-03,8.282836e-03,1.326688e-03,9.607550e+06,5.036843e+00
2.350000e+01,9.831116e-01,6.992004e-03,8.533831e-03,1.362544e-03,1.003134e+07,5.093688e+00
2.366667e+01,9.827889e-01,7.027860e-03,8.713113e-03,1.470114e-03,1.049998e+07,5.235712e+00
2.383333e+01,9.824662e-01,7.099573e-03,8.892395e-03,1.541827e-03,1.100283e+07,5.367585e+00
2.400000e+01,9.818925e-01,7.386425e-03,9.107533e-03,1.613539e-03,1.155216e+07,5.513006e+00
2.416667e+01,9.814264e-01,7.601563e-03,9.215103e-03,1.756965e-03,1.208510e+07,5.743878e+00
2.433333e+01,9.811754e-01,7.278855e-03,9.717093e-03,1.828678e-03,1.265594e+07,5.800063e+00
2.450000e+01,9.808885e-01,7.207143e-03,1.003980e-02,1.864534e-03,1.315015e+07,5.975818e+00
2.466667e+01,9.803148e-01,7.529850e-03,1.014737e-02,2.007960e-03,1.365028e+07,6.249806e+00
2.483333e+01,9.798845e-01,7.780845e-03,1.029080e-02,2.043817e-03,1.420405e+07,6.494489e+00
2.500000e+01,9.794901e-01,7.852558e-03,1.061350e-02,2.043817e-03,1.473855e+07,6.885373e+00
2.516667e+01,9.790957e-01,7.888415e-03,1.079279e-02,2.223099e-03,1.536833e+07,7.395161e+00
2.533333e+01,9.787371e-01,8.067697e-03,1.090035e-02,2.294812e-03,1.615366e+07,7.803008e+00
2.550000e+01,9.782710e-01,8.354548e-03,1.082864e-02,2.545807e-03,1.686463e+07,8.324922e+00
2.566667e+01,9.778766e-01,8.605543e-03,1.075693e-02,2.760945e-03,1.763332e+07,8.703869e+00
2.583333e+01,9.775180e-01,8.784826e-03,1.090035e-02,2.796802e-03,1.821557e+07,9.161361e+00
2.600000e+01,9.771236e-01,8.820682e-03,1.115135e-02,2.904371e-03,1.879803e+07,9.787852e+00
2.616667e+01,9.766933e-01,8.892395e-03,1.129478e-02,3.119509e-03,1.949311e+07,1.028829e+01
2.633333e+01,9.761555e-01,9.286816e-03,1.140235e-02,3.155366e-03,2.017376e+07,1.055985e+01
2.650000e+01,9.758328e-01,9.215103e-03,1.165334e-02,3.298792e-03,2.076792e+07,1.097813e+01
2.666667e+01,9.751873e-01,9.717093e-03,1.168920e-02,3.406361e-03,2.144137e+07,1.143256e+01
2.683333e+01,9.749005e-01,9.681236e-03,1.194019e-02,3.478074e-03,2.211711e+07,1.189244e+01
2.700000e+01,9.745778e-01,9.645380e-03,1.211947e-02,3.657356e-03,2.277202e+07,1.246926e+01
2.716667e+01,9.741834e-01,9.752949e-03,1.204776e-02,4.015920e-03,2.343530e+07,1.287552e+01
2.733333e+01,9.738248e-01,9.896375e-03,1.204776e-02,4.231059e-03,2.395735e+07,1.290962e+01
