Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.204251e-23
5.000000e-01,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.412405e-22
6.666667e-01,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.933893e-22
8.333333e-01,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.901139e-22
1.000000e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.172522e-21
1.166667e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.317555e-21
1.333333e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.568790e-21
1.500000e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.992609e-21
1.666667e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.768083e-20
1.833333e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.473580e-20
2.000000e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.820083e-20
2.166667e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.338426e-19
2.333333e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.625609e-19
2.500000e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.149027e-19
2.666667e+00,9.999771e-01,2.289325e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.009490e-18
2.833333e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,0.000000e+00,1.978684e-18
3.000000e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,0.000000e+00,3.877591e-18
3.166667e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,1.261395e-01,7.597473e-18
3.333333e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,2.728610e-01,1.488356e-17
3.500000e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,4.462715e-01,2.915288e-17
3.666667e+00,9.999771e-01,0.000000e+00,2.289325e-05,0.000000e+00,6.539228e-01,5.709517e-17
3.833333e+00,9.999542e-01,2.289325e-05,2.289325e-05,0.000000e+00,9.051803e-01,1.118062e-16
4.000000e+00,9.999542e-01,2.289325e-05,2.289325e-05,0.000000e+00,1.211684e+00,2.189200e-16
4.166667e+00,9.999542e-01,2.289325e-05,2.289325e-05,0.000000e+00,1.587922e+00,4.286095e-16
4.333333e+00,9.999084e-01,6.867975e-05,2.289325e-05,0.000000e+00,2.051953e+00,8.390709e-16
4.500000e+00,9.999084e-01,6.867975e-05,2.289325e-05,0.000000e+00,2.626297e+00,1.642475e-15
4.666667e+00,9.999084e-01,6.867975e-05,2.289325e-05,0.000000e+00,3.339066e+00,3.214881e-15
4.833333e+00,9.998626e-01,1.144662e-04,2.289325e-05,0.000000e+00,4.225359e+00,6.292151e-15
5.000000e+00,9.998626e-01,1.144662e-04,2.289325e-05,0.000000e+00,5.329019e+00,1.231412e-14
5.166667e+00,9.998626e-01,1.144662e-04,2.289325e-05,0.000000e+00,6.704821e+00,2.409799e-14
5.333333e+00,9.998626e-01,1.144662e-04,2.289325e-05,0.000000e+00,8.421212e+00,4.719700e-14
5.500000e+00,9.998626e-01,1.144662e-04,2.289325e-05,0.000000e+00,1.056374e+01,9.250644e-14
5.666667e+00,9.998169e-01,1.602527e-04,2.289325e-05,0.000000e+00,1.323931e+01,1.814715e-13
5.833333e+00,9.998169e-01,1.602527e-04,2.289325e-05,0.000000e+00,1.658156e+01,3.563433e-13
6.000000e+00,9.998169e-01,1.602527e-04,2.289325e-05,0.000000e+00,2.075756e+01,7.003838e-13
6.166667e+00,9.997940e-01,1.602527e-04,4.578650e-05,0.000000e+00,2.597608e+01,1.394457e-12
6.333333e+00,9.997940e-01,1.602527e-04,4.578650e-05,0.000000e+00,3.249816e+01,2.882028e-12
6.500000e+00,9.997711e-01,1.831460e-04,4.578650e-05,0.000000e+00,4.066696e+01,5.839908e-12
6.666667e+00,9.997253e-01,2.289325e-04,4.578650e-05,0.000000e+00,5.087617e+01,1.171508e-11
6.833333e+00,9.997024e-01,2.289325e-04,6.867975e-05,0.000000e+00,6.363634e+01,2.331131e-11
7.000000e+00,9.996566e-01,2.747190e-04,6.867975e-05,0.000000e+00,7.958565e+01,4.674754e-11
7.166667e+00,9.996337e-01,2.976122e-04,6.867975e-05,0.000000e+00,9.952855e+01,9.126337e-11
7.333333e+00,9.996108e-01,3.205055e-04,6.867975e-05,0.000000e+00,1.244559e+02,1.768025e-10
7.500000e+00,9.996108e-01,3.205055e-04,6.867975e-05,0.000000e+00,1.556136e+02,3.429484e-10
7.666667e+00,9.995650e-01,3.433987e-04,9.157300e-05,0.000000e+00,1.945580e+02,6.689271e-10
7.833333e+00,9.994963e-01,3.891852e-04,1.144662e-04,0.000000e+00,2.432335e+02,1.301160e-09
8.000000e+00,9.994735e-01,4.120785e-04,1.144662e-04,0.000000e+00,3.040793e+02,2.542187e-09
8.166667e+00,9.994048e-01,4.807582e-04,1.144662e-04,0.000000e+00,3.802763e+02,4.951866e-09
8.333333e+00,9.993590e-01,5.265447e-04,1.144662e-04,0.000000e+00,4.754779e+02,9.645465e-09
8.500000e+00,9.992674e-01,5.723312e-04,1.602527e-04,0.000000e+00,5.944149e+02,1.880651e-08
8.666667e+00,9.992445e-01,5.723312e-04,1.831460e-04,0.000000e+00,7.429870e+02,3.665842e-08
8.833333e+00,9.991758e-01,6.181177e-04,2.060392e-04,0.000000e+00,9.286067e+02,7.143156e-08
9.000000e+00,9.991301e-01,5.952245e-04,2.747190e-04,0.000000e+00,1.160385e+03,1.390677e-07
9.166667e+00,9.991072e-01,5.952245e-04,2.976122e-04,0.000000e+00,1.449718e+03,2.705183e-07
9.333333e+00,9.990614e-01,6.410110e-04,2.976122e-04,0.000000e+00,1.810799e+03,5.256748e-07
9.500000e+00,9.990156e-01,6.867975e-04,2.976122e-04,0.000000e+00,2.261184e+03,1.020010e-06
9.666667e+00,9.989469e-01,7.325840e-04,3.205055e-04,0.000000e+00,2.822616e+03,1.975820e-06
9.833333e+00,9.988553e-01,8.241570e-04,3.205055e-04,0.000000e+00,3.521976e+03,3.818869e-06
1.000000e+01,9.988324e-01,8.241570e-04,3.433987e-04,0.000000e+00,4.392390e+03,7.361244e-06
1.016667e+01,9.987867e-01,8.699435e-04,3.433987e-04,0.000000e+00,5.474470e+03,1.414176e-05
1.033333e+01,9.987180e-01,9.386232e-04,3.433987e-04,0.000000e+00,6.817995e+03,2.705477e-05
1.050000e+01,9.986493e-01,9.844097e-04,3.662920e-04,0.000000e+00,8.483085e+03,5.149264e-05
1.066667e+01,9.985806e-01,1.053089e-03,3.662920e-04,0.000000e+00,1.054237e+04,9.738369e-05
1.083333e+01,9.985348e-01,1.075983e-03,3.891852e-04,0.000000e+00,1.308264e+04,1.827410e-04
1.100000e+01,9.984204e-01,1.144662e-03,4.349717e-04,0.000000e+00,1.620625e+04,3.396525e-04
