Time,U,I1,I2,D,Ve,IFNe
0.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.027887e-23
3.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.036068e-23
5.000000e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.353094e-22
6.666667e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.788783e-22
8.333333e-01,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.588738e-22
1.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.108589e-21
1.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.189441e-21
1.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.314450e-21
1.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,8.489996e-21
1.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.669015e-20
1.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.278634e-20
2.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,6.436898e-20
2.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.263169e-19
2.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.477899e-19
2.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,4.859252e-19
2.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,9.526639e-19
2.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.867283e-18
3.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.659262e-18
3.166667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,7.169680e-18
3.333333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.404551e-17
3.500000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.751142e-17
3.666667e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,5.388062e-17
3.833333e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.055118e-16
4.000000e+00,9.999641e-01,3.585643e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.065967e-16
4.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,4.044854e-16
4.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,0.000000e+00,7.918505e-16
4.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.530206e-01,1.550055e-15
4.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.628907e+00,3.034011e-15
4.833333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,2.664114e+00,5.938212e-15
5.000000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,3.903721e+00,1.162156e-14
5.166667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,5.403632e+00,2.274294e-14
5.333333e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,7.233326e+00,4.454696e-14
5.500000e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,9.479286e+00,8.732167e-14
5.666667e+00,9.999641e-01,0.000000e+00,3.585643e-05,0.000000e+00,1.224929e+01,1.713202e-13
5.833333e+00,9.998924e-01,7.171286e-05,3.585643e-05,0.000000e+00,1.567775e+01,3.364495e-13
6.000000e+00,9.998566e-01,1.075693e-04,3.585643e-05,0.000000e+00,1.993244e+01,6.613556e-13
6.166667e+00,9.998207e-01,1.434257e-04,3.585643e-05,0.000000e+00,2.522282e+01,1.317896e-12
6.333333e+00,9.997490e-01,2.151386e-04,3.585643e-05,0.000000e+00,3.181049e+01,2.730276e-12
6.500000e+00,9.996773e-01,2.868514e-04,3.585643e-05,0.000000e+00,4.002227e+01,5.529618e-12
6.666667e+00,9.996414e-01,3.227079e-04,3.585643e-05,0.000000e+00,5.026648e+01,1.108548e-11
6.833333e+00,9.996056e-01,3.585643e-04,3.585643e-05,0.000000e+00,6.305333e+01,2.204602e-11
7.000000e+00,9.996056e-01,3.585643e-04,3.585643e-05,0.000000e+00,7.902038e+01,4.423586e-11
7.166667e+00,9.995697e-01,3.585643e-04,7.171286e-05,0.000000e+00,9.896429e+01,8.622212e-11
7.333333e+00,9.994980e-01,3.944207e-04,1.075693e-04,0.000000e+00,1.238806e+02,1.668909e-10
7.500000e+00,9.994263e-01,4.302772e-04,1.434257e-04,0.000000e+00,1.550299e+02,3.236792e-10
7.666667e+00,9.994263e-01,4.302772e-04,1.434257e-04,0.000000e+00,1.939556e+02,6.315324e-10
7.833333e+00,9.993904e-01,4.661336e-04,1.434257e-04,0.000000e+00,2.426177e+02,1.228311e-09
8.000000e+00,9.993187e-01,5.378465e-04,1.434257e-04,0.000000e+00,3.034241e+02,2.400458e-09
8.166667e+00,9.992112e-01,6.095593e-04,1.792822e-04,0.000000e+00,3.794040e+02,4.675288e-09
8.333333e+00,9.991753e-01,6.095593e-04,2.151386e-04,0.000000e+00,4.743388e+02,9.106617e-09
8.500000e+00,9.991036e-01,6.812722e-04,2.151386e-04,0.000000e+00,5.929878e+02,1.775706e-08
8.666667e+00,9.991036e-01,6.812722e-04,2.151386e-04,0.000000e+00,7.412037e+02,3.461311e-08
8.833333e+00,9.990677e-01,7.171286e-04,2.151386e-04,0.000000e+00,9.263185e+02,6.744538e-08
9.000000e+00,9.990319e-01,7.171286e-04,2.509950e-04,0.000000e+00,1.157467e+03,1.313006e-07
9.166667e+00,9.989243e-01,7.888415e-04,2.868514e-04,0.000000e+00,1.446013e+03,2.553947e-07
9.333333e+00,9.987809e-01,8.605543e-04,3.585643e-04,0.000000e+00,1.806160e+03,4.962506e-07
9.500000e+00,9.987092e-01,8.964108e-04,3.944207e-04,0.000000e+00,2.255371e+03,9.628169e-07
9.666667e+00,9.985299e-01,1.003980e-03,4.661336e-04,0.000000e+00,2.815369e+03,1.864800e-06
9.833333e+00,9.984582e-01,1.039836e-03,5.019900e-04,0.000000e+00,3.512939e+03,3.603711e-06
1.000000e+01,9.982789e-01,1.219119e-03,5.019900e-04,0.000000e+00,4.381114e+03,6.945120e-06
1.016667e+01,9.982072e-01,1.183262e-03,6.095593e-04,0.000000e+00,5.460591e+03,1.333900e-05
1.033333e+01,9.980996e-01,1.254975e-03,6.454158e-04,0.000000e+00,6.800685e+03,2.551103e-05
1.050000e+01,9.978486e-01,1.470114e-03,6.812722e-04,0.000000e+00,8.461595e+03,4.853562e-05
1.066667e+01,9.977052e-01,1.577683e-03,7.171286e-04,0.000000e+00,1.051682e+04,9.174690e-05
1.083333e+01,9.976335e-01,1.649396e-03,7.171286e-04,0.000000e+00,1.305184e+04,1.720599e-04
1.100000e+01,9.974900e-01,1.756965e-03,7.529850e-04,0.000000e+00,1.616881e+04,3.195612e-04
1.116667e+01,9.974542e-01,1.792822e-03,7.529850e-04,0.000000e+00,1.998651e+04,5.865373e-04
1.133333e+01,9.972749e-01,1.936247e-03,7.888415e-04,0.000000e+00,2.464202e+04,1.061256e-03
1.150000e+01,9.972032e-01,1.972104e-03,8.246979e-04,0.000000e+00,3.028538e+04,1.887407e-03
1.166667e+01,9.970598e-01,2.115529e-03,8.246979e-04,0.000000e+00,3.708030e+04,3.288397e-03
1.183333e+01,9.967371e-01,2.402381e-03,8.605543e-04,0.000000e+00,4.519688e+04,5.591834e-03
1.200000e+01,9.966654e-01,2.402381e-03,9.322672e-04,0.000000e+00,5.480230e+04,9.242453e-03
1.216667e+01,9.966295e-01,2.366524e-03,1.003980e-03,0.000000e+00,6.604834e+04,1.478381e-02
1.233333e+01,9.964502e-01,2.509950e-03,1.039836e-03,0.000000e+00,7.905837e+04,2.278364e-02
1.250000e+01,9.962351e-01,2.617519e-03,1.147406e-03,0.000000e+00,9.390309e+04,3.368572e-02
1.266667e+01,9.959482e-01,2.904371e-03,1.147406e-03,0.000000e+00,1.105908e+05,4.760132e-02
1.283333e+01,9.958407e-01,3.011940e-03,1.147406e-03,0.000000e+00,1.290528e+05,6.410237e-02
1.300000e+01,9.958048e-01,2.940227e-03,1.219119e-03,3.585643e-05,1.491367e+05,8.212137e-02
1.316667e+01,9.955897e-01,3.011940e-03,1.362544e-03,3.585643e-05,1.706091e+05,3.785750e-02
1.333333e+01,9.954462e-01,3.011940e-03,1.505970e-03,3.585643e-05,1.559838e+05,1.784103e-02
1.350000e+01,9.952670e-01,3.155366e-03,1.541827e-03,3.585643e-05,1.426913e+05,8.995131e-03
1.366667e+01,9.949084e-01,3.406361e-03,1.649396e-03,3.585643e-05,1.306288e+05,5.359682e-03
1.383333e+01,9.948367e-01,3.406361e-03,1.721109e-03,3.585643e-05,1.197077e+05,4.208766e-03
1.400000e+01,9.947291e-01,3.406361e-03,1.828678e-03,3.585643e-05,1.098984e+05,4.284804e-03
1.416667e+01,9.944064e-01,3.621500e-03,1.936247e-03,3.585643e-05,1.010969e+05,4.998496e-03
1.433333e+01,9.943705e-01,3.621500e-03,1.972104e-03,3.585643e-05,9.329578e+04,6.066934e-03
1.450000e+01,9.941195e-01,3.764925e-03,2.079673e-03,3.585643e-05,8.642429e+04,7.349805e-03
1.466667e+01,9.939761e-01,3.836638e-03,2.151386e-03,3.585643e-05,8.046411e+04,8.775058e-03
1.483333e+01,9.939044e-01,3.800782e-03,2.258955e-03,3.585643e-05,7.541349e+04,1.030481e-02
1.500000e+01,9.935100e-01,4.123490e-03,2.330668e-03,3.585643e-05,7.129090e+04,1.191954e-02
1.516667e+01,9.932948e-01,4.231059e-03,2.438237e-03,3.585643e-05,6.813617e+04,1.361044e-02
1.533333e+01,9.931156e-01,4.266915e-03,2.581663e-03,3.585643e-05,6.602215e+04,1.537559e-02
1.550000e+01,9.930439e-01,4.087633e-03,2.832658e-03,3.585643e-05,6.505157e+04,1.721788e-02
1.566667e+01,9.928646e-01,4.087633e-03,3.011940e-03,3.585643e-05,6.539175e+04,1.914384e-02
1.583333e+01,9.926494e-01,4.123490e-03,3.191222e-03,3.585643e-05,6.735777e+04,2.116308e-02
1.600000e+01,9.924701e-01,4.266915e-03,3.227079e-03,3.585643e-05,7.104291e+04,2.328840e-02
1.616667e+01,9.921833e-01,4.410341e-03,3.370504e-03,3.585643e-05,7.676734e+04,2.553685e-02
1.633333e+01,9.919323e-01,4.517910e-03,3.513930e-03,3.585643e-05,8.490664e+04,2.793242e-02
1.650000e+01,9.916813e-01,4.625480e-03,3.657356e-03,3.585643e-05,9.596773e+04,3.051158e-02
1.666667e+01,9.915020e-01,4.625480e-03,3.836638e-03,3.585643e-05,1.105375e+05,3.333391e-02
1.683333e+01,9.912152e-01,4.768905e-03,3.980064e-03,3.585643e-05,1.293312e+05,3.650108e-02
1.700000e+01,9.910717e-01,4.840618e-03,4.051777e-03,3.585643e-05,1.532334e+05,4.018936e-02
1.716667e+01,9.910000e-01,4.768905e-03,4.195202e-03,3.585643e-05,1.833007e+05,4.470314e-02
1.733333e+01,9.906773e-01,4.984044e-03,4.302772e-03,3.585643e-05,2.207568e+05,5.055641e-02
1.750000e+01,9.904263e-01,5.055757e-03,4.482054e-03,3.585643e-05,2.670604e+05,5.858949e-02
1.766667e+01,9.902112e-01,5.127470e-03,4.625480e-03,3.585643e-05,3.240007e+05,7.011890e-02
1.783333e+01,9.901753e-01,5.091613e-03,4.697192e-03,3.585643e-05,3.932807e+05,8.709813e-02
1.800000e+01,9.899961e-01,5.091613e-03,4.876475e-03,3.585643e-05,4.770344e+05,1.122407e-01
1.816667e+01,9.898885e-01,5.055757e-03,5.019900e-03,3.585643e-05,5.772925e+05,1.490163e-01
1.833333e+01,9.896733e-01,5.127470e-03,5.163326e-03,3.585643e-05,6.982356e+05,2.014143e-01
1.850000e+01,9.894941e-01,5.055757e-03,5.414321e-03,3.585643e-05,8.403798e+05,2.733946e-01
1.866667e+01,9.893865e-01,5.091613e-03,5.486034e-03,3.585643e-05,1.005999e+06,3.680493e-01
1.883333e+01,9.892431e-01,5.055757e-03,5.665316e-03,3.585643e-05,1.196969e+06,4.866526e-01
1.900000e+01,9.891355e-01,5.055757e-03,5.772885e-03,3.585643e-05,1.415014e+06,6.278876e-01
1.916667e+01,9.890638e-01,4.912331e-03,5.988024e-03,3.585643e-05,1.661490e+06,7.875874e-01
1.933333e+01,9.888128e-01,4.948187e-03,6.131450e-03,1.075693e-04,1.938176e+06,9.591586e-01
1.950000e+01,9.885259e-01,5.091613e-03,6.203163e-03,1.792822e-04,2.279393e+06,1.015459e+00
1.966667e+01,9.883108e-01,5.199182e-03,6.274875e-03,2.151386e-04,2.577874e+06,9.868875e-01
1.983333e+01,9.880240e-01,5.414321e-03,6.310732e-03,2.509950e-04,2.831281e+06,1.034038e+00
2.000000e+01,9.878088e-01,5.521890e-03,6.418301e-03,2.509950e-04,3.107013e+06,1.042793e+00
2.016667e+01,9.875578e-01,5.629460e-03,6.525870e-03,2.868514e-04,3.370083e+06,1.114914e+00
2.033333e+01,9.874144e-01,5.593603e-03,6.561727e-03,4.302772e-04,3.669193e+06,1.177079e+00
2.050000e+01,9.870558e-01,5.844598e-03,6.633440e-03,4.661336e-04,3.973985e+06,1.033182e+00
2.066667e+01,9.868407e-01,5.952168e-03,6.705153e-03,5.019900e-04,4.127002e+06,9.819855e-01
2.083333e+01,9.866256e-01,6.095593e-03,6.776865e-03,5.019900e-04,4.293084e+06,9.804549e-01
2.100000e+01,9.861594e-01,6.454158e-03,6.776865e-03,6.095593e-04,4.473575e+06,1.072223e+00
2.116667e+01,9.859443e-01,6.597583e-03,6.848578e-03,6.095593e-04,4.709999e+06,1.008396e+00
2.133333e+01,9.857291e-01,6.633440e-03,7.027860e-03,6.095593e-04,4.883128e+06,1.073360e+00
2.150000e+01,9.854781e-01,6.490014e-03,7.422281e-03,6.095593e-04,5.117635e+06,1.210147e+00
2.166667e+01,9.852272e-01,6.490014e-03,7.637420e-03,6.454158e-04,5.415027e+06,1.394054e+00
2.183333e+01,9.849403e-01,6.561727e-03,7.852558e-03,6.454158e-04,5.776273e+06,1.582428e+00
2.200000e+01,9.848686e-01,6.454158e-03,8.031841e-03,6.454158e-04,6.174827e+06,1.813934e+00
2.216667e+01,9.844742e-01,6.669296e-03,8.175266e-03,6.812722e-04,6.638097e+06,2.083665e+00
2.233333e+01,9.841156e-01,6.848578e-03,8.318692e-03,7.171286e-04,7.170923e+06,2.313309e+00
2.250000e+01,9.839005e-01,6.920291e-03,8.390405e-03,7.888415e-04,7.745921e+06,2.576118e+00
2.266667e+01,9.835060e-01,7.135430e-03,8.462118e-03,8.964108e-04,8.381557e+06,2.775350e+00
2.283333e+01,9.831475e-01,7.278855e-03,8.569687e-03,1.003980e-03,8.993715e+06,2.960502e+00
2.300000e+01,9.825738e-01,7.637420e-03,8.748969e-03,1.039836e-03,9.578647e+06,3.091329e+00
2.316667e+01,9.822869e-01,7.816702e-03,8.820682e-03,1.075693e-03,1.012732e+07,3.292073e+00
2.333333e+01,9.820001e-01,8.031841e-03,8.820682e-03,1.147406e-03,1.071652e+07,3.559020e+00
2.350000e+01,9.816415e-01,8.282836e-03,8.856538e-03,1.219119e-03,1.137024e+07,3.802050e+00
2.366667e+01,9.811754e-01,8.605543e-03,8.784826e-03,1.434257e-03,1.201561e+07,3.973416e+00
2.383333e+01,9.807810e-01,8.784826e-03,8.928251e-03,1.505970e-03,1.267513e+07,3.941448e+00
2.400000e+01,9.805300e-01,8.892395e-03,8.999964e-03,1.577683e-03,1.318950e+07,4.062793e+00
2.416667e+01,9.803148e-01,8.892395e-03,9.179246e-03,1.613539e-03,1.376098e+07,4.172759e+00
2.433333e+01,9.799563e-01,8.928251e-03,9.358528e-03,1.756965e-03,1.434156e+07,4.354542e+00
2.450000e+01,9.795977e-01,8.964108e-03,9.466098e-03,1.972104e-03,1.497703e+07,4.394666e+00
2.466667e+01,9.791674e-01,9.215103e-03,9.573667e-03,2.043817e-03,1.562034e+07,4.243587e+00
2.483333e+01,9.787730e-01,9.501954e-03,9.609523e-03,2.115529e-03,1.609961e+07,4.313107e+00
2.500000e+01,9.783427e-01,9.537811e-03,9.896375e-03,2.223099e-03,1.667216e+07,4.470642e+00
2.516667e+01,9.780559e-01,9.537811e-03,1.007566e-02,2.330668e-03,1.730649e+07,4.586802e+00
2.533333e+01,9.775897e-01,9.788806e-03,1.007566e-02,2.545807e-03,1.793954e+07,4.699002e+00
2.550000e+01,9.770519e-01,9.968088e-03,1.032665e-02,2.653376e-03,1.860937e+07,4.777392e+00
2.566667e+01,9.766216e-01,1.011151e-02,1.047008e-02,2.796802e-03,1.917213e+07,4.874219e+00
2.583333e+01,9.762272e-01,1.025494e-02,1.050593e-02,3.011940e-03,1.973195e+07,4.900910e+00
2.600000e+01,9.757611e-01,1.029080e-02,1.072107e-02,3.227079e-03,2.026680e+07,4.853739e+00
2.616667e+01,9.751156e-01,1.082864e-02,1.075693e-02,3.298792e-03,2.067102e+07,4.841965e+00
2.633333e+01,9.746495e-01,1.093621e-02,1.090035e-02,3.513930e-03,2.095489e+07,5.003019e+00
2.650000e+01,9.745778e-01,1.090035e-02,1.093621e-02,3.585643e-03,2.132483e+07,5.042950e+00
2.666667e+01,9.741834e-01,1.107964e-02,1.090035e-02,3.836638e-03,2.163215e+07,5.232078e+00
2.683333e+01,9.737531e-01,1.122306e-02,1.100792e-02,4.015920e-03,2.199131e+07,5.114655e+00
2.700000e+01,9.732870e-01,1.118721e-02,1.143820e-02,4.087633e-03,2.216485e+07,5.074440e+00
2.716667e+01,9.729643e-01,1.118721e-02,1.150991e-02,4.338628e-03,2.228618e+07,5.224350e+00
2.733333e+01,9.725698e-01,1.122306e-02,1.176091e-02,4.446197e-03,2.248383e+07,5.213334e+00
