Time,CC3DV,CC3DH,CC3DP,CC3DIFNe_Scalar,CC3DIFNe_Field,CC3DSTATP,CC3DIRF7,CC3DIRF7P,CC3DIFN
0.000000e+00,1.380341e-12,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.874599e-28
1.666667e-01,1.725880e-12,1.000000e+00,1.000000e+00,3.244618e-28,0.000000e+00,4.007410e-28,1.473033e-29,1.566717e-30,4.723489e-28
3.333333e-01,2.157875e-12,1.000000e+00,1.000000e+00,9.537771e-28,1.751229e-28,1.605548e-27,6.416762e-29,7.349104e-30,9.960894e-28
5.000000e-01,2.697944e-12,1.000000e+00,1.000000e+00,2.124492e-27,5.357829e-28,4.314941e-27,1.832902e-28,2.214924e-29,2.007421e-27
6.666667e-01,3.373200e-12,1.000000e+00,1.000000e+00,4.366445e-27,1.219716e-27,9.899192e-27,4.387385e-28,5.519670e-29,3.991251e-27
8.333333e-01,4.217395e-12,1.000000e+00,1.000000e+00,8.741369e-27,2.533633e-27,2.108211e-26,9.603531e-28,1.245374e-28,7.894623e-27
1.000000e+00,5.272933e-12,1.000000e+00,1.000000e+00,1.733420e-26,5.096069e-27,4.325629e-26,2.001924e-27,2.655063e-28,1.557359e-26
1.166667e+00,6.592576e-12,1.000000e+00,1.000000e+00,3.423277e-26,1.012559e-26,8.705731e-26,4.059252e-27,5.471722e-28,3.067126e-26
1.333333e+00,8.242430e-12,1.000000e+00,1.000000e+00,6.745889e-26,2.001380e-26,1.734239e-25,8.100268e-27,1.104312e-27,6.033329e-26
1.500000e+00,1.030514e-11,1.000000e+00,1.000000e+00,1.327484e-25,3.945487e-26,3.435336e-25,1.601328e-26,2.199501e-27,1.185761e-25
1.666667e+00,1.288401e-11,1.000000e+00,1.000000e+00,2.609676e-25,7.765782e-26,6.783167e-25,3.148041e-26,4.343650e-27,2.328854e-25
1.833333e+00,1.610823e-11,1.000000e+00,1.000000e+00,5.126487e-25,1.526870e-25,1.336772e-24,6.167909e-26,8.529802e-27,4.571463e-25
2.000000e+00,2.013928e-11,1.000000e+00,1.000000e+00,1.006471e-24,2.999693e-25,2.631172e-24,1.205964e-25,1.668636e-26,8.969764e-25
2.166667e+00,2.517906e-11,1.000000e+00,1.000000e+00,1.975067e-24,5.889646e-25,5.174656e-24,2.354841e-25,3.255517e-26,1.759352e-24
2.333333e+00,3.148003e-11,1.000000e+00,1.000000e+00,3.874343e-24,1.155829e-24,1.017082e-23,4.594292e-25,6.339169e-26,3.449804e-24
2.500000e+00,3.935779e-11,1.000000e+00,1.000000e+00,7.597615e-24,2.267407e-24,1.998185e-23,8.958327e-25,1.232558e-25,6.762793e-24
2.666667e+00,4.920690e-11,1.000000e+00,1.000000e+00,1.489500e-23,4.446565e-24,3.924286e-23,1.746074e-24,2.393775e-25,1.325446e-23
2.833333e+00,6.152072e-11,1.000000e+00,1.000000e+00,2.919467e-23,8.717687e-24,7.704751e-23,3.402312e-24,4.644682e-25,2.597249e-23
3.000000e+00,7.691600e-11,1.000000e+00,1.000000e+00,5.721095e-23,1.708739e-23,1.512338e-22,6.628174e-24,9.005160e-25,5.088515e-23
3.166667e+00,9.616381e-11,1.000000e+00,1.000000e+00,1.120928e-22,3.348585e-23,2.967876e-22,1.291052e-23,1.744770e-24,9.967865e-23
3.333333e+00,1.202282e-10,1.000000e+00,1.000000e+00,2.195874e-22,6.560979e-23,5.823181e-22,2.514430e-23,3.378561e-24,1.952329e-22
3.500000e+00,1.503145e-10,1.000000e+00,1.000000e+00,4.301057e-22,1.285305e-22,1.142355e-21,4.896575e-23,6.538821e-24,3.823396e-22
3.666667e+00,1.879297e-10,1.000000e+00,1.000000e+00,8.423388e-22,2.517566e-22,2.240657e-21,9.534777e-23,1.264918e-23,7.486798e-22
3.833333e+00,2.349577e-10,1.000000e+00,1.000000e+00,1.649482e-21,4.930589e-22,4.394292e-21,1.856525e-22,2.445894e-23,1.465878e-21
4.000000e+00,2.937539e-10,1.000000e+00,1.000000e+00,3.229697e-21,9.655289e-22,8.616814e-21,3.614664e-22,4.727577e-23,2.869841e-21
4.166667e+00,3.672631e-10,1.000000e+00,1.000000e+00,6.323151e-21,1.890535e-21,1.689481e-20,7.037470e-22,9.134322e-23,5.617972e-21
4.333333e+00,4.591671e-10,1.000000e+00,1.000000e+00,1.237844e-20,3.701359e-21,3.312167e-20,1.370092e-21,1.764249e-22,1.099679e-20
4.500000e+00,5.740686e-10,1.000000e+00,1.000000e+00,2.423049e-20,7.245995e-21,6.492725e-20,2.667291e-21,3.406409e-22,2.152380e-20
4.666667e+00,7.177223e-10,1.000000e+00,1.000000e+00,4.742687e-20,1.418398e-20,1.272625e-19,5.192549e-21,6.574960e-22,4.212510e-20
4.833333e+00,8.973224e-10,1.000000e+00,1.000000e+00,9.282292e-20,2.776287e-20,2.494220e-19,1.010840e-20,1.268685e-21,8.243922e-20
5.000000e+00,1.121863e-09,1.000000e+00,1.000000e+00,1.816587e-19,5.433736e-20,4.888153e-19,1.967637e-20,2.446259e-21,1.613248e-19
5.166667e+00,1.402589e-09,1.000000e+00,1.000000e+00,3.554926e-19,1.063415e-19,9.624308e-19,3.778561e-20,4.399002e-21,3.160819e-19
5.333333e+00,1.753558e-09,1.000000e+00,1.000000e+00,6.963327e-19,2.081039e-19,1.897933e-18,7.217496e-20,7.717210e-21,6.197489e-19
5.500000e+00,2.192342e-09,1.000000e+00,1.000000e+00,1.365026e-18,4.076009e-19,3.743412e-18,1.377389e-19,1.351893e-20,1.216263e-18
5.666667e+00,2.740911e-09,1.000000e+00,1.000000e+00,2.678231e-18,7.989584e-19,7.381257e-18,2.633280e-19,2.394983e-20,2.389307e-18
5.833333e+00,3.426727e-09,1.000000e+00,1.000000e+00,5.259903e-18,1.567444e-18,1.455014e-17,5.051275e-19,4.315617e-20,4.697966e-18
6.000000e+00,4.284120e-09,1.000000e+00,1.000000e+00,1.033968e-17,3.078067e-18,2.877855e-17,9.509059e-19,7.474414e-20,9.399693e-18
6.166667e+00,5.358760e-09,1.000000e+00,1.000000e+00,2.061024e-17,6.050124e-18,5.738356e-17,1.769562e-18,1.279572e-19,1.968902e-17
6.333333e+00,6.700832e-09,1.000000e+00,1.000000e+00,4.273128e-17,1.204654e-17,1.168287e-16,3.378077e-18,2.261933e-19,3.961699e-17
6.500000e+00,8.377197e-09,1.000000e+00,1.000000e+00,8.651042e-17,2.489519e-17,2.375666e-16,6.580929e-18,4.112819e-19,7.918008e-17
6.666667e+00,1.047694e-08,1.000000e+00,1.000000e+00,1.733675e-16,5.044652e-17,4.800656e-16,1.295313e-17,7.654979e-19,1.570838e-16
6.833333e+00,1.310308e-08,1.000000e+00,1.000000e+00,3.446713e-16,1.011968e-16,9.622101e-16,2.574789e-17,1.476952e-18,3.161344e-16
7.000000e+00,1.638299e-08,1.000000e+00,1.000000e+00,6.918804e-16,2.013653e-16,1.930594e-15,5.124450e-17,2.839654e-18,6.106394e-16
7.166667e+00,2.048679e-08,1.000000e+00,1.000000e+00,1.347390e-15,4.040128e-16,3.819042e-15,1.016143e-16,5.479563e-18,1.179305e-15
7.333333e+00,2.561180e-08,1.000000e+00,1.000000e+00,2.606860e-15,7.885120e-16,7.474407e-15,1.999374e-16,1.059581e-17,2.288565e-15
7.500000e+00,3.201820e-08,1.000000e+00,1.000000e+00,5.055572e-15,1.527281e-15,1.456314e-14,3.907622e-16,2.050420e-17,4.473339e-15
7.666667e+00,4.001971e-08,1.000000e+00,1.000000e+00,9.865102e-15,2.962277e-15,2.839403e-14,7.609901e-16,3.963617e-17,8.691935e-15
7.833333e+00,5.002159e-08,1.000000e+00,1.000000e+00,1.918599e-14,5.777785e-15,5.530406e-14,1.477365e-15,7.649070e-17,1.701101e-14
8.000000e+00,6.251686e-08,1.000000e+00,1.000000e+00,3.749814e-14,1.123837e-14,1.079141e-13,2.864569e-15,1.468900e-16,3.309659e-14
8.166667e+00,7.812690e-08,1.000000e+00,1.000000e+00,7.302765e-14,2.195722e-14,2.104964e-13,5.530593e-15,2.793166e-16,6.446583e-14
8.333333e+00,9.762005e-08,1.000000e+00,1.000000e+00,1.422390e-13,4.276952e-14,4.104132e-13,1.067617e-14,5.306455e-16,1.257376e-13
8.500000e+00,1.219523e-07,9.999999e-01,1.000000e+00,2.773475e-13,8.330741e-14,8.001836e-13,2.066353e-14,1.013078e-15,2.450637e-13
8.666667e+00,1.523199e-07,9.999999e-01,1.000000e+00,5.406041e-13,1.624265e-13,1.559808e-12,4.003621e-14,1.940171e-15,4.774519e-13
8.833333e+00,1.901988e-07,9.999999e-01,1.000000e+00,1.053353e-12,3.166028e-13,3.039352e-12,7.763356e-14,3.726115e-15,9.292031e-13
9.000000e+00,2.374225e-07,9.999999e-01,1.000000e+00,2.050529e-12,6.169115e-13,5.917406e-12,1.506882e-13,7.183008e-15,1.806903e-12
9.166667e+00,2.962493e-07,9.999999e-01,1.000000e+00,3.988328e-12,1.201019e-12,1.150976e-11,2.925051e-13,1.387553e-14,3.509770e-12
9.333333e+00,3.694675e-07,9.999998e-01,1.000000e+00,7.749259e-12,2.336219e-12,2.236158e-11,5.675175e-13,2.683222e-14,6.806430e-12
9.500000e+00,4.604906e-07,9.999998e-01,1.000000e+00,1.503419e-11,4.539724e-12,4.338025e-11,1.100060e-12,5.189638e-14,1.317569e-11
9.666667e+00,5.735060e-07,9.999997e-01,1.000000e+00,2.911679e-11,8.808732e-12,8.400270e-11,2.129153e-12,1.002975e-13,2.544429e-11
9.833333e+00,7.135643e-07,9.999997e-01,1.000000e+00,5.626402e-11,1.706296e-11,1.622962e-10,4.112484e-12,1.935727e-13,4.899501e-11
1.000000e+01,8.867818e-07,9.999996e-01,1.000000e+00,1.084237e-10,3.297922e-11,3.126845e-10,7.922266e-12,3.727873e-13,9.400122e-11
1.016667e+01,1.100439e-06,9.999995e-01,1.000000e+00,2.082203e-10,6.357059e-11,6.003371e-10,1.521033e-11,7.157871e-13,1.795413e-10
1.033333e+01,1.363114e-06,9.999994e-01,1.000000e+00,3.981739e-10,1.221261e-10,1.147678e-09,2.908035e-11,1.369214e-12,3.410230e-10
1.050000e+01,1.684765e-06,9.999992e-01,1.000000e+00,7.574206e-10,2.336411e-10,2.182475e-09,5.531016e-11,2.606600e-12,6.433223e-10
1.066667e+01,2.076688e-06,9.999990e-01,1.000000e+00,1.431474e-09,4.446838e-10,4.123444e-09,1.045313e-10,4.932721e-12,1.203423e-09
1.083333e+01,2.551374e-06,9.999988e-01,1.000000e+00,2.683905e-09,8.409954e-10,7.729051e-09,1.960269e-10,9.267014e-12,2.228089e-09
1.100000e+01,3.122110e-06,9.999985e-01,1.000000e+00,4.983244e-09,1.578138e-09,1.434837e-08,3.641682e-10,1.725716e-11,4.073744e-09
1.116667e+01,3.802319e-06,9.999982e-01,1.000000e+00,9.143104e-09,2.933230e-09,2.632790e-08,6.689381e-10,3.179911e-11,7.335801e-09
1.133333e+01,4.604475e-06,9.999978e-01,1.000000e+00,1.653563e-08,5.388811e-09,4.763846e-08,1.212369e-09,5.786801e-11,1.297030e-08
1.150000e+01,5.538720e-06,9.999973e-01,1.000000e+00,2.939163e-08,9.761547e-09,8.477794e-08,2.162799e-09,1.037843e-10,2.243655e-08
1.166667e+01,6.610911e-06,9.999968e-01,1.000000e+00,5.117352e-08,1.738535e-08,1.479527e-07,3.788091e-09,1.830406e-10,3.782130e-08
1.183333e+01,7.820679e-06,9.999962e-01,1.000000e+00,8.694671e-08,3.034344e-08,2.524147e-07,6.496836e-09,3.167756e-10,6.185532e-08
1.200000e+01,9.159447e-06,9.999955e-01,1.000000e+00,1.435644e-07,5.170961e-08,4.196052e-07,1.088269e-08,5.368965e-10,9.769079e-08
1.216667e+01,1.060905e-05,9.999948e-01,1.000000e+00,2.293596e-07,8.569399e-08,6.774855e-07,1.776217e-08,8.897520e-10,1.482899e-07
1.233333e+01,1.214125e-05,9.999940e-01,1.000000e+00,3.529579e-07,1.375136e-07,1.059240e-06,2.819247e-08,1.440222e-09,2.153738e-07
1.250000e+01,1.371887e-05,9.999932e-01,1.000000e+00,5.209596e-07,2.127515e-07,1.599674e-06,4.345714e-08,2.276207e-09,2.981225e-07
1.266667e+01,1.529849e-05,9.999924e-01,1.000000e+00,7.347165e-07,3.160289e-07,2.329283e-06,6.501454e-08,3.513744e-09,3.921489e-07
1.283333e+01,1.683426e-05,9.999915e-01,1.000000e+00,9.872029e-07,4.490742e-07,3.267079e-06,9.441492e-08,5.303041e-09,4.894523e-07
1.300000e+01,1.828255e-05,9.999907e-01,1.000000e+00,1.261621e-06,6.087217e-07,4.414284e-06,1.331996e-07,7.835305e-09,5.797986e-07
1.316667e+01,1.960636e-05,9.999899e-01,1.000000e+00,1.533205e-06,7.857885e-07,5.751165e-06,1.827926e-07,1.134896e-08,6.531559e-07
1.333333e+01,2.077831e-05,9.999891e-01,1.000000e+00,1.774195e-06,9.657580e-07,7.238271e-06,2.443863e-07,1.613249e-08,7.023330e-07
1.350000e+01,2.178237e-05,9.999884e-01,1.000000e+00,1.960487e-06,1.131423e-06,8.821834e-06,3.188246e-07,2.252060e-08,7.245601e-07
1.366667e+01,2.261387e-05,9.999878e-01,1.000000e+00,2.077171e-06,1.266779e-06,1.044173e-05,4.064937e-07,3.088157e-08,7.216399e-07
1.383333e+01,2.327848e-05,9.999872e-01,1.000000e+00,2.121104e-06,1.360599e-06,1.203994e-05,5.072490e-07,4.159648e-08,6.987693e-07
1.400000e+01,5.634211e-07,9.999997e-01,9.999840e-01,2.099963e-06,1.408509e-06,8.890598e-06,5.018142e-07,4.790281e-08,5.289936e-08
1.416667e+01,7.042990e-07,9.999997e-01,9.999840e-01,9.731931e-07,1.206501e-06,1.022943e-05,6.245523e-07,6.403080e-08,7.157331e-08
1.433333e+01,8.803493e-07,9.999996e-01,9.999840e-01,5.324584e-07,7.384482e-07,1.090795e-05,7.537722e-07,8.353936e-08,9.450110e-08
1.450000e+01,1.100340e-06,9.999995e-01,9.999840e-01,3.871068e-07,4.708804e-07,1.124212e-05,8.802914e-07,1.063023e-07,1.217409e-07
1.466667e+01,1.375210e-06,9.999993e-01,9.999840e-01,3.732302e-07,3.398533e-07,1.144533e-05,1.000701e-06,1.320014e-07,1.530139e-07
1.483333e+01,1.718583e-06,9.999992e-01,9.999840e-01,4.215318e-07,2.911019e-07,1.164576e-05,1.114988e-06,1.602826e-07,1.878874e-07
1.500000e+01,2.147450e-06,9.999990e-01,9.999840e-01,5.021696e-07,2.916192e-07,1.191920e-05,1.224899e-06,1.908401e-07,2.259232e-07
1.516667e+01,2.682954e-06,9.999987e-01,9.999840e-01,6.018567e-07,3.223410e-07,1.231060e-05,1.333005e-06,2.234548e-07,2.667612e-07
1.533333e+01,3.351398e-06,9.999984e-01,9.999840e-01,7.143912e-07,3.723287e-07,1.284687e-05,1.442177e-06,2.580064e-07,3.101533e-07
1.550000e+01,4.185466e-06,9.999980e-01,9.999840e-01,8.367403e-07,4.352711e-07,1.354429e-05,1.555307e-06,2.944728e-07,3.559735e-07
1.566667e+01,5.225688e-06,9.999975e-01,9.999840e-01,9.674124e-07,5.075100e-07,1.441291e-05,1.675165e-06,3.329228e-07,4.042124e-07
1.583333e+01,6.522224e-06,9.999969e-01,9.999840e-01,1.105765e-06,5.869472e-07,1.545924e-05,1.804330e-06,3.735046e-07,4.549654e-07
1.600000e+01,8.137013e-06,9.999961e-01,9.999840e-01,1.251694e-06,6.724375e-07,1.668788e-05,1.945169e-06,4.164340e-07,5.084176e-07
1.616667e+01,1.014630e-05,9.999952e-01,9.999840e-01,1.405475e-06,7.634474e-07,1.810257e-05,2.099829e-06,4.619816e-07,5.648303e-07
1.633333e+01,1.264360e-05,9.999940e-01,9.999840e-01,1.567677e-06,8.598550e-07,1.970692e-05,2.270246e-06,5.104596e-07,6.245320e-07
1.650000e+01,1.574304e-05,9.999925e-01,9.999840e-01,1.739106e-06,9.618301e-07,2.150477e-05,2.458155e-06,5.622097e-07,6.879206e-07
1.666667e+01,1.958314e-05,9.999907e-01,9.999840e-01,1.920792e-06,1.069762e-06,2.350049e-05,2.665087e-06,6.175894e-07,7.554836e-07
1.683333e+01,2.433078e-05,9.999884e-01,9.999840e-01,2.114008e-06,1.184220e-06,2.569916e-05,2.892369e-06,6.769585e-07,8.278534e-07
1.700000e+01,3.018535e-05,9.999857e-01,9.999840e-01,2.320384e-06,1.305955e-06,2.810677e-05,3.141109e-06,7.406638e-07,9.059221e-07
1.716667e+01,3.738247e-05,9.999822e-01,9.999840e-01,2.542150e-06,1.435948e-06,3.073069e-05,3.412174e-06,8.090220e-07,9.910533e-07
1.733333e+01,4.619710e-05,9.999780e-01,9.999840e-01,2.782600e-06,1.575534e-06,3.358049e-05,3.706162e-06,8.823011e-07,1.085439e-06
1.750000e+01,5.694511e-05,9.999729e-01,9.999840e-01,3.046913e-06,1.726672e-06,3.666962e-05,4.023380e-06,9.606997e-07,1.192675e-06
1.766667e+01,6.998272e-05,9.999666e-01,9.999840e-01,3.343484e-06,1.892393e-06,4.001847e-05,4.363834e-06,1.044324e-06,1.318590e-06
1.783333e+01,8.570269e-05,9.999591e-01,9.999840e-01,3.685929e-06,2.077572e-06,4.365905e-05,4.727263e-06,1.133169e-06,1.472361e-06
1.800000e+01,1.045269e-04,9.999500e-01,9.999840e-01,4.095846e-06,2.290083e-06,4.764210e-05,5.113219e-06,1.227092e-06,1.667760e-06
1.816667e+01,1.268946e-04,9.999392e-01,9.999840e-01,4.606140e-06,2.542418e-06,5.204617e-05,5.521223e-06,1.325810e-06,1.924337e-06
1.833333e+01,1.532468e-04,9.999264e-01,9.999840e-01,5.264464e-06,2.853701e-06,5.698808e-05,5.950997e-06,1.428882e-06,2.267924e-06
1.850000e+01,1.840069e-04,9.999114e-01,9.999840e-01,6.135533e-06,3.251835e-06,6.263258e-05,6.402747e-06,1.535727e-06,2.729972e-06
1.866667e+01,2.195612e-04,9.998940e-01,9.999840e-01,7.300952e-06,3.775149e-06,6.919800e-05,6.877458e-06,1.645639e-06,3.345120e-06
1.883333e+01,2.602396e-04,9.998740e-01,9.999840e-01,8.854936e-06,4.472735e-06,7.695434e-05,7.377122e-06,1.757828e-06,4.147144e-06
1.900000e+01,2.942271e-04,9.998570e-01,9.999680e-01,1.089550e-05,5.402497e-06,8.362337e-05,7.703445e-06,1.825383e-06,4.909255e-06
1.916667e+01,3.442954e-04,9.998320e-01,9.999680e-01,1.307112e-05,6.415959e-06,9.427152e-05,8.250178e-06,1.937629e-06,6.074077e-06
1.933333e+01,4.000428e-04,9.998040e-01,9.999680e-01,1.600057e-05,7.758851e-06,1.067755e-04,8.831605e-06,2.049980e-06,7.455442e-06
1.950000e+01,4.560535e-04,9.997753e-01,9.999520e-01,1.962129e-05,9.506175e-06,1.204480e-04,9.363414e-06,2.143446e-06,8.995158e-06
1.966667e+01,5.056326e-04,9.997498e-01,9.999360e-01,2.380604e-05,1.158290e-05,1.326848e-04,9.745508e-06,2.195731e-06,1.020149e-05
1.983333e+01,5.193829e-04,9.997430e-01,9.998880e-01,2.765052e-05,1.358454e-05,1.286518e-04,8.852438e-06,1.902820e-06,9.968060e-06
2.000000e+01,5.895794e-04,9.997066e-01,9.998720e-01,2.885973e-05,1.429659e-05,1.464128e-04,9.459015e-06,1.984368e-06,1.166931e-05
2.016667e+01,6.481274e-04,9.996762e-01,9.998560e-01,3.231133e-05,1.579458e-05,1.605955e-04,9.956910e-06,2.042909e-06,1.275614e-05
2.033333e+01,7.095535e-04,9.996450e-01,9.998400e-01,3.564094e-05,1.743104e-05,1.752093e-04,1.051749e-05,2.111990e-06,1.396769e-05
2.050000e+01,7.887275e-04,9.996030e-01,9.998240e-01,3.913512e-05,1.895973e-05,1.932167e-04,1.098412e-05,2.139533e-06,1.564983e-05
2.066667e+01,8.516901e-04,9.995684e-01,9.997760e-01,4.351272e-05,2.084336e-05,2.110083e-04,1.156559e-05,2.206284e-06,1.692753e-05
2.083333e+01,9.065922e-04,9.995399e-01,9.997440e-01,4.756026e-05,2.272538e-05,2.147958e-04,1.126532e-05,2.007770e-06,1.747404e-05
2.100000e+01,1.012785e-03,9.994830e-01,9.997440e-01,5.020429e-05,2.379187e-05,2.396499e-04,1.216051e-05,2.117618e-06,1.959682e-05
2.116667e+01,1.047723e-03,9.994632e-01,9.996800e-01,5.498758e-05,2.613868e-05,2.481014e-04,1.246985e-05,2.160478e-06,1.947341e-05
