Time,CC3DV,CC3DH,CC3DP,CC3DIFNe_Scalar,CC3DIFNe_Field,CC3DSTATP,CC3DIRF7,CC3DIRF7P,CC3DIFN
0.000000e+00,3.093381e-12,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.201026e-28
1.666667e-01,3.867744e-12,1.000000e+00,1.000000e+00,7.271277e-28,0.000000e+00,8.980714e-28,3.345386e-29,4.451912e-30,1.058565e-27
3.333333e-01,4.835857e-12,1.000000e+00,1.000000e+00,2.137473e-27,4.060079e-28,3.614818e-27,1.466771e-28,2.102567e-29,2.236983e-27
5.000000e-01,6.046164e-12,1.000000e+00,1.000000e+00,4.769227e-27,1.249753e-27,9.756292e-27,4.213853e-28,6.375214e-29,4.514807e-27
6.666667e-01,7.559431e-12,1.000000e+00,1.000000e+00,9.816659e-27,2.859758e-27,2.245667e-26,1.013389e-27,1.596633e-28,8.986350e-27
8.333333e-01,9.451296e-12,1.000000e+00,1.000000e+00,1.967523e-26,5.960140e-27,4.794229e-26,2.226440e-27,3.616926e-28,1.778881e-26
1.000000e+00,1.181678e-11,1.000000e+00,1.000000e+00,3.904978e-26,1.201282e-26,9.854024e-26,4.654596e-27,7.736166e-28,3.511079e-26
1.166667e+00,1.477414e-11,1.000000e+00,1.000000e+00,7.716533e-26,2.389960e-26,1.985657e-25,9.458962e-27,1.598497e-27,6.917379e-26
1.333333e+00,1.847151e-11,1.000000e+00,1.000000e+00,1.521249e-25,4.727766e-26,3.958936e-25,1.890714e-26,3.232923e-27,1.361035e-25
1.500000e+00,2.309409e-11,1.000000e+00,1.000000e+00,2.994396e-25,9.325146e-26,7.846777e-25,3.742408e-26,6.450099e-27,2.675301e-25
1.666667e+00,2.887342e-11,1.000000e+00,1.000000e+00,5.887648e-25,1.836061e-25,1.549973e-24,7.363973e-26,1.275542e-26,5.254772e-25
1.833333e+00,3.609897e-11,1.000000e+00,1.000000e+00,1.156696e-24,3.610748e-25,3.055344e-24,1.443780e-25,2.507645e-26,1.031535e-24
2.000000e+00,4.513266e-11,1.000000e+00,1.000000e+00,2.271035e-24,7.094611e-25,6.014815e-24,2.824261e-25,4.910085e-26,2.024015e-24
2.166667e+00,5.642695e-11,1.000000e+00,1.000000e+00,4.456689e-24,1.393069e-24,1.183031e-23,5.516650e-25,9.586922e-26,3.969903e-24
2.333333e+00,7.054760e-11,1.000000e+00,1.000000e+00,8.742308e-24,2.733959e-24,2.325371e-23,1.076531e-24,1.867969e-25,7.784119e-24
2.500000e+00,8.820186e-11,1.000000e+00,1.000000e+00,1.714332e-23,5.363276e-24,4.568556e-23,2.099379e-24,3.633956e-25,1.525892e-23
2.666667e+00,1.102740e-10,1.000000e+00,1.000000e+00,3.360798e-23,1.051766e-23,8.972243e-23,4.092151e-24,7.060835e-25,2.990461e-23
2.833333e+00,1.378696e-10,1.000000e+00,1.000000e+00,6.586965e-23,2.061973e-23,1.761524e-22,7.973774e-24,1.370566e-24,5.859568e-23
3.000000e+00,1.723708e-10,1.000000e+00,1.000000e+00,1.290736e-22,4.041477e-23,3.457505e-22,1.553331e-23,2.658167e-24,1.147932e-22
3.166667e+00,2.155057e-10,1.000000e+00,1.000000e+00,2.528773e-22,7.919621e-23,6.784838e-22,3.025358e-23,5.151750e-24,2.248529e-22
3.333333e+00,2.694347e-10,1.000000e+00,1.000000e+00,4.953493e-22,1.551628e-22,1.331161e-21,5.891428e-23,9.978279e-24,4.403713e-22
3.500000e+00,3.368589e-10,1.000000e+00,1.000000e+00,9.701734e-22,3.039475e-22,2.611233e-21,1.147118e-22,1.931586e-23,8.623499e-22
3.666667e+00,4.211555e-10,1.000000e+00,1.000000e+00,1.899895e-21,5.953122e-22,5.121435e-21,2.233313e-22,3.737252e-23,1.688486e-21
3.833333e+00,5.265464e-10,1.000000e+00,1.000000e+00,3.720127e-21,1.165823e-21,1.004328e-20,4.347629e-22,7.227511e-23,3.305712e-21
4.000000e+00,6.583103e-10,1.000000e+00,1.000000e+00,7.283470e-21,2.282799e-21,1.969255e-20,8.462970e-22,1.397133e-22,6.471281e-21
4.166667e+00,8.230465e-10,1.000000e+00,1.000000e+00,1.425855e-20,4.469454e-21,3.860788e-20,1.647273e-21,2.699671e-22,1.266707e-20
4.333333e+00,1.029006e-09,1.000000e+00,1.000000e+00,2.791081e-20,8.749781e-21,7.568355e-20,3.206157e-21,5.214563e-22,2.479284e-20
4.500000e+00,1.286503e-09,1.000000e+00,1.000000e+00,5.463016e-20,1.712772e-20,1.483480e-19,6.239988e-21,1.006855e-21,4.852242e-20
4.666667e+00,1.608435e-09,1.000000e+00,1.000000e+00,1.069198e-19,3.352465e-20,2.907502e-19,1.214410e-20,1.943407e-21,9.495703e-20
4.833333e+00,2.010924e-09,1.000000e+00,1.000000e+00,2.092433e-19,6.561368e-20,5.697948e-19,2.363367e-20,3.749853e-21,1.858156e-19
5.000000e+00,2.514126e-09,1.000000e+00,1.000000e+00,4.094631e-19,1.284080e-19,1.116581e-18,4.598866e-20,7.230372e-21,3.635882e-19
5.166667e+00,3.149427e-09,1.000000e+00,1.000000e+00,8.012168e-19,2.512808e-19,2.197553e-18,8.815636e-20,1.301905e-20,7.120375e-19
5.333333e+00,3.937506e-09,1.000000e+00,1.000000e+00,1.568796e-18,4.916977e-19,4.330898e-18,1.680971e-19,2.291470e-20,1.395375e-18
5.500000e+00,4.922769e-09,1.000000e+00,1.000000e+00,3.073795e-18,9.626983e-19,8.535861e-18,3.203927e-19,4.032993e-20,2.737178e-18
5.666667e+00,6.154548e-09,1.000000e+00,1.000000e+00,6.028080e-18,1.886103e-18,1.681891e-17,6.120377e-19,7.181350e-20,5.375125e-18
5.833333e+00,7.694507e-09,1.000000e+00,1.000000e+00,1.183423e-17,3.698491e-18,3.313286e-17,1.173488e-18,1.300112e-19,1.056586e-17
6.000000e+00,9.619730e-09,1.000000e+00,1.000000e+00,2.325615e-17,7.259918e-18,6.538400e-17,2.228969e-18,2.347151e-19,2.114128e-17
6.166667e+00,1.202967e-08,1.000000e+00,1.000000e+00,4.635574e-17,1.426510e-17,1.300913e-16,4.192294e-18,4.233833e-19,4.428002e-17
6.333333e+00,1.504552e-08,1.000000e+00,1.000000e+00,9.610302e-17,2.839721e-17,2.648670e-16,7.985228e-18,7.507336e-19,8.905973e-17
6.500000e+00,1.880950e-08,1.000000e+00,1.000000e+00,1.944948e-16,5.865060e-17,5.390745e-16,1.544681e-17,1.330660e-18,1.779004e-16
6.666667e+00,2.351788e-08,1.000000e+00,1.000000e+00,3.895713e-16,1.188205e-16,1.089616e-15,3.029875e-17,2.438714e-18,3.528359e-16
6.833333e+00,2.940048e-08,1.000000e+00,1.000000e+00,7.742551e-16,2.382778e-16,2.184427e-15,6.002669e-17,4.629798e-18,7.104298e-16
7.000000e+00,3.675988e-08,1.000000e+00,1.000000e+00,1.554694e-15,4.740455e-16,4.383674e-15,1.192696e-16,8.845456e-18,1.371365e-15
7.166667e+00,4.595554e-08,1.000000e+00,1.000000e+00,3.026316e-15,9.512880e-16,8.672057e-15,2.363241e-16,1.700008e-17,2.647932e-15
7.333333e+00,5.744876e-08,1.000000e+00,1.000000e+00,5.853677e-15,1.856527e-15,1.697349e-14,4.646013e-16,3.268559e-17,5.138154e-15
7.500000e+00,7.181250e-08,1.000000e+00,1.000000e+00,1.135086e-14,3.595724e-15,3.307371e-14,9.071521e-16,6.278302e-17,1.004243e-14
7.666667e+00,8.976501e-08,1.000000e+00,1.000000e+00,2.214724e-14,6.973516e-15,6.448358e-14,1.766506e-15,1.204027e-16,1.951133e-14
7.833333e+00,1.121995e-07,9.999999e-01,1.000000e+00,4.306902e-14,1.359931e-14,1.255778e-13,3.435179e-15,2.313098e-16,3.818341e-14
8.000000e+00,1.402205e-07,9.999999e-01,1.000000e+00,8.417092e-14,2.645019e-14,2.449781e-13,6.673117e-15,4.447543e-16,7.428808e-14
8.166667e+00,1.752203e-07,9.999999e-01,1.000000e+00,1.639181e-13,5.167137e-14,4.776190e-13,1.294396e-14,8.542085e-16,1.447013e-13
8.333333e+00,2.189296e-07,9.999999e-01,1.000000e+00,3.192721e-13,1.006475e-13,9.309632e-13,2.506070e-14,1.635801e-15,2.822331e-13
8.500000e+00,2.734928e-07,9.999999e-01,1.000000e+00,6.225396e-13,1.960452e-13,1.815764e-12,4.832603e-14,3.105145e-15,5.500351e-13
8.666667e+00,3.415960e-07,9.999998e-01,1.000000e+00,1.213382e-12,3.822302e-13,3.541368e-12,9.313414e-14,5.878543e-15,1.071513e-12
8.833333e+00,4.265384e-07,9.999998e-01,1.000000e+00,2.364028e-12,7.450076e-13,6.903738e-12,1.797357e-13,1.115227e-14,2.085143e-12
9.000000e+00,5.324209e-07,9.999997e-01,1.000000e+00,4.601533e-12,1.451554e-12,1.344691e-11,3.473285e-13,2.123368e-14,4.054349e-12
9.166667e+00,6.643317e-07,9.999997e-01,1.000000e+00,8.949280e-12,2.825692e-12,2.616368e-11,6.720386e-13,4.061116e-14,7.874717e-12
9.333333e+00,8.285076e-07,9.999996e-01,1.000000e+00,1.738703e-11,5.496109e-12,5.084446e-11,1.300986e-12,7.795025e-14,1.527052e-11
9.500000e+00,1.032623e-06,9.999995e-01,1.000000e+00,3.373039e-11,1.067939e-11,9.865668e-11,2.517999e-12,1.499661e-13,2.955921e-11
9.666667e+00,1.286035e-06,9.999994e-01,1.000000e+00,6.532320e-11,2.072126e-11,1.910809e-10,4.868778e-12,2.887971e-13,5.708213e-11
9.833333e+00,1.600098e-06,9.999992e-01,1.000000e+00,1.262245e-10,4.013764e-11,3.692550e-10,9.399379e-12,5.560294e-13,1.099147e-10
1.000000e+01,1.988517e-06,9.999991e-01,1.000000e+00,2.432373e-10,7.757871e-11,7.115911e-10,1.810452e-11,1.069206e-12,2.108794e-10
1.016667e+01,2.467618e-06,9.999988e-01,1.000000e+00,4.671163e-10,1.495447e-10,1.366615e-09,3.476415e-11,2.051449e-12,4.027768e-10
1.033333e+01,3.056643e-06,9.999985e-01,1.000000e+00,8.932504e-10,2.873059e-10,2.613521e-09,6.649048e-11,3.923283e-12,7.650415e-10
1.050000e+01,3.777912e-06,9.999982e-01,1.000000e+00,1.699176e-09,5.496868e-10,4.972181e-09,1.265416e-10,7.470621e-12,1.443222e-09
1.066667e+01,4.656792e-06,9.999978e-01,1.000000e+00,3.211347e-09,1.046303e-09,9.399322e-09,2.393536e-10,1.414737e-11,2.699779e-09
1.083333e+01,5.721277e-06,9.999973e-01,1.000000e+00,6.021097e-09,1.979027e-09,1.763032e-08,4.493511e-10,2.660894e-11,4.998619e-09
1.100000e+01,7.001188e-06,9.999967e-01,1.000000e+00,1.117963e-08,3.714232e-09,3.275729e-08,8.359514e-10,4.963088e-11,9.139483e-09
1.116667e+01,8.526656e-06,9.999959e-01,1.000000e+00,2.051250e-08,6.904834e-09,6.017057e-08,1.538267e-09,9.164682e-11,1.645846e-08
